comment,date,support_number,user,hateful
求这位被网爆到死,11月24日 19:16 来自网页,8545,HEY_Na,1
坏人才应该下地狱啊💔💔💔,11月24日 19:14 来自网页,5245,我真的是好人呐,0
子宫出血，这姐姐是经历了什么啊,11月24日 19:16 来自网页,3589,朽月阿六,0
有没有人可以告诉我这个男人的ins,今天 12:28 来自网页    ,0,一颗越仔,0
他有没有ins啊,今天 12:28 来自网页    ,0,一颗越仔,0
女性生在韩国真是不幸～好不容易出了个女总统可以为女性讲话了，又被一群渣子畜男给弄的进牢。现在这只渣子畜男又害的具荷拉自杀，它却一点事都没有。,11月26日 15:35 来自网页    ,0,一帆风顺6307,1
跟我男朋友一样,11月26日 01:18 来自网页    ,0,YS鱼仙儿,0
希望他死,11月25日 21:48 来自网页    ,0,可爱的大叔刘适时,1
气死我了 真的快点死吧这男的 BISS！！,11月25日 19:48 来自网页    ,0,q1uyj,1
这男的简直了，一辈子不要结婚,11月25日 17:30 来自网页    ,0,开心夙夙,0
辣鸡给我死,11月25日 12:43 来自网页    ,0,-我今天吃糖了吗-,1
为什么死的不是他 那么好的一个姐姐 这个世界对女性太不友好了 尤其是韩国 再一次让我相信韩剧里面那些男的都不存在。。。,11月25日 11:32 来自网页    ,0,pink仁妹,0
这男的赶紧下地狱吧,11月25日 11:07 来自网页    ,0,素小颖儿,1
原来我认得具荷拉就是因为他前男友家暴的事啊，该死的是他啊啊啊！！！！女性太难了,11月25日 10:18 来自网页    ,0,透明萍啊,1
男人坏女人鬼才去爱,11月25日 10:14 来自网页    ,0,午夏和渡,0
韩国网友们麻烦去攻击他好吗？明明是男的问题却要诋毁女性，,11月25日 10:13 来自网页    ,0,木木君贝贝,1
 这个,11月25日 09:53 来自网页    ,0,玥玥酱吖_,0
韩网友，荷拉欧尼前任。求求你们做个人吧,11月25日 09:44 来自网页    ,0,榕容的小迷妹,0
感觉韩国要废了  太乱了,11月25日 09:41 来自网页    ,0,東京灰原哀,0
 气死我了,11月25日 09:37 来自网页    ,0,你怀里才是人间,0
不知道为啥有那么多变态的人,11月25日 09:37 来自网页    ,0,面面what,0
说实话我这个没网农村人第一次知道她，但是是以这个方式我恨遗憾，也特别生气，尤其第六张我觉得特么韩国是疯了吗，凭什么她就涉嫌对男友伤害罪了????神经病吗，她自己被打成那样，男朋友就没有伤害罪?好气啊。,11月25日 09:35 来自网页    ,0,起名字好南啊,0
这是魔鬼吗？！！！！死男人打女朋友！！！！,11月25日 09:12 来自网页    ,0,是呀粒粒,0
好人不长命，祸害遗千年。,11月25日 09:03 来自网页    ,0,剪短头发了啊,0
这些男人都太阴险 恐怖了！韩国真是一个恐怖的国家。,11月25日 08:57 来自网页    ,0,呵呵呵呵哈哈哈呵呵哈哈哈,1
怎么可以去骂他呢 他账号改私密了,11月25日 08:55 来自网页    ,0,tooyoung0528,0
这种人怎么配活着,11月25日 08:55 来自网页    ,0,爱吃面包的肉Doria,1
还是中国男人好，大部分都比较温和，咂摸一下总能找到好的，但是韩国就不一定了,11月25日 08:51 来自网页    ,0,瓶子和无邪,1
这崔钟范赶紧死吧谢谢,11月25日 08:47 来自网页    ,0,国际楠阿,1
韩国棒子,11月25日 08:37 来自网页    ,0,程哥真帅,1
问题是，她真的绿了她前男友吗？？,11月25日 08:31 来自网页    ,1,Jennifer努力努力再努力,0
真的不敢相信,11月25日 08:11 来自网页    ,0,崔兴茹-,0
人至渣无敌,11月25日 08:07 来自网页    ,0,大小姐的CoCo,0
来看看你，欢迎有时间回访哦。,11月25日 08:04 来自网页    ,0,女子占卜馆,0
恶有恶报,11月25日 07:59 来自网页    ,0,亦琛ShakurLK,0
衣冠禽兽，网络暴力呢，去把他攻击死,11月25日 07:53 来自网页    ,0,米米可儿云,1
祝这个男的早日入土,11月25日 07:20 来自网页    ,1,过气温18,1
这男的面相都不是好东西,11月25日 07:17 来自网页    ,0,着手现在-放眼未来,1
唔,11月25日 07:15 来自网页    ,0,yi一口甜,0
就不能把这个男的毒死 考,11月25日 07:01 来自网页    ,0,Meow师,1
韩国的男人才真的大男子主义,11月25日 06:52 来自网页    ,0,范特西still,1
长得一副人模狗样,11月25日 05:23 来自网页    ,0,你好可爱呀·,1
韩语三个字评价他,11月25日 03:31 来自网页    ,0,Naikono,0
键盘侠赶紧来网暴这个辣鸡 人民在召唤你们,11月25日 02:59 来自网页    ,0,stuyon,1
大家记得一定要记得网暴这个垃圾哦 ,11月25日 02:31 来自网页    ,1,prdsdefxxxi,1
辣鸡狗男人,11月25日 02:16 来自网页    ,0,现在的李是最好的,1
靠垃圾,11月25日 01:34 来自网页    ,0,我心情极度复杂,1
祝前男友早日下地狱 你也不好过吧！,11月25日 01:32 来自网页    ,0,可爱呢呀1,1
这男的一脸猥琐样,11月25日 01:08 来自网页    ,0,陈姑娘的微博i,0
韩国男人真是恶臭的代表。,11月25日 00:54 来自网页    ,0,你的盆友买买提,1
姑娘们，再怎么相爱也不要拍那种视频,11月25日 00:53 来自网页    ,0,穿裙子的金刚啊,0
我总感觉背后有更大的人物在操控这一切，所有我们表面看到的并不一定是真相，这个前男友也可能是替罪羊，一个小棋子，反正我不敢往深处想，说是抑郁症，抑郁症又是哪些事情和人导致的，真的很心疼雪梨和小姐姐她们还那么年轻，事实上没有另一个世界消失就是消失，两个鲜活的生命就这样没有了我太痛心了,11月25日 00:40 来自网页    ,1,眞LF,0
男版，“马蓉”,11月25日 00:35 来自网页    ,0,Lu_俐Lu,1
为什么每次都是女生害怕被爆视频  这种事明明是两个人共同的事  男生永远都是威胁者  是不是这个社会对男性的宽容度大于女性  所以才导致男性的有恃无恐,11月25日 00:14 来自网页    ,0,太麻烦w,0
之前主动要求和解的时候 媒体全在骂具荷拉作妖 然而现在看 不得不怀疑是男方拿了私密照和视频威胁 她才不得已这样表示的 你品 你细品,11月24日 23:49 来自网页    ,2,卷_yeo,0
啊这，具荷拉出轨了？,11月24日 23:47 来自网页    ,0,珏仔阿,0
该死的应该是他啊,11月24日 23:45 来自网页    ,0,愿得艺兴人a,1
凭什么受伤的人要先走 而坏人于世好好活着,11月24日 23:40 来自网页    ,0,SxYaooo,0
我希望他下地狱,11月24日 23:36 来自网页    ,0,顾洛舞ZLL,1
这个国家好恐怖,11月24日 23:34 来自网页    ,0,小镇日誌200301,0
死胖子！！,11月24日 23:34 来自网页    ,0,MissYang杨小姐,0
卧槽,11月24日 23:31 来自网页    ,0,炙热·,0
这个大男子主义国家，这种男人，最后还不是有有女人投怀送抱。。。。就没有人让他尝尝网络暴力？,11月24日 23:30 来自网页    ,0,米佳_,1
韩国渣男太多,11月24日 23:26 来自网页    ,0,镇远陈奕迅,1
 前男友长得,11月24日 23:22 来自网页    ,0,youaipinganshunlijiankangxiao,0
韩国人不喜欢网暴男方是吗？那我们网暴他,11月24日 23:20 来自网页    ,0,修车鬼,1
死的应该是他,11月24日 23:19 来自网页    ,0,秃·Naomi,1
都这样了 这个女孩子还能怎么办啊,11月24日 23:19 来自网页    ,0,AT的大肚腩,0
这男的请去💩,11月24日 23:11 来自网页    ,0,落霞飞凫,1
他怎么不死,11月24日 23:00 来自网页    ,0,顧紈,1
我的漂亮姐姐具荷拉啊,11月24日 22:48 来自网页    ,0,不会说话就拜吱声,0
这个男人是有暴力倾向吗？打女人可耻！,11月24日 22:46 来自网页    ,0,你不再是我了,0
唉 虽然我不怎么关注你，但是你和雪莉在那边都要好好的，在下辈子来的时候 依然善良,11月24日 22:45 来自网页    ,0,你不再是我了,0
坏人才应该下地狱！,11月24日 22:45 来自网页    ,0,你不再是我了,0
我很希望她和雪莉真的是自杀，起码有选择生命的权利。,11月24日 22:44 来自网页    ,0,--大飞哥--,0
这样的前男友太渣,11月24日 22:35 来自网页    ,0,lucky玲luckforever,0
恶有恶报。,11月24日 22:32 来自网页    ,0,且念初心,0
韩国男人高高壮壮的，看起来都特别拽，特别骄傲，这种神情在中国男人脸上一般看不到。想来韩国男人应该是被社会修理的不够狠，不知道啥叫垂头丧气。,11月24日 22:31 来自网页    ,1,晏子飞,1
我感觉这个男的像变胖之后的宋仲基,11月24日 22:31 来自网页    ,0,小五cico,0
垃圾这个世界为什么没有神灵，请惩罚恶人,11月24日 22:30 来自网页    ,0,拥抱香港1999,0
