comment,date,support_number,user
 藐视法律,11月25日 18:26 来自网页,104491,FRIDAsaidso
我求求各位姐妹了！如果你们在犹豫在纠结在舍不得的种种情形下，原谅伤害你的人并寄希望于他会变好，哪怕你一时做不了决定，我求求你们把事情告诉父母亲，告诉自己的朋友，用他们正常的思维带你们走出来！我真的不希望每次幡然之后都是你们伤痕累累的样子，这已经晚了,11月25日 18:22 来自网页,77461,Antoliye_
家暴只有0次和无数次。对家暴0容忍也是对自己和对仍在承受家暴的女性的最大尊重。姐姐加油[加油]，正义总会站在正确这一边的。,11月25日 18:20 来自网页,42494,马猴烧酒席地而坐
这种人真的死一万次都不够,5分钟前 来自网页    ,0,韩茄人33
家暴和出轨都是只要有一次，就是无数次。,6分钟前 来自网页    ,0,圆脸橘子猫
离过三次婚？！你不调查调查离婚的原因就敢跟人家谈还同居，我也是服了，男的再怎么花言巧语都是有破绽的，以后长点心吧。,6分钟前 来自网页    ,0,CapFan54
多年前在大理深夜食堂见过男主…… 天啊！,7分钟前 来自网页    ,0,yourose
所以说微博上，网上有很多假象在迷惑我们,7分钟前 来自网页    ,0,菲鱼mufeel
好可怜,9分钟前 来自网页    ,0,菲鱼mufeel
批男人，jj要被割,12分钟前 来自网页    ,0,文大小姐-
可怕的。。。。人呐……,14分钟前 来自网页    ,0,浅breathing
想不明白，是有多大仇恨啊,16分钟前 来自网页    ,0,搞机小豌豆
想不明白，是有多大仇恨啊,16分钟前 来自网页    ,0,搞机小豌豆
触目惊心,18分钟前 来自网页    ,0,曹小九1036
求你了救救小动物,20分钟前 来自网页    ,0,PunkUsxilly
这个渣子男像寄居蟹人格,22分钟前 来自网页    ,0,采影记
我希望他生不如死,22分钟前 来自网页    ,0,前程似锦dll
不是我性别歧视，为什么有这么大一批男性家暴出轨说谎成性欺骗感情……最近爆出的这些真的太多了,26分钟前 来自网页    ,0,田晞晞JJ
现在心疼不能出声的狗狗！！马上碎死暴力男,30分钟前 来自网页    ,0,傻袍子27
真的太恐怖了，感觉电视剧里的情节,30分钟前 来自网页    ,0,壹壶柠檬
对于家暴只有0次和无数次，男女都一样,30分钟前 来自网页    ,0,番茄你个西红柿8886
这种家暴男就应该在监狱呆着,33分钟前 来自网页    ,0,本人喜欢王源
救救狗狗和猫,35分钟前 来自网页    ,0,奶油蘑菇Choco
 难受啊,44分钟前 来自网页    ,0,_翫黯纞
就凭这个渣渣说他从来不打女朋友，就能看出他不是好人，作为一个正常人谁会把自己不打人挂在嘴边？？？？反正我是没见过，真正温柔善良、不会暴力的人从来不会把打人不打人挂在嘴边，一言一行都是本性,47分钟前 来自网页    ,1,Aivy_鍾
《反家暴法》也许只是给国际社会看的摆设，宇芽的加害者没被批捕，蒋劲夫也没被拘留，只有女受害人带着一身伤独自发声……说好的法律保护呢？妇联呢？街道办呢？怎么发生事情的时候都不见了？,47分钟前 来自网页    ,0,舞笛吹剑
我不知道你几岁，但是为什么要找一个经历过那么多情感失败的人？而且年纪还很大，长得也很坨……,49分钟前 来自网页    ,0,曉烁君
恩情,49分钟前 来自网页    ,0,掉渣天6120
变态,50分钟前 来自网页    ,0,7_左先生
家暴的本质是，你明明打不过对方，却要一直激怒对方。我可以一直激怒你，可你却不能打我。如果你爱我，你就需要忍耐，我要发泄，我要爽，而你只能陪笑。,51分钟前 来自网页    ,0,找奔
加油 💪,52分钟前 来自网页    ,0,汪大Kerr
找对象要擦亮眼睛，你28找他44，离婚多次你不问问到底啥原因，,52分钟前 来自网页    ,0,六爷和七公主
小姐姐，保护自己哦,53分钟前 来自网页    ,0,MeiMeng
真吓人，我曾经也谈过一个这样的男朋友，情绪非常不懂的控制，无所事事只会从我要钱，动不动对我就是很暴力的不过不敢打我啦～但是我觉得也很恐怖！希望小姐姐们可以擦亮自己的眼睛找到真正对自己好的另一半,53分钟前 来自网页    ,0,大欢欢么么哒
， ba,58分钟前 来自网页    ,0,-Wisnny
家暴必须零容忍，这大概就是现在的人越来越不想谈恋爱和恐婚的原因之一吧，因为并不能确定你是找到了一生的幸福，还是跌入了一个深渊。,58分钟前 来自网页    ,0,Phil_小狮子
是畜牲吧 那样对待老人,58分钟前 来自网页    ,0,jiushihAiiGjhh
求助，女孩子被前男友拿裸照公布威胁上床，报警了没用，这种情况应该怎么办,今天 17:54 来自网页    ,0,辛普森与粉红豹v
妈呀，这种男的我遇到过一次，虐待小动物 还好我逃出来了  不过后悔没趁他喝醉把狗狗放生,今天 17:53 来自网页    ,0,吧啦吧啦啦cld
人,今天 17:52 来自网页    ,0,above900
我就只想对说一句，你们爸妈把你们当宝贝一样，你们居然让别人伤害你们？🤷♀️ 曾经工作认识了一女孩子，说前男友对她动手动脚 推她打她 。另一方面又夸起她的爸爸妈妈 。我就这句话怼的她：你爸妈那么宝贝你，你就这样被别人对待？他们有多心痛？,今天 17:52 来自网页    ,1,推文Amber
我前男友家暴超过20次 多的我都不记得了 坑钱骗钱 偷钱 超过了三4万了 没工作 整天上网  后来 偷我泡我的朋友 吃我的 喝我得 穿我的 用我的 后来分手 想要把钱拿回来 人已经找不到  他的父母更离谱  我对她儿子那么好 她竟然说他儿子养我  过去一年了 他们家人也不还 那都是我父母的血汗钱,今天 17:52 来自网页    ,0,··雾里浅唱
加油！！！！让恶人受到惩罚！,今天 17:50 来自网页    ,0,小马穿穿甲
这种人就该死了好,今天 17:49 来自网页    ,0,荆棘鸟359
我发现这类人有一个通病，让你远离你家里所有人，身边的所有人，说他们都不是好人。,今天 17:48 来自网页    ,0,紫泡泡Zee
太恐怖了，有的人真的是表面一套背后一套的,今天 17:47 来自网页    ,0,湘湘嗯呢
？虐待动物还家暴？这男的真该死  希望可以得以法律制裁,今天 17:46 来自网页    ,0,原来是雅雯阿
有过相似经历，精神掌控，不断的索要，不服从就冷暴力，反抗就动手，打完了就哄，切断亲人朋友的联系，让你觉得自己一无是处一无所有。动不动就要钱，恨不得几十块钱都惦记，只考虑自己开心，不让睡觉。分手以后一段时间都内心自卑，别人冲我吼叫都会发抖，但现在我已经走出来了。慢慢都会好起来的,今天 17:43 来自网页    ,0,Flora溪蔓
加油！,今天 17:41 来自网页    ,0,JANE和法兰西
你放心，我们都支持你！ 我刚刚去了那个变态的微博点了很多的愤怒的表情，他设置了禁止评论,今天 17:40 来自网页    ,0,陈BOBO的小窝
你放心，我们都支持你！ 我刚刚去了那个变态的微博点了很多的愤怒的表情，他设置了禁止评论,今天 17:40 来自网页    ,0,陈BOBO的小窝
必须严惩家暴,今天 17:40 来自网页    ,0,小虎牙a春
真他妈气死我了 ,今天 17:39 来自网页    ,0,wuli是你的小可爱鸭
我好想改名字，气死我了,今天 17:39 来自网页    ,0,托托超可爱
曾经我也认识过这样一个男生，在一起第一天开始就感觉不对劲，第三天第四天想办法跟我拿钱。也是之前说什么男人的拳头是对外人的，不是对女朋友用的，然后因为不想发生关系就扯着我头发，用力扇我的头，说老子公安局也有人，谁也不能把我怎么样，后来我有点懵了，他就过了一会儿道歉，自己扇自己耳光,今天 17:39 来自网页    ,0,张小心儿牛轧糖
直接枪毙或者无期徒刑吧，我好怕他出来后报复这些女孩，报复社会！！这就是恶魔！,今天 17:38 来自网页    ,0,托托超可爱
姐姐加油,今天 17:37 来自网页    ,0,温樂逹
姐姐加油,今天 17:37 来自网页    ,0,温樂逹
在太可恶了。,今天 17:35 来自网页    ,0,元福1688
我帮你骂他了,今天 17:35 来自网页    ,0,靠谱的美豆芽
说自己是燃烧生命要照亮时代的伟大之人，而且他从来不打女朋友。  啥人在认识的时候会特地强调不打女朋友？,今天 17:35 来自网页    ,0,V莫似鱼V
谢谢你的勇敢,今天 17:35 来自网页    ,0,Janejayjane
加油姐姐！,今天 17:33 来自网页    ,0,Medeolsty
支持你  我看到你说的把婆婆关在屋里我就着急,今天 17:31 来自网页    ,0,Elear_刘娜
哎，这个女的也是可怜之人！别人一求你就心软了！,今天 17:30 来自网页    ,0,hy一棵开花的树
离过3次婚也有人要。。。。。,今天 17:30 来自网页    ,0,甜酱味小饼干cc
那个老逼本来就是恨国党。。。这才华有的，，真够可以的,今天 17:29 来自网页    ,0,鄢崇宣Chopin
哎呦qswlqswl我也要去【开战】了,今天 17:28 来自网页    ,0,seventeen某某栗
这种人就应该抓起来！,今天 17:28 来自网页    ,0,润玉仙的小鱼鳞
美丽的姐姐加油，保护好自己，感谢你为自己做主，为女性发声,今天 17:27 来自网页    ,0,wuli是你的小可爱鸭
站出来真的不容易,今天 17:27 来自网页    ,0,窝主丨超级燕窝
人为钱死,今天 17:26 来自网页    ,0,WeareLOLchampion
家暴太可怕了,今天 17:25 来自网页    ,0,司念是一杯艳酒
哎呦qswlqswl我也要去【开战】了,今天 17:25 来自网页    ,0,seventeen某某栗
抓去坐牢，永远不要放出来祸害人间！,今天 17:23 来自网页    ,0,baby_丹dan
 看短信聊天记录,今天 17:22 来自网页    ,0,yeeee_s
太恐怖了,今天 17:22 来自网页    ,0,原来是猴子mua
加油 你的未来会更好的,今天 17:21 来自网页    ,0,美然w
这样的猪头男咋能找的倒女朋友？老婆的？还打他们？还找他们要钱？妈耶，想不通,今天 17:20 来自网页    ,0,Aina__TT
这样的猪头男咋能找的倒女朋友？老婆的？还打他们？还找他们要钱？妈耶，想不通,今天 17:20 来自网页    ,0,Aina__TT
 太恐怖了 我的天呐,今天 17:17 来自网页    ,0,宇翔高
看他微博里，还在晒狗狗，真不敢想那只狗狗的眼神，多么无助，它也在渴望有人能救它,今天 17:17 来自网页    ,0,李阳cat
禽兽啊,今天 17:17 来自网页    ,0,盖哥哥666
支持！女性要保护好自己！对罪恶说不！！！,今天 17:16 来自网页    ,0,Aimaoyan
我觉得让他坐牢都是享福，枪毙又死得太痛快了，生气😠,今天 17:12 来自网页    ,0,阿毛毛毛毛虫
人还可以发声，那那些猫猫狗狗呢？家暴的人会放过动物吗？？不敢想.....,今天 17:11 来自网页    ,0,猫爪必须在上原则
真是好人不长命  这种垃圾在世间万年不腐啊.赶紧来辆大卡车把他碾成渣渣裹在轮胎里带走吧,今天 17:07 来自网页    ,0,椰爷也烨O_o烨
真的是个神经病吧,今天 17:07 来自网页    ,0,喵喵Christiane
会家暴的男人最可怕,今天 17:06 来自网页    ,0,Venture9490
你这不也是傻吗？？为啥不及时止损阿？唉，心疼真的，看着都揪心,今天 17:04 来自网页    ,0,刘心雨擅长憋屁_
我丢，太可怕了吧,今天 17:04 来自网页    ,0,啵的仙草na
好气人啊，他的微博不能评论好想骂死他,今天 17:02 来自网页    ,0,迟裳He
 大哥！！！你能不能撸起袖子加油干，求你了看不下去了受不了了！！！！,今天 17:02 来自网页    ,0,November-140
垃圾,今天 17:02 来自网页    ,0,洋甘菊vs小雏菊
怎么还没被抓啊？,今天 16:59 来自网页    ,0,向善的恶徒
下午同学在江北法值班的时候看到姐姐了，姐姐要加油呀！,今天 16:59 来自网页    ,0,五千每天都要加油鸭
求他的照片谢谢,今天 16:58 来自网页    ,0,徐无敌ob
一定要通过法律手段让他接受惩罚,今天 16:58 来自网页    ,0,Jiana2017
在想这样一个无钱无权的人都可以家暴的如此嚣张，那有钱有权的人家暴指定是让人走投无路了吧……,今天 16:58 来自网页    ,0,王小雅LEA
emm,今天 16:57 来自网页    ,0,姜涞超级酷
 这个拉鸡，把微博自己的照片都删了，大家记住张狗脸，不要放过他 ,今天 16:55 来自网页    ,0,哆美化妆学校
可怕,今天 16:54 来自网页    ,0,笑起来像春天里的虫虫
来晚了兄弟们,今天 16:52 来自网页    ,0,小爷张少华
活该。女人本就是给男人发泄的 。打你怎么了？,今天 16:52 来自网页    ,1,李学宇光198009
怎么骂都不解气，还不敢开评论 ,今天 16:51 来自网页    ,0,就算世界无童话H
第一次被家暴就不应该原凉，怎么心就那么软呢！,今天 16:51 来自网页    ,0,夏余儿
你们没有结婚，并不算家暴，这就是殴打，希望你可以直接走刑事。,今天 16:51 来自网页    ,1,小八555
好可怕。,今天 16:50 来自网页    ,0,圆宝的肩膀
斩立决,今天 16:46 来自网页    ,0,绝色小狸猫
他这种人丢重庆人的脸 滚出重庆直辖市,今天 16:45 来自网页    ,0,lzyhhh
他离婚几回了！！！你没想这个问题吗？,今天 16:44 来自网页    ,0,风云知道117
勇敢的你 加油,今天 16:44 来自网页    ,0,RY_CCC
我刚看了一下他的微博，然后再看你的微博。他可能是个多重人格的人，角色互换自如，这是大多有写作头脑的人都有的一种技能。为何那些优秀的作家和导演没变成他这样是因为他们理性地从中选择了最好的那个人格，并不断的拿其他恶的人格去告诫自己不能那么做，能很好的分开现实和作品。他没做到，也做不到,今天 16:42 来自网页    ,0,Windheart撕毁诅咒
垃圾人，这种人不配活着，死了也便宜他了，应该分尸,今天 16:41 来自网页    ,0,未来可期-向上吧少年
你带着狗狗和猫一起生活吧，我想它们不会说话但是会感觉到的，没有他你们一定会生活得很开心幸福！,今天 16:39 来自网页    ,0,___六六
感觉狗狗的眼神很… ,今天 16:38 来自网页    ,0,-陈大王
地狱空荡荡 魔鬼在人间,今天 16:36 来自网页    ,0,洋葱葱0209
我只觉得为什么能忍那么多次，这种出于爱的忍让真的是爱吗。,今天 16:36 来自网页    ,0,雨落无声何人悴
姐妹你要坚强！,今天 16:36 来自网页    ,0,不对还不让说
拒绝暴力！,今天 16:35 来自网页    ,0,甜梦痴客
^_^,今天 16:34 来自网页    ,0,Ww叮当猫WwAa
家暴男原地爆炸,今天 16:29 来自网页    ,0,Misssssss1025
本应该被宠爱和保护却是深陷泥塘，有人说如果谈恋爱没有单身快乐那就分手吧,今天 16:28 来自网页    ,0,小月-卉
我爸就是个家暴男，从小就长记性了，现在已经断绝关系，就想看他还能活多久哼,今天 16:28 来自网页    ,0,小花同学你思想不端正
感谢我两年前清醒的头脑，在遭遇第一次家暴威胁后毅然分手，万幸没有受伤！祝愿宇芽早日走出阴影！,今天 16:25 来自网页    ,0,云中漫步在心缘
这是故意伤害，可以判刑了，而且明显的报复性人格，别在留着伤害别人了，,今天 16:23 来自网页    ,0,小郝呆呆dream
  你看了这个吗？,今天 16:22 来自网页    ,0,树一家的猫
我的天啊。打的狗满嘴鲜血。,今天 16:21 来自网页    ,0,yang漂亮呀
你为什么要和一个病态的人生活在一起？他早都不是一个正常人了你现在才看出来吗？姐姐啊，以后找男人长点心吧，不要因为所谓的喜欢和欣赏就盲目相信一个人，,今天 16:21 来自网页    ,0,我是真的真的真的我Rebecca
看到家暴，我想起我的继父，如果没有法律，我希望能捆住我的继父一遍遍的剁他的手，用不同的方法折磨他,今天 16:21 来自网页    ,0,廖一岁是大笨蛋
没有结婚 有了孩子的怎么办  孩子一岁两个月  ,今天 16:18 来自网页    ,0,Tong念念-
不要在垃圾堆找男友,今天 16:18 来自网页    ,0,GAARRAA
有报警了吗？难道只有舆论压力了？,今天 16:18 来自网页    ,0,韩大台
这个人是个魔鬼吧,今天 16:17 来自网页    ,0,ZhuZhu-Jing
我从这两天的事看到了没有秘密的你的好起案例。,今天 16:16 来自网页    ,0,傻瓜仙女冲鸭
加油,今天 16:15 来自网页    ,0,Christine尼
咳 呸 噢该死的家暴男,今天 16:15 来自网页    ,0,长樂平安_
这一次发声，为更多人免于暴力，也为你自己重获新生！,今天 16:15 来自网页    ,0,小易的太阳花
宇芽化妆賊厉害。我也知道宇芽,今天 16:14 来自网页    ,0,你的日匀啊
家暴了去打官司，发你m的微博,今天 16:10 来自网页    ,0,南畔第一
就想说你太傻了,今天 16:09 来自网页    ,0,影疏香暗
支持加油💪,今天 16:09 来自网页    ,0,Monlogue_DY
拒绝家暴，向家暴说不！请勇敢站出来！,今天 16:09 来自网页    ,0,Ccc_顾亚萍
加油！,今天 16:09 来自网页    ,0,甜梦痴客
这种男人活着就是多余,今天 16:08 来自网页    ,0,醒来的女性
哎，博主值得同情。,今天 16:07 来自网页    ,0,万能的大勇哥
想看这个男人的长啥样,今天 16:06 来自网页    ,0,巴啦啦能量变身超级无敌美少女
在重庆的兄弟姐妹们看到这个垃圾麻烦帮忙群殴！这种垃圾怎么配活在世上！,今天 16:06 来自网页    ,0,亦遥啊亦遥
他以为自己是王，可以不顾法律玩弄身边一切的人，禽兽不如的魔鬼,今天 16:06 来自网页    ,0,尽匆匆
sfagfsag,今天 16:06 来自网页    ,0,素年祭语_胶
能不能帮忙救出动物们，这样下去要给他打死去……,今天 16:06 来自网页    ,0,Mcw-哦
害怕,今天 16:05 来自网页    ,0,xiao二bu2
这第一时间不赶紧离开？还跟这种人扯那么多干啥,今天 16:05 来自网页    ,0,蓝色禹滴
加油加油加油加油，会遇到更好的,今天 16:05 来自网页    ,0,你是喔VTM
