comment,date,support_number,user
重庆妇联也联系了我并且一直关注我的事情，真的再次对大家的关心表示感谢，我会保护好自己的。,26分钟前 来自网页,1278,宇芽YUYAMIKA
那么多人出来指证 换来他进去关20天 出来还可以吹吹牛,今天 09:03 来自网页,5542,魏什么呀
20天太少了吧 他不会悔改的,今天 09:03 来自网页,3789,麒麒dys
20天？,1分钟前 来自网页    ,0,潇颖孑
我不是特别同情你 因为所有的一切真的是你当初自己的选择 不知道你们是否门当户对 但是你们的年龄差还是让我深感疑惑 是什么让你们走在一起吗 你的年龄跟我相仿 你找了个能当你叔的朋友做了你的男友 有些东西每个人都有每个人的见解 但是我不理解 所以更谈不得同情 怜悯 公之于众到底是好的,1分钟前 来自网页    ,0,一时释
才20天？,1分钟前 来自网页    ,0,Bingo_Mommy
20天太少了，出来后不会悔改的，应该终身监禁，别出来祸害人了,1分钟前 来自网页    ,0,Loveuu_Amin
20天也太便宜了吧艹,1分钟前 来自网页    ,0,长清区区花
我是比较担心他出来后，怎么办！你要好好保护自己！天黑的时候不要一个人呆着！门口必须要有摄像机！凡事注意安全！,1分钟前 来自网页    ,0,白粥撞上油炸鬼
好好惩治这种东西,1分钟前 来自网页    ,0,电影视频达人
才20天？,1分钟前 来自网页    ,0,Bingo_Mommy
20天太少了，出来后不会悔改的，应该终身监禁，别出来祸害人了,1分钟前 来自网页    ,0,Loveuu_Amin
20天也太便宜了吧艹,1分钟前 来自网页    ,0,长清区区花
我是比较担心他出来后，怎么办！你要好好保护自己！天黑的时候不要一个人呆着！门口必须要有摄像机！凡事注意安全！,1分钟前 来自网页    ,0,白粥撞上油炸鬼
好好惩治这种东西,1分钟前 来自网页    ,0,电影视频达人
卧槽才关了20天？这种人本性难改，他一定会打击报复的。,1分钟前 来自网页    ,0,何以解忧21815
20天顶屁用,1分钟前 来自网页    ,0,AchtNeuN_
你在干嘛呢半天不回消息？,1分钟前 来自网页    ,0,优雅淘淘
20天也太便宜了吧艹,1分钟前 来自网页    ,0,长清区区花
我是比较担心他出来后，怎么办！你要好好保护自己！天黑的时候不要一个人呆着！门口必须要有摄像机！凡事注意安全！,1分钟前 来自网页    ,0,白粥撞上油炸鬼
好好惩治这种东西,1分钟前 来自网页    ,0,电影视频达人
卧槽才关了20天？这种人本性难改，他一定会打击报复的。,1分钟前 来自网页    ,0,何以解忧21815
20天顶屁用,2分钟前 来自网页    ,0,AchtNeuN_
你在干嘛呢半天不回消息？,2分钟前 来自网页    ,0,优雅淘淘
才20天？中国法律对伤害妇女儿童的罪行判的真轻！20天出来能从新做人？？,2分钟前 来自网页    ,0,Max小姐的飞行轨迹
怎么屏蔽出你的生活圈呢？,2分钟前 来自网页    ,0,lucky89881
要保护好自己呀，以后会越来越好的～,2分钟前 来自网页    ,0,夜-星-静
要保护好自己呀，以后会越来越好的～,2分钟前 来自网页    ,0,夜-星-静
才20天初来还要祸害人,2分钟前 来自网页    ,0,三桥的大赖熊
我希望看到他已自杀的相关报道,2分钟前 来自网页    ,1,阿道夫希芙勒
你是不幸的，因为你遇到了万恶的沱沱，但你又是万幸的，因为警察和妇联介入了，大多数被家暴者报警警察去了也就是调节一下录个口供就走了，大多数妇联都会以没有执法能力而表示同情……,2分钟前 来自网页    ,0,茉雨飘飘
发微博之前有没有报警处理？既然有证据不报警先在微博上先曝光，这女的虽然是受害者但是也挺有手段，都是文艺圈混的直接断人生路,2分钟前 来自网页    ,0,手持燃烧的打火机
对于这种人我不相信他仅仅用20天改过自新 不管怎样还是要请宇芽保护好自己 还要请各位女生保护好自己！,2分钟前 来自网页    ,0,人多丽不怪
干死他 md,2分钟前 来自网页    ,0,xuaam4
发微博之前有没有报警处理？既然有证据不报警先在微博上先曝光，这女的虽然是受害者但是也挺有手段，都是文艺圈混的直接断人生路,2分钟前 来自网页    ,0,手持燃烧的打火机
对于这种人我不相信他仅仅用20天改过自新 不管怎样还是要请宇芽保护好自己 还要请各位女生保护好自己！,2分钟前 来自网页    ,0,人多丽不怪
干死他 md,2分钟前 来自网页    ,0,xuaam4
20天？？？？,2分钟前 来自网页    ,0,慵懒的百利甜er
关他个人渣一辈子,3分钟前 来自网页    ,0,再见那一地鸡毛
才20天，太少了,3分钟前 来自网页    ,0,你橘啊
