comment,date,support_number,user,hateful
我以为我穿越了。。。。又？？？？,11月26日 23:10 来自网页,112729,子cccccccccccc,0
爱打女人的阳光大男孩蒋劲夫,11月26日 23:10 来自网页,79304,LyVanilla-,0
又家暴？,11月26日 23:10 来自网页,47385,南毓瑶,0
看,1分钟前 来自网页    ,0,贡fs_ZZOu,0
家暴永远不值得被原谅,1分钟前 来自网页    ,0,丶鸡你太美丶,0
不站队,2分钟前 来自网页    ,0,可可茜恩,0
这年头还是单身活得比较久一点,2分钟前 来自网页    ,0,Becky·戴佳琳,0
这事过多久了？怎么又发了一遍？,3分钟前 来自网页    ,0,宿命里的猫66,0
看真相吧,3分钟前 来自网页    ,0,plf李现小哥哥,0
这回实锤了吧,6分钟前 来自网页    ,0,小妖CC721,0
你前女友应该坚持起诉你，让你坐牢，别祸害女生,6分钟前 来自网页    ,0,皮皮猪爱猪仔,0
真的有可能有人搞蒋劲夫 那个女的为什么不在分手后第一时间爆出来 就非得这个时间,7分钟前 来自网页    ,0,鬼笄,0
真的吗,7分钟前 来自网页    ,0,咬着棒棒糖闯天下cl,0
这次还要洗白吗？ 这样的人建议关到精神病医院去治疗！,7分钟前 来自网页    ,0,醉看红颜梦一场,0
国际拳王 打出风采,8分钟前 来自网页    ,0,秋水仙碱h9,0
心里变态  我的天  好可怕 真的看不出他是这样的人！！想不到会这样。。,9分钟前 来自网页    ,0,eeiiiiikoo,0
阳光铁拳大男孩蒋劲夫加油啊！！你是最铁的！,9分钟前 来自网页    ,0,摄影丶习惯,0
东亚劲夫，再次重全出击,10分钟前 来自网页    ,0,35899哈哈,0
我的天呐。。。为什么蒋劲夫会这样。。我的妈。。以前他还不挺好的？？我的妈。。。可怕。。,10分钟前 来自网页    ,0,eeiiiiikoo,0
两次了，他绝逼心理有毛病的,11分钟前 来自网页    ,0,小鹿乱撞_砰砰砰,0
不去参加追我吧可惜了,11分钟前 来自网页    ,0,金考拉改变一个悲剧,0
黄 劲 体 验 镇 魂 歌,11分钟前 来自网页    ,0,一斤羊腿,0
他刚谈一个又开始啦，是不是心里有病啊,12分钟前 来自网页    ,0,栗子和筠,0
同感//,12分钟前 来自网页    ,0,肽聚的22194,0
建议建个斗兽场，把这些暴力狂圈进去做角斗士。具有经济价值，娱乐价值和教育意义ડ🌚ડ,12分钟前 来自网页    ,0,一步申请工作室,0
真是凉透了,12分钟前 来自网页    ,0,二硕二硕二硕,0
看,12分钟前 来自网页    ,0,贡fs_ZZOu,0
别再洗白了……要么接受法律制裁，要么去看看病……也别恋爱了，别害别人了……真是专挑不知道的老外下手……,13分钟前 来自网页    ,1,差评笔记,0
真心觉得你不适合谈恋爱，好好拍戏不行嘛！每次都是因为这些破事上热搜！感觉你离凉凉不远了,13分钟前 来自网页    ,0,葡萄干甜到牙,0
别急着找女朋友，多看看书，提升一下修养和情商再开始新的感情，不然又会是很尴尬的境地，打没打，暴没暴，没有实打实证据，谁的话也不能信，看你这找对象找得我都揪心，处理不好感情，还耐不住寂寞。孩子长点心吧！,15分钟前 来自网页    ,1,下雨天也要晒太阳,0
谁在帮说话，捶死他，女生都诬陷他？,16分钟前 来自网页    ,1,快乐的张小疯,0
他是个变态吧,16分钟前 来自网页    ,0,璐璐的lily,0
家暴只有0次和N次，这姓蒋的，是心理有疾病吧,16分钟前 来自网页    ,0,夲宮_糖糖,0
都有人澄清了搞什么？？！,18分钟前 来自网页    ,0,Only约定_,0
我觉得很假。不到两个月就家暴????女的故意的吧,19分钟前 来自网页    ,1,咖咖咻,0
不该死的人都死了，该死的人都活着，这是个什么道理，大家细品,19分钟前 来自网页    ,1,吃啥都不胖嘿嘿嘿,0
蒋劲夫肯定有SM暴力倾向！喜欢各种高难度捆绑虐待性爱姿势！没把女的弄爽还整这么多没用的！哪个女的不生气！,19分钟前 来自网页    ,0,菠菜頭KK,1
刚完事，就不能消停点！有暴力倾向，而且和异型相处有问题。就不能消停一下，还非要找外国女生？怎么想的，饥渴成这样，真是自己非要作死。,20分钟前 来自网页    ,0,倾斜90度,0
之前还一堆明星给他站队，真是打脸。家暴就是不对，有什么好洗的？,20分钟前 来自网页    ,0,残酷仙境梦游,0
这是谣言，详情请去蒋劲夫微博,21分钟前 来自网页    ,0,宥昱到你,0
垃圾，建议让他跟邹市明互殴！,21分钟前 来自网页    ,0,佛曰一朵妖孽花,0
家暴吧我信，可是这卡啊，这个电脑剪的，摔的很娘,21分钟前 来自网页    ,0,谁不在拼命,0
额……怎么又,22分钟前 来自网页    ,0,陌上一鹿寻花开,0
坐等女方锤死他,22分钟前 来自网页    ,0,小番茄童装,0
为啥不去看病🏥,23分钟前 来自网页    ,0,一朵冷静的花花,0
看,23分钟前 来自网页    ,0,贡fs_ZZOu,0
很明显是有人要搞蒋劲夫啊！你能解释一下为什么要等三个月再爆出来吗？,23分钟前 来自网页    ,0,李平MM,0
我去对父母都这样的吗,24分钟前 来自网页    ,0,小傻嘟嘟嘟嘟嘟,0
他再怎么样也不会侮辱自己的父母吧....,24分钟前 来自网页    ,0,吃瓜群众下k,0
需要三个月才能养好的伤，照片在哪？验伤证明在哪？拿出来，我才站女方,24分钟前 来自网页    ,1,i淳儿,0
不婚不孕保平安,24分钟前 来自网页    ,0,鹿鹿九儿,0
送去当兵吧，管束管束。,25分钟前 来自网页    ,0,op第十人op,0
我觉得是被暗箭伤到了 不知道为啥相信另有隐情,25分钟前 来自网页    ,0,va哈哈哈茜,0
啥石锤都没有 就他女朋友发了几句话大家又开始骂了 我不是他的粉 但是大家也理智点吃瓜好吗,25分钟前 来自网页    ,0,VIVA不高兴了,0
白瞎了，第一次在荧幕看到他觉得很好看很阳光，不会是被这个圈子折磨的吧！,27分钟前 来自网页    ,0,甄格格33,0
家暴？？？这是位武功,27分钟前 来自网页    ,0,只有行动才踏实,0
不过既然逃出来了，为什么没有拍自己身上的伤？这样应该更实锤吧，,27分钟前 来自网页    ,0,心爱的美人beauty,0
这个男的有病！鉴定完毕,28分钟前 来自网页    ,0,颜彦forever,0
我就看到一句，他想让我怀孕,29分钟前 来自网页    ,1,-太虚任遨游-,0
呵呵,29分钟前 来自网页    ,0,连宇_,0
