comment,date,support_number,user,hateful
暴徒有心就不会当暴徒了 这些人biss,11月21日 14:47 来自网页,27417,卖不出衣服的店主,0
我觉得香港事件最可笑的就是，好人必须得蒙着面才敢站在公众下说话，坏人确可以靠蒙面为所欲为,11月21日 15:08 来自网页,26200,鸡蛋少了黄,0
还有人竟然说是苦肉计，说什么酒精烧的不会造成皮肤损伤。人一旦疯了，就不会说人话了。,11月21日 15:07 来自网页,12708,若耶溪艄公,0
暴徒biss！！,今天 13:06 来自网页    ,0,Elk_AHOLIC,0
看到香港问题，就是控制不住体内洪荒之力，暴徒是脑袋进水了吗？居然还有高校学生，学的东西也都被狗吃了吗,今天 12:49 来自网页    ,0,一只仓鼠的忧伤,0
希望李伯伯早日康复,今天 12:45 来自网页    ,0,陌上花开可缓缓归矣_W,0
暴徒给我getout,今天 12:39 来自网页    ,0,君子是我鸭,0
 唉,今天 12:38 来自网页    ,0,Bymyself-R,0
早日康复🙏🙏🙏,今天 12:36 来自网页    ,0,喵咪_ohh,0
太可怕了,今天 12:34 来自网页    ,0,_IsRealMe_,0
募捐结束了呀,今天 12:29 来自网页    ,0,o二向箔o,0
希望祖国和平统一 暴徒早日觉醒,今天 12:28 来自网页    ,0,零零落落555AA,0
一群短视的港青，脑子就不明白搞乱香港对他们有啥好处？天若令其亡，必先令其狂。,今天 12:24 来自网页    ,0,go小二郎啊,0
太乱了,今天 12:13 来自网页    ,0,默竺,0
伤害老百姓算什么人哦？,今天 12:08 来自网页    ,0,jyoouu,0
但愿平安,今天 12:06 来自网页    ,0,莲花在心中,0
那个纵火犯到底抓到没？,今天 12:05 来自网页    ,0,吖SaM丶,0
暴徒太可恶了 暴徒bisi,今天 12:03 来自网页    ,0,好运好运呀hh,0
祝李伯早日康复，暴徒早日下地狱！,今天 12:02 来自网页    ,0,-turboyuan-,0
这些暴徒的行为证明了他们就是一群反人类的暴徒，他们的行为不是为了大众的利益，而是为了他们一小撮人的利益，因为法西斯暴行永远不会是为了人们大众的。,今天 12:00 来自网页    ,0,老候鸟的足迹,0
太可怕了,今天 11:59 来自网页    ,0,蟑螂夹心饼,0
福利彩票那么有钱，干嘛又让百姓捐……哥都二月没吃红烧肉了……,今天 11:54 来自网页    ,0,南城20067,0
希望阿伯好起来,今天 11:53 来自网页    ,0,我永远快乐_,0
切，他们会有心？,今天 11:47 来自网页    ,0,dustcodex,0
这不是犯罪吗，警察不管？,今天 11:43 来自网页    ,0,上吊的熊9,0
希望香港🇭🇰和平稳定,今天 11:42 来自网页    ,0,傲娇玻璃心ws,0
气愤。真的很想一脚踩死一个这些蟑螂,今天 11:38 来自网页    ,0,方小煊426,0
太过分了吧,今天 11:32 来自网页    ,1,#NAME?,0
暴徒必须严惩,今天 11:27 来自网页    ,0,李小黑13245768,0
垃圾,今天 11:25 来自网页    ,0,#NAME?,1
当暴力来袭时，必须以暴制暴，警告已经是没有用了，所有的暴徒都觉得，反正是警告，无所谓，连肉体上的责罚都没有，所以更加放肆,今天 11:24 来自网页    ,0,大王叫我玩泥巴,0
是时候该采取强制措施，不能任期肆意妄为,今天 11:23 来自网页    ,0,杨桃love香蕉,0
严惩暴徒,今天 11:23 来自网页    ,0,AA正大光明,0
能说出烧钱让经济体系崩溃的人，你指望他有脑子将心比心？,今天 11:17 来自网页    ,0,恰似相逢最是伤心,0
他是三个孩子的父亲啊！暴徒真的没有心！怎么下得去手！,今天 05:25 来自网页    ,0,崇洞,0
来我们大陆吧，香港现在是生是死毫不关心,今天 04:31 来自网页    ,0,三七twoone,0
为什么包裹得这么严实,今天 02:01 来自网页    ,0,FPX夺冠吧,0
总是听到一些香港人说自己说的话是广东话，但是，作为一个纯正且爱国的广东人，我觉得好丢脸，好气愤，好无语。,11月26日 23:55 来自网页    ,0,房间里的三维立方,0
憨批些,11月26日 20:42 来自网页    ,0,fjykdx哦,0
暴徒被抓了吗，通缉了吗？追查了吗？,11月26日 19:53 来自网页    ,0,玉碎凤凰叫,0
真他妈好笑，受害者还不得见人,11月26日 19:13 来自网页    ,2,M-JEngIish,0
为啥不击毙暴徒？,11月26日 17:01 来自网页    ,0,K南故笙烟,0
暴徒是没有人性的,11月26日 16:28 来自网页    ,0,名杨棒棒滴,0
正义会到,11月26日 14:17 来自网页    ,0,暮念晨安,0
之前的某些媒体,11月26日 13:18 来自网页    ,0,唔仲意喰魚啲貓,0
我的妈呀。是人么…,11月26日 12:06 来自网页    ,0,十七是姑娘,0
我不会捐，因为我不想为香港废青做的恶负责，香港政府真的抓不到人么？,11月26日 11:04 来自网页    ,0,瑞瑞是小太阳啊,0
报这个有什么用还是泛民派赢了证明他们的心就不是向着中国的,11月26日 08:11 来自网页    ,0,鱼与鱼其名为鲲,0
现在感觉这个烧伤行为不是一个所为，是香港社会整体所做，鲁迅当年说中国整个社会得病了，现在我看整个香港社会得病了，而且还病的不轻,11月26日 07:46 来自网页    ,0,紫龙飞将,0
看他们投票投谁我才捐,11月26日 07:23 来自网页    ,0,眼睛里要有星星,0
我没有明白为啥要捐款，难道香港付不起老伯的医药费吗？这种情况不应该是免费的吗？就算不免费香港政府不负责吗？,11月26日 05:38 来自网页    ,1,宝児Crystal,0
 同样是中国人，在香港被暴徒打了，为什么没有人关注？？,11月26日 03:11 来自网页    ,0,海海突突突,0
 他被我打那么严重，，，没有关注,11月26日 03:09 来自网页    ,0,海海突突突,0
每次我都来晚了,11月26日 01:05 来自网页    ,0,肥平你什么时候陪你老婆看日落,0
早日康复,11月26日 00:04 来自网页    ,0,Gu-guan,0
也请关注下11号被暴打进icu的大陆人士,11月26日 00:03 来自网页    ,0,小球儿猫酱,0
人抓到没有 到底是谁能干出这么残忍的事情？,11月26日 00:00 来自网页    ,0,寒磐满空林,0
以后香港人上街都戴口罩了，将来要出台禁不戴口罩法，不戴口罩的都抓起来,11月25日 23:49 来自网页    ,0,自小爱中华,0
为什么不把烧人者抓起来呢？,11月25日 23:07 来自网页    ,0,Love夏花1987,0
香港好多网友庆祝建制派败选，说什么中国13亿人民需要香港把民主传过来，太可怕了。明明是因为回归了才有的民主，简直太可笑了。愚昧无知，真的需要他们多了解内地才行。,11月25日 23:04 来自网页    ,0,压死大象的茂,0
才看到，来晚了,11月25日 21:12 来自网页    ,0,浩浩是颗小星星啊,0
医药费谁出？,11月25日 20:38 来自网页    ,0,宇宙无敌哈哈哈哈哈哈哈哈哈,0
