comment,date,support_number,user
看完图片大家有什么想法，可以评论留言。,今天 19:25 来自网页,41,ShanG-ZP
枪毙这些人，这些暴徒真是不配为人！,今天 17:33 来自网页,60,茶馆喇叭裤
国家为啥还要美化香港，香港人大多数感觉都不爱国,今天 16:25 来自网页,384,蜗牛的断舍离日常
希望做好招生审查工作，可以适当放一个进来，然后杀鸡儆猴，把他录到东北去，嘿嘿,2分钟前 来自网页    ,0,请你明天的太阳
本来还盼着香港早日恢复平静呢 选举结果出来才发现 原来大部分香港人不领情啊 无所谓了 爱咋咋地 让新上任的那些废青们带领你们吧 你们不想接受内地强大的事实 却闹了几个月 使香港经济十年最低 以后差距会越来越大的 内地会越来越有钱的 还有你们自己打砸抢烧完了 还得自己花钱修好 真傻,4分钟前 来自网页    ,0,长夏好听吗
为什么要容忍他们呢。难道那些无辜的百姓就要因为对他们的容忍无缘无故惨死吗。？？？,5分钟前 来自网页    ,0,阿沐会陪小啵走到2023
都是那些垃圾印尼猴子还有东南亚狗砸移民种,10分钟前 来自网页    ,0,网络暴力真可怕00
大家稍安勿躁，我们只在微博谴责就行了,15分钟前 来自网页    ,1,陈先生爱小仙女
不当别人是人,15分钟前 来自网页    ,0,泅凫-
难过了,16分钟前 来自网页    ,0,圆圆登的小粉思
暴徒们的行为在我们大陆人的眼里看起来就像在看笑话一样，中华上下五千年，没有谁要脱离中国，区区一个一千多平方公里的小岛竟然天天喊港独，冬天到了，祖国母亲的怀抱不暖嘛？,16分钟前 来自网页    ,1,蔚泪卿jin
被荼毒的那些学生，已经无法回头了。别洗脑了。别金钱砸碎了脑袋,18分钟前 来自网页    ,0,无处停留的尘埃
吃里扒外！,19分钟前 来自网页    ,1,叶艾茂
杨先生现在怎么样啊……我之前看的新闻 字里行间都是他的恐惧和无助 而且还有很大的阴影 他一个人在外地工作..... 不知道有没有人照顾他...,21分钟前 来自网页    ,1,锦衣化石是也
对于香港现在的局势，我只能用里皮的话来讲:祝福香港,21分钟前 来自网页    ,1,我改什么你没发现
不要去香港了,21分钟前 来自网页    ,0,一块三的小卤蛋
不要去香港了,22分钟前 来自网页    ,0,一块三的小卤蛋
转发微博,26分钟前 来自网页    ,0,桃夭匪匪
我一直搞不明白那些一直喊“用深圳代替香港”的观点，香港之所以成为行政特区不是因为国家给的称号，也不是因为是从英国收回来  最关键的是“一国两制”提供了自由行政环境，再加上美国给了香港自由港的地位！这两点才是最最最关键的。深圳这个依靠着吸血香港崛起的城市能满足上面两点中的哪一条？？,27分钟前 来自网页    ,0,Wiiiiiiika
转发微博,27分钟前 来自网页    ,1,逢床作兮
转发微博,27分钟前 来自网页    ,1,逢床作兮
我一直搞不明白那些一直喊“用深圳代替香港”的观点，香港之所以成为行政特区不是因为国家给的称号，也不是因为是从英国收回来  最关键的是“一国两制”提供了自由行政环境，再加上美国给了香港自由港的地位！这两点才是最最最关键的。深圳这个依靠着吸血香港崛起的城市能满足上面两点中的哪一条？？？,28分钟前 来自网页    ,0,Wiiiiiiika
1月份去，希望能恢复正常,28分钟前 来自网页    ,1,家门生辉
没他们做内应煽动不作为，拿港府的钱做祸害港府的事，政府做事还能快一点。 图八的画解放军陆军的大檐帽帽圈是红色，金色的是武警部队。,28分钟前 来自网页    ,1,韓礧
图八是谁画的呀,28分钟前 来自网页    ,0,蜜桃酒__
把他们都枪毙看谁还敢闹,29分钟前 来自网页    ,0,明霞煦爽
哈哈哈，750万犯罪分子，怎么抓啊,31分钟前 来自网页    ,1,岚白衣
我觉得，国家有必要介入了，强势一点,32分钟前 来自网页    ,1,电竞男神吴天成
对24号投票很失望，何律师也落选了，所谓亲内地的人都被说成卖港贼，被报复被侮辱。从小到大“一家人”的概念在我心里无论对台对港对澳，可是除了澳门和部分港台爱国人士，我们都遭到大部分人这种歧视跟偏见跟敌意。我们的同根同源在她们眼里却是可耻的，政治利用下暴动被美化的彻底，连道德都可以摒弃,32分钟前 来自网页    ,0,贵野君
真希望从中央直接以暴制暴。全他妈毙了,34分钟前 来自网页    ,0,miindoaken
为何至今没人处理他的事儿？,34分钟前 来自网页    ,0,Alinna1986
真的很心疼杨先生的遭遇，出事了竟然还有人质疑他不该去HK，质疑他不该这时候发声，真的希望大家关心香港同胞的悲惨遭遇的时候也多关心杨先生，真是从死亡边缘爬回来还要被冷血的HK李姐们伤透心,35分钟前 来自网页    ,6,糖小糖0722
小心点,38分钟前 来自网页    ,1,缺氧的感觉啦
解决了吗？,40分钟前 来自网页    ,0,北极心爱香格里拉哎呦喂
我的天，这是我认识的一个朋友啊，他是东北的，经常出差去香港，暴徒太可恶了，好端端的人被打成这样子，看着就疼，止爆治乱刻不容缓！,43分钟前 来自网页    ,2,蝎子哥哥你最棒
关注了杨先生，他现在真的很绝望,43分钟前 来自网页    ,0,很胖的喻
黑旋风有点厉害,47分钟前 来自网页    ,1,想撸猫来着
有个吊用,47分钟前 来自网页    ,0,SSSSSS686
这群暴徒太可恶了，我前面还看到一个老爷爷被他们放火点着了的视频，好吓人。真心希望香港能早日回归和平，祝各位能够平安,48分钟前 来自网页    ,0,控Melantha
emmm图八陆军的臂章应该在左胳膊。。。,50分钟前 来自网页    ,1,hurlbert
凶手抓到了没有？,50分钟前 来自网页    ,1,要记住密码真不容易
呵呵,51分钟前 来自网页    ,0,埃及深海的吴邪A
必须先保持革命队伍的纯洁！,52分钟前 来自网页    ,2,剩者为王111111
我不要你觉得，我要我觉得，香港是中国的，都听我的,52分钟前 来自网页    ,0,曾贤儿Superman
我不要你觉得，我要我觉得，香港是中国的，都听我的,52分钟前 来自网页    ,0,曾贤儿Superman
X光哪个少了截手指,53分钟前 来自网页    ,1,精神小伙汁香坊大呲花
把这些人名单公布出来，让中国全社会监督这些港独！,56分钟前 来自网页    ,1,肢解影视剧
294万投票结果就已经说明一切了,56分钟前 来自网页    ,1,珠海市麦叔叔餐饮
太伤心了，痛恨,56分钟前 来自网页    ,0,康美就是我
别再拉仇恨了。没事就别去香港吧,今天 19:30 来自网页    ,0,雨中彩虹201603
让它衰退5年就够了,今天 19:30 来自网页    ,1,俺是江湖人
图7是怎么回事？那几个外籍警察还有心情笑得出来,今天 19:28 来自网页    ,0,我想说你很好1992
生气,今天 19:28 来自网页    ,1,猕猴桃西瓜霜
看完图片大家有什么想法，可以评论留言。,今天 19:25 来自网页    ,42,ShanG-ZP
高校招有屁用，这些人从小学就被洗脑了。到时候培养一批卧底间谍,今天 19:21 来自网页    ,0,旺财小公主1
回复 ,今天 19:08 来自网页    ,0,橘子味儿的夏天呀
引狼入室？🐺,今天 19:04 来自网页    ,1,扁头袋鼠
身上的驱虫喷雾亮了哈哈哈,今天 18:58 来自网页    ,0,大糖可乐
一哥带领弟兄手足占领街道祛除垃圾,今天 18:57 来自网页    ,0,大糖可乐
为什么要忍着他们？,今天 18:56 来自网页    ,0,霖霖yhl
人自作多情，承认吧香港就是个不孝子！哪怕你反过来跪下叫他们爸爸都懒得你了！你开放学校人家理你吗？！,今天 18:56 来自网页    ,0,威廉果果的二哥哥
招收他们干什么？无语,今天 18:55 来自网页    ,2,公子有缺
有些事不该被遗忘,今天 18:55 来自网页    ,1,浮花若似她
讨厌香港,今天 18:54 来自网页    ,1,久久dz66
就应该对付新疆地区的人一样对付香港人。保证服服帖帖。暴动的直接抓坐牢。,今天 18:50 来自网页    ,0,迷迷蒙蒙c
这样一对比，感觉澳门币香港好太多了，一直都觉得香港就是太被照顾了,今天 18:49 来自网页    ,0,妮妮暖闯天涯2002
会闹的孩子有糖吃,今天 18:46 来自网页    ,1,DDylan是个暴脾气
大家都知道废青不灭，香港不宁。再怎么美化香港，其实大家也都有自知之明。,今天 18:41 来自网页    ,0,拿下CPA之后改名字
大家都知道废青不灭，香港不宁。再怎么美化香港，其实大家也都有自知之明。,今天 18:41 来自网页    ,0,拿下CPA之后改名字
回复 ,今天 18:34 来自网页    ,4,橘子味儿的夏天呀
为什么会被打,今天 18:32 来自网页    ,1,Nari-w
从选举就看出来了 太烂了,今天 18:32 来自网页    ,0,Nari-w
从选举就看出来了 太烂了,今天 18:32 来自网页    ,0,Nari-w
估计是大陆想对香港学生进行政治洗脑吧，大陆没法干预香港的教材内容，所以尽量多地把香港学生招到内地来，进行爱国主义教育，进而改变香港人民思想，为最终的彻底统一做准备,今天 18:29 来自网页    ,0,忆苦思甜AAbb
回复 ,今天 18:11 来自网页    ,3,橘子味儿的夏天呀
那个一串英文字母的不是蠢就是贱，不过看他关注列表就知道了。怕是撑警撑成了个人崇拜,今天 18:09 来自网页    ,7,橘子味儿的夏天呀
香港超国民时代快结束吧，希望大陆日渐强大,今天 18:09 来自网页    ,0,当我遇见信仰
回复 ,今天 18:07 来自网页    ,1,橘子味儿的夏天呀
呵我已经看过几次这报道，但就是上不去，哎，我真的希望这时候别去香港了，我有个邻居还隔三差五跑去代购，有个朋友老公因为在那边工资比较高自己不愿意回来……真的，安全第一啊！希望单位也为员工负责，别安排员工过去了。另外香港百姓也是冷漠，我真的一点都不同情他们，他们也不需要我们同情吧。,今天 18:05 来自网页    ,2,平胸妹的男朋友是大香蕉
岂曰无衣，与子同袍！,今天 18:01 来自网页    ,0,肥猪吉揩小珂油
凶手呢，抓到没，民事赔偿啊,今天 17:59 来自网页    ,0,星辰大海127
这算蓄意杀人了吧，应该牢底坐穿,今天 17:59 来自网页    ,0,一宜旖佚
早日康复,今天 17:57 来自网页    ,0,糖JZ
参加过香港暴力活动的 一律排除在外,今天 17:56 来自网页    ,0,红烧排骨Lyu
为什么不以暴制暴，虽然可能性不大，但是这样是不是有点太…… 对我们这些遵纪守法的公民太不公平了,今天 17:55 来自网页    ,0,白露为喵
讲一个笑话,今天 17:52 来自网页    ,14,撩鱼羊技
讲一个笑话,今天 17:52 来自网页    ,14,撩鱼羊技
香港人,今天 17:52 来自网页    ,1,神奇鸨贝
头骨骨折，废青下狠手了,今天 17:52 来自网页    ,0,两个很圆的甜甜圈儿
这个小哥哥真的太惨了,今天 17:51 来自网页    ,0,你只是个敷衍
看过视频，真的气人😡,今天 17:51 来自网页    ,0,Alin_要努力
快来接受教育吧,今天 17:50 来自网页    ,3,彭冠英今天出圈了吗
暴戾恣睢的暴徒,今天 17:50 来自网页    ,1,QZLGD2016
港生建议来之前由当地警方和主管部门出具一份类似内地的『无违法犯罪记录证明』，再审查其社交媒体上言论的政治倾向！放进来也行。那就请体验一下我们内地学生们对您们对你们这些尊贵的『大英子民』们的欢迎方式，,今天 17:49 来自网页    ,4,丑龍貓
前几天有一个这样的微博就被删了，我还转了,今天 17:49 来自网页    ,0,蓝酱油guai
暴徒！！！,今天 17:47 来自网页    ,1,饼了个干儿
 ,今天 17:47 来自网页    ,0,_饭小小锦鲤
回复 ,今天 17:47 来自网页    ,7,熹微旧梦
太恐怖了。。。,今天 17:46 来自网页    ,2,瘫在床上的咸鱼
真的不敢再去香港了,今天 17:45 来自网页    ,0,窦是你你你
从小学就来最好！，不行就高中，最早最好！！！,今天 17:43 来自网页    ,0,Huifeidemanyu
