comment,date,support_number,user
都是爷爷奶奶辈的，年轻人呢,11月23日 16:27 来自网页,1895,我像个笨逼
看起来是很欣慰，就是这点人跟暴力示威比起来…… 香港真的大部分都烂了,11月23日 16:26 来自网页,814,路边捡来个狗
都是老年人？,11月23日 16:33 来自网页,479,流浪的群众
这个游行集会合法吗？有没有得到当地警方的备案批准？？？,今天 14:20 来自网页    ,1,旖旖要陽光
这个罪恶的无耻的法案，到底是什么内容，具体？,今天 08:48 来自网页    ,0,-大投机家-
大家是不是忘了还有一件事，在堂堂的中华人民共和国领土上，在各媒体高举的话筒中，我们却看不到自己的喉舌……中央电视台台标——,11月25日 22:24 来自网页    ,0,夢在古長安
唉 年轻人啊,11月25日 22:08 来自网页    ,0,satomi23
再发什么正能量的我们也不信了，别人选举结果已经告诉我们他们真实的民意了，我们曾以为自己是大多数，最后发现原来一直都是少数派,11月25日 22:04 来自网页    ,3,肥王爺
记者比游行的人多,11月25日 22:00 来自网页    ,1,tom_waits
寥寥数人,11月25日 21:05 来自网页    ,0,LB_HEAVYARMS
然而，区选还是输了？,11月25日 20:58 来自网页    ,1,骑车吃大西瓜
占中前开始的这类抗议都是老一辈的，那么多年时间都没看清现状不做出调整，说真的，有点遗憾，但说不上失望，本来就不重视香港，只是没想到上面的人会那么蠢罢了。,11月25日 20:29 来自网页    ,1,抑郁症资深患者
就这几个人？建议他们搬到内地生活工作,11月25日 19:17 来自网页    ,1,三信治国安邦
游行的人真多，一辆大巴都快装不下了,11月25日 18:33 来自网页    ,2,利物浦2435
就这几号人也能叫游行,11月25日 17:59 来自网页    ,1,利物浦2435
捶他🐎的,11月25日 15:32 来自网页    ,0,No1冬瓜皮
內容呢？給看看唄,11月25日 13:58 来自网页    ,0,HallieJin
香港的选举结果，证明了多数人尽管不喜欢暴力，但更讨厌大陆！,11月25日 13:32 来自网页    ,0,益森门窗WOODWIN
转发微博,11月25日 11:27 来自网页    ,0,lvy小敏
为了香港更美好，实行与内地相同的制度。,11月25日 07:17 来自网页    ,0,淓远镇
就这么十几个人吗,11月25日 01:17 来自网页    ,0,土豆说英语
为什么我们对那些乱港都没折呢,11月25日 00:08 来自网页    ,0,麦田传奇人生
爱国的香港人不多,11月24日 23:51 来自网页    ,0,-----簡--丶單丶
请问到底香港人权法案的内容是什么，有谁可以回答一下，到底关中国什么事？,11月24日 23:09 来自网页    ,1,lomomickey
香港大部分年轻人都被迷了心智了……鬼迷心窍了,11月24日 22:48 来自网页    ,0,曼易popooo
美国是要亡国了吗？一天天的关别人家的闲事自己家的事都还管不清呢经常一道美丽的风景线……,11月24日 21:51 来自网页    ,1,姐姐200708
大部分香港人就没有觉得自己是中国人,11月24日 21:49 来自网页    ,0,嗑药打炮保持微笑
年轻人90%都是黄的,11月24日 21:47 来自网页    ,0,我们的另类罗曼史
没有年轻人参加这个游行香港真的可悲 还有希望爷爷奶奶们能注意安全！！！ 现在香港真的太可怕了,11月24日 21:46 来自网页    ,0,Bettertell
一群杂修,11月24日 21:11 来自网页    ,0,未来崭新的
没用的，记者比较多,11月24日 21:05 来自网页    ,0,砖家教瘦
希望国家更加繁荣，军事方面更加强盛，东方的雄狮差不多该咆哮了！,11月24日 20:48 来自网页    ,0,16光电
老奶奶你说的真对，如果没有人权香港的内乱也不至于持续到几个月都还没有结束,11月24日 20:45 来自网页    ,0,Psy2016Duang
人数这么少，看来香港没救了,11月24日 20:45 来自网页    ,0,原来的名字厌烦了
思考：这种游行的人真的很少，相反另一种游行为什么那么多人…～问题在哪,11月24日 20:43 来自网页    ,0,一枚choi
很高兴看到香港人有这种爱国行动，但又真系觉得他们被暴徒报复，香港真是充满矛盾与讽刺的地方。,11月24日 19:57 来自网页    ,0,黄醒醒gogogo
转发微博,11月24日 19:56 来自网页    ,0,Lev李华
德克萨斯州独立！坚决拥护德克萨斯州人民独立！共同维护德克萨斯州人民利益！,11月24日 19:55 来自网页    ,1,黑雨伞_BlackUmbrella
支持印第安人夺回他们失去的国土[加油],11月24日 19:51 来自网页    ,0,未生之树
: 一个几百年历史的移民国家，严重缺乏历史自豪感，刚好赶上了工业革命的浪潮发展起来，只能用无耻的令人作呕的手段来支撑外强中干所谓的优越感,11月24日 19:51 来自网页    ,1,高数也不难
得个几十人。哎,11月24日 19:36 来自网页    ,0,Mp宏
我在此宣布  美国 南半部分 获得独立 现在就开始 写独立法案  我任第一任总统  国号   天朝美,11月24日 19:28 来自网页    ,0,街灯下的记忆19960605
如何平息香港动乱，政府的决心很关键。可惜的是，教育部公然在国内推行歧视中华民族的留学生政策，给外国人超国民待遇，让外国人肆无忌惮的践踏中华民族的尊严和中国的主权，恕我愚昧，我实在看不懂。一个国家政府，不把自己国人当人看，任何热爱中华的中国人都会感到不舒服，只会造成人民对政府的质疑,11月24日 19:21 来自网页    ,0,BooMaby
