comment,date,support_number,user,hateful
想哭,今天 08:01 来自网页,6663,王子的小玫瑰哦,0
哥哥一定难过的要死吧,今天 08:28 来自网页,3345,猫咪爱霉霉,0
希望哥哥能带着妹妹这份坚强活下去,今天 08:01 来自网页,1854,伊贤,0
坏人这两字是重点,1分钟前 来自网页    ,0,Cissy-marigold,0
呜呜,1分钟前 来自网页    ,0,张boss家的娇妻-,0
哇昂,2分钟前 来自网页    ,0,木弦x2,0
韩国演艺圈太吓人了 还是换个行业吧  尤其是女孩,2分钟前 来自网页    ,0,禾木安lu,0
 想哭,2分钟前 来自网页    ,0,Yeonyooo,0
看着心疼啊 公主是受了多大委屈 哥哥要心疼死啊,2分钟前 来自网页    ,0,从前的从前8573,0
重点是哥哥说的在没有坏人的净土好好生活，这个坏人引发很多寓意,3分钟前 来自网页    ,0,王魚er呀,0
能体会到他哥哥说结婚生子，以后幸福的生活，因为我的哥哥也经常和我这样说。,4分钟前 来自网页    ,0,风托着候鸟,0
哥哥挺住,5分钟前 来自网页    ,0,酒国女神的样子,0
在没有坏人的净土幸福地生活，这是不是暗示了什么,5分钟前 来自网页    ,0,丸子酱de哼唧唧,0
我想要一个这样的鼻子,6分钟前 来自网页    ,0,木兑金,0
看的眼泪不知不觉的就流下来了,6分钟前 来自网页    ,0,Guard_Perthsaint,0
比起雪梨赫拉还有个关心她的哥哥,6分钟前 来自网页    ,0,梓瑜Lyn,0
hara有个好哥哥,6分钟前 来自网页    ,0,nice正太-,0
想哭,7分钟前 来自网页    ,0,ujgfxgf,0
希望她的家人都平平安安，尽早走出阴影,8分钟前 来自网页    ,0,心臣创业指南,0
受不了,9分钟前 来自网页    ,0,造卫星,0
哎 为了家人好好活着啊,9分钟前 来自网页    ,0,E小毛毛,0
虽然我不是粉丝。。。但看哭,9分钟前 来自网页    ,0,YOYO小主駕到,0
挺心酸的，哎,9分钟前 来自网页    ,0,Xq0421,0
有哥哥真好,10分钟前 来自网页    ,0,瑶吖瑶lam,0
拉姑这一生真的辛苦了，希望你能够远离痛苦，快乐的生活就好了,10分钟前 来自网页    ,0,琦琪321,0
可能雪莉的死对她打击太大了,11分钟前 来自网页    ,0,马铃薯特别逗,0
韩圈这是怎么了,11分钟前 来自网页    ,0,卖高仿口红的长歌,0
哥哥一定要坚强,11分钟前 来自网页    ,0,壹一yyy,0
哥哥一定难受死了,11分钟前 来自网页    ,0,规mengyuan,0
请问这是个啥事啊,12分钟前 来自网页    ,0,嘉翎千翔,0
就是确实很遗憾，但是韩国女星真的太像了，我分不清就是都面熟,12分钟前 来自网页    ,0,兔子牙软软,0
到底是什么事情能这么难过啊,12分钟前 来自网页    ,0,终有一池,0
拜托荷拉在那边也要好好的啊🙏 一定要幸福快乐啊！！！,14分钟前 来自网页    ,0,优雅的大泡儿啊,0
太虐了啊啊啊啊啊啊,14分钟前 来自网页    ,0,·桃桃養楽多·,0
是爷们就应该把她男友捅死,14分钟前 来自网页    ,1,杰森张不帅,1
难过……,15分钟前 来自网页    ,0,嘟得乐得嘟,0
我的天啊,15分钟前 来自网页    ,0,稚久die,0
善良的姑娘明明有这么好的哥哥，上天为什么不愿赐给她一个像哥哥一样好的伴侣呢。想到之前看的电视剧，哥哥对妹妹说:你不要哭，因为你难过我也会难过，我想让你一直笑。,15分钟前 来自网页    ,0,-1993影子CY-,0
希望下辈子做个简单快乐的姑娘,17分钟前 来自网页    ,0,碧树生红萼丶,0
哥哥得多难受啊,17分钟前 来自网页    ,0,半世晨晓的唯美88751,0
她和雪莉都很喜欢小动物，都是好善良的人，好可惜。,18分钟前 来自网页    ,0,蜡笔小蹦蹦,0
有这样的哥哥我不会死的，我特别怕我死了那些爱我的人难过,19分钟前 来自网页    ,0,苏胖胖-,0
好奇怪 感觉具荷拉和雪梨都不是单纯的自杀那么简单,19分钟前 来自网页    ,1,陈静ymz,0
她的死因是什么啊？？怎么没听说？？,19分钟前 来自网页    ,1,来日方长并肩雪山之巅,0
我们拉姑真的很爱她的哥哥 哥哥也超爱拉姑 希望哥哥能够好好的 我们拉姑在那里也能快快乐乐 ,19分钟前 来自网页    ,0,_青柠baby呐,0
太操蛋了这疯狂的2019年,19分钟前 来自网页    ,0,棉花梦在微博,0
突然的聊着聊着，人就没了,20分钟前 来自网页    ,0,小松子的喵喵店,0
总觉得坏人二字……哥哥是不是被迫发文营造小姐姐有自杀倾向,20分钟前 来自网页    ,0,EIOTM,0
其实谁都会随着时间流逝而淡忘离世的人，只有至亲，一直一直记着。每一天每一天。就像我想念我的妹妹一样。,20分钟前 来自网页    ,0,小后屋呀,0
所以真的确定是自杀吗？？！,21分钟前 来自网页    ,0,LinLinLin木木1231,0
哥哥太宠了，肯定难过死了,21分钟前 来自网页    ,0,Winniestation,0
2019年太过残忍压抑的一年,22分钟前 来自网页    ,0,八大处整形北院,0
这么爱她的哥哥，这么努力也没能留住她，太让人伤心了,22分钟前 来自网页    ,0,蕴露凝雪537,0
莫名想哭,22分钟前 来自网页    ,0,我是陆啊陆豆豆的妈,0
哥哥该有多伤心啊…希望大家都好好生活快乐生活,22分钟前 来自网页    ,0,秃秃嘎,0
不懂就问  他的烦恼是什么,23分钟前 来自网页    ,0,睡觉职业选手,0
所以说真是因为坏人啊,23分钟前 来自网页    ,0,你的口香糖够冰么75780,0
真的不想在看到具荷拉的消息，很伤心~,25分钟前 来自网页    ,0,美杜莎说爱我-play,0
“我没事啦”“你放心吧” 听到这种话，就是心痛无奈。人类情感不相通，人心还是要自己才渡的过来，千万只手难把已经想掉下去的人拉上来一步，更何况还要被冷漠和刻薄往下踩。 具荷拉悼念雪莉的直播就像在说“求求大家，也救救我吧”，可我当时没意识到。终归是不相通，能做的只有不加给别人恶意。,25分钟前 来自网页    ,0,namewote,0
好暖心的哥哥,26分钟前 来自网页    ,0,奢潮5年老店,0
哥哥真的太难过了😫,27分钟前 来自网页    ,0,BabyBabyKim,0
为什么妹妹遭受性暴力哥哥不帮助她呢,28分钟前 来自网页    ,0,拢龙今天也要快乐鸭,0
看到这个瞬间哭了。最近也一直有不好的想法，但想想爱我的父母，一直疼爱我保护我的两个姐姐，我就很矛盾。我觉得我病了，可是又觉得自己很正常,28分钟前 来自网页    ,0,我叫贞贞妹仔,0
逝者安息！一路走好！保佑！ 严查严惩韩国娱乐圈啊！,29分钟前 来自网页    ,0,潮圣会,0
哎,29分钟前 来自网页    ,0,#NAME?,0
 这暖心哥哥,30分钟前 来自网页    ,0,#NAME?,0
  我眼泪要掉下来了,30分钟前 来自网页    ,0,热情的此用户已注销,0
 看到以后更心痛了,32分钟前 来自网页    ,0,ihateeveryone,0
心如刀割吧,32分钟前 来自网页    ,0,爱吃番茄的阿逼,0
她为什么要自杀？毫无征兆莫名其妙……,32分钟前 来自网页    ,0,随便什么都行哎,0
说真的，她那么有钱，究竟有什么烦恼逼到她要死。,32分钟前 来自网页    ,0,ThaiJoJo专业泰国购,0
看了流泪,33分钟前 来自网页    ,0,老王恋途,0
哥哥要坚强啊，太难受了,33分钟前 来自网页    ,0,谦虚的撒那,0
“我没事啦”“你放心吧” 听到这种话，往往就是心痛无奈。人类的情感不相通，人心还是要自己才渡的过来，千万只手也难把已经想掉下去的人拉上来一步，更何况还要被冷漠和刻薄往下踩。 现在觉得雪莉离开时具荷拉的直播就像再说“求求大家，也救救我吧”，可是当时我也没有意识到。终归是不相通。,33分钟前 来自网页    ,0,namewote,0
我23号突然抑郁情绪上来了，发了一条说说：雪莉啊，你在那里开心吗？    第二天具荷拉就没了……是听到了雪莉的回答吗？我希望下一个是我,35分钟前 来自网页    ,0,ZJ_ouin,0
妹妹去做快乐的天使了👼🏻 哥哥在人间也要好好的！,36分钟前 来自网页    ,1,吴亦凡的泡椒凤爪,0
被前男友踢到子宫出血的时候，你这个哥哥在哪里？现在装难过😔,37分钟前 来自网页    ,0,珉豪Star,0
这两天真是哭惨了,37分钟前 来自网页    ,0,撒加的小棉袄,0
啊啊啊啊啊啊啊啊我的人,37分钟前 来自网页    ,0,is贤琦儿_,0
记得雪莉出殡的时候，雪莉的哥哥也是哭的很伤心。这两个被哥哥捧在手心里的小公主，希望你们的选择是正确的！让哥哥带着你们的愿望继续下去把........,38分钟前 来自网页    ,0,忌丑忌,0
心疼她的脚脚，长期高跟鞋都变形了,38分钟前 来自网页    ,0,果敢女孩豆啊豆,0
