comment,date,support_number,user
希望严查一下艺人被潜规则、演艺公司和财团的勾当。连续两个艺人死亡，真的不能怪我阴谋论，太不正常了,11月25日 10:33 来自网页,18516,吃货的蜡笔小新头像
姐姐这辈子辛苦啦,11月25日 10:31 来自网页,6672,来杯奶茶ll
仙女姐姐去跟水蜜桃汇合了 人间不值得 走好,11月25日 10:32 来自网页,5036,辛未年八月初二
就算是死于抑郁症，但有没有想过导致抑郁的原因是啥,11月26日 23:18 来自网页    ,0,_____Moe
尸检会不会太残忍了 对于女明星而言,11月26日 17:52 来自网页    ,0,走下去的执着
1,11月26日 17:15 来自网页    ,0,拾毅1108-0822
遗书的话为什么非要写纸条 不显眼的那种 反正不正常,11月26日 14:20 来自网页    ,0,暴走温莎
人间芭比去和人间水蜜桃汇合啦,11月26日 13:23 来自网页    ,0,是媛媛呀_
韩国就继续这么下去吧～迟早有人出来搞这些财阀,11月26日 11:36 来自网页    ,0,骁骑尉DH
大胆的猜测，觉得跟雪梨得死有关联，可能是她知道雪梨死的内幕，然后被灭口，最后在制造自杀证明～细思极恐,11月26日 10:53 来自网页    ,0,林夕38975
我觉得 是不是她写的还未可知,11月26日 10:45 来自网页    ,0,BojackHo
个个孩子努力想当明星，好不容易熬出名了，要想不开，一路走好,11月26日 10:39 来自网页    ,0,兔孑狗24478
好可惜啊，愿安息,11月26日 10:03 来自网页    ,0,夏天的尾巴-Jane
一个接着一个韩国女星患抑郁自杀，直到现在这个地步，谁又能为她们找回公道？,11月26日 09:52 来自网页    ,0,comeseeme
真的可惜了,11月26日 09:44 来自网页    ,0,中年少女李某某
韩国已经烂到骨子里了，世越号新世界大门已经开启。,11月26日 09:36 来自网页    ,0,出云Claude
我去。不是限韩令吗？怎么还报道韩国明星？,11月26日 09:21 来自网页    ,0,牛熊判官
只要死人 都是自杀 抑郁 反正没其他啥事,11月26日 09:20 来自网页    ,0,崔大强的微博
太难受了。从初中就开始喜欢kara，一直到解散后面也在看hera的综艺。新闻出来是真的脑子很懵,11月26日 09:17 来自网页    ,0,不二萌子i
韩国连续死两个艺人，这也太恐怖了。警察都不管吗？,11月26日 08:58 来自网页    ,1,泽诺小姐姐
都有遗书，具体是不是真的本人写的,11月26日 08:32 来自网页    ,0,焊接界的一顿奇葩
一年兩次唉,11月26日 08:31 来自网页    ,0,加州招待所1997
她是不是演城市猎人里面总统的女儿？照片看着面熟,11月26日 08:25 来自网页    ,0,zkkzzzz
一个个的就这么死了？多么年轻的生命,11月26日 08:18 来自网页    ,0,空空儿语
韩国艺人去世都是一个套路？韩媒也太会了？万年不变的剧本？韩国太可怕了.,11月26日 08:16 来自网页    ,0,巴卡巴卡巴布噜
人活在这世上怎么这么难呢,11月26日 08:02 来自网页    ,0,锦鲤馬少年
不明确的内容 呵呵 我脚趾头都想的出内容是啥,11月26日 07:54 来自网页    ,0,白了个白136794
我懵了 第二天我才意识到我用了这么久的壁纸居然是具荷拉 我靠！！！姐姐,11月26日 07:52 来自网页    ,0,sunnysummer--
唉,11月26日 07:47 来自网页    ,0,张紫豪的小可爱
电视剧会演他人诱导自杀，所以……要不要查查？,11月26日 07:41 来自网页    ,0,司佳201611
。,11月26日 07:39 来自网页    ,0,狗清0818
为什么写纸条？还不如发ins,11月26日 07:35 来自网页    ,0,喵_小咪Q
辛苦了 姐姐,11月26日 07:30 来自网页    ,0,你的小李同学呀
？？？,11月26日 07:22 来自网页    ,0,我是十三mmer
才发现，城市猎人李敏镐那版的，她演的总统小女儿,11月26日 07:13 来自网页    ,0,喝优益C的小黄鸭
艺人也是高危职业了,11月26日 07:11 来自网页    ,0,浆糊白晓湦
