comment,date,support_number,user,hateful
昨天凌晨还在发微博，今天凌晨还在拍节目，还是这么危险的极限节目，可以看出是在高负荷工作了!既然知道有危险性，为什么你们节目组不准备好应急措施!这可是一条人命啊!,今天 11:15 来自网页,53004,国际撩汉指导师,0
是不是有人录制节目中晕倒，是不是有人录制过程中体力不支一直说着跑不动了跑不动了，他们是明星，也是普通人，你们将人的生死放在哪里，是不是听听看看就过去了从来没想到他们是真的很累，你们的节目真的很坑人，停播吧。,今天 11:15 来自网页,28637,和野雾零,0
一路走好,1分钟前 来自网页    ,0,黎明前的WEI黑暗,0
好可惜啊。,1分钟前 来自网页    ,0,我是疯子我向右,0
1.审题材 2.审敏感台词 3.审纹身 打码处理 4.审穿着打扮 耳钉要打码，太暴露不行👋 5.审关键字 这是最令人讽刺的 吓‘死’了 怕‘死’了 死是必须打引号的 但是现在真的有艺人为了录节目而去世，能否打上引号呢？ 我希望今后的综艺审查可以更加关心安全系数，医疗配备，非专业人员的前期培训。,1分钟前 来自网页    ,0,塔罗Xavi,0
a的代表,1分钟前 来自网页    ,0,富相would灬mrswpl,0
我没办法接受，我的王沥川,1分钟前 来自网页    ,0,董小花721,0
哎,1分钟前 来自网页    ,0,shlyu诗语llk,0
好难过,1分钟前 来自网页    ,0,界世眼放,0
安息,1分钟前 来自网页    ,0,文艺范哈哈2014,0
谁,1分钟前 来自网页    ,0,老头他哥_微笑说,0
好好的一个人说没就没了,1分钟前 来自网页    ,0,阳光下的微凉aifeng,0
哈哈哈,2分钟前 来自网页    ,0,刘硕敏,0
高薪水就有高风险，换一般人那么好的待遇也参加，生死有命富贵在天,2分钟前 来自网页    ,0,我不宽容LOVE,0
这种非人的极限工作节目就不应该搞，凡事都是有极限的，举办者要么是对财富名利的贪婪令人发指要么就是对生命的及其不尊重和冷漠,3分钟前 来自网页    ,0,益西拉姆0426,0
节目组良心过得去呀,3分钟前 来自网页    ,0,春__SPRING,0
比赛,3分钟前 来自网页    ,0,一个人走路很好,0
逝者安息,3分钟前 来自网页    ,0,Supr森叔,0
太可惜了,3分钟前 来自网页    ,0,宝丫头楚楚,0
真是世事无常啊。这么年轻。,3分钟前 来自网页    ,0,二玲云灿,0
唉，这么年轻就没了,3分钟前 来自网页    ,0,大赫儿VS小赤赤,0
好可惜,3分钟前 来自网页    ,0,哇塞酷毙,0
一路走好,3分钟前 来自网页    ,0,卓悦女青年,0
真他娘的难受…多好的一个人啊，怎么就没了,3分钟前 来自网页    ,0,鱼宝贝ing,0
阿弥陀佛，🙏🙏🙏,4分钟前 来自网页    ,0,乌镇玉雅园,0
现在热搜降下来了，蒋劲夫的事情还突然被曝，我不觉得这是偶然,4分钟前 来自网页    ,1,lyf林冉,0
平安健康，是一切的根本。烂大街的一句话，说的人很多，做得到的人很少,4分钟前 来自网页    ,0,孤岛说IIT,0
王沥川😭😭,4分钟前 来自网页    ,0,邵美美0623,0
现在热搜降下来了，蒋劲夫的事情还突然被曝，我不觉得这是偶然,4分钟前 来自网页    ,1,lyf林冉,0
高以翔原定11月29日参加好友、篮球明星毛加恩的婚礼，并担任首席伴郎。数据显示，心脏骤停超过4分钟，脑组织会发生永久性损害，超过10分钟就会脑死亡。,4分钟前 来自网页    ,0,衣摆含笑,0
愿在天堂一切安好,4分钟前 来自网页    ,0,巴黎塔上你已不在50538,0
节目不行,4分钟前 来自网页    ,0,卿佳喵喵,0
不错,4分钟前 来自网页    ,0,敏锐so丨xqcfpj,0
看到SM突然来气...小天回归不打歌真的无语。拿肺痨的爱赚钱 真的感觉自己追星都追不下去了。,4分钟前 来自网页    ,0,西海大英雄,0
帅,4分钟前 来自网页    ,0,常笑531,0
可惜了,4分钟前 来自网页    ,0,智鱒濤,0
这么年轻太可惜了,4分钟前 来自网页    ,0,黄燊77,0
不想以这种方式认识你   ,5分钟前 来自网页    ,0,马宝宝3344,0
一个节目录十几个小时？,5分钟前 来自网页    ,0,無綫電靜黙,0
凌晨都要剧烈运动、工作，对身体不好啊,5分钟前 来自网页    ,0,选名困难户,0
原以为是个玩笑，谁知道是真的,5分钟前 来自网页    ,0,你是老板,0
如此优秀低调不炒作的人就这样离开了太痛心,5分钟前 来自网页    ,0,懒懒小云,0
虽然不是他的粉丝，但是看到这个不好的消息真的很难过，愿在天堂一切安好,5分钟前 来自网页    ,0,叶子yzp,0
热搜呢？？？,5分钟前 来自网页    ,0,我就说这个我啊,0
我的王沥川,5分钟前 来自网页    ,0,娴婷若素,0
鲜活的一条生命啊,5分钟前 来自网页    ,0,Cathy枫叶红了,0
挺突然，以为是造谣，现在证实了,5分钟前 来自网页    ,0,长大要挣很多钱,0
不光是节目组，他的经纪公司经纪人应该付主要责任吧！！为什么让艺人在极度疲惫的情况下参加体力型综艺？还是半夜录制，为什么？,6分钟前 来自网页    ,0,密斯徐,0
王沥川,6分钟前 来自网页    ,0,君莫思归ky,0
这算失救了吧，失救要负责吧。,6分钟前 来自网页    ,0,joeyteh,0
悲伤,6分钟前 来自网页    ,0,我就是喜欢古代言情,0
三更半夜不睡觉，看吧,6分钟前 来自网页    ,0,香那儿GX,0
过度疲劳是不行的,7分钟前 来自网页    ,0,高姿态的茉莉,0
浙江卫视这次真的栽了,7分钟前 来自网页    ,0,有名字的猫lisa,0
可惜,7分钟前 来自网页    ,0,我爱酥酥的猪肉,0
以前看康熙就挺喜欢的！真的是上天缺帅哥了,7分钟前 来自网页    ,0,大头__sweety,0
沥川终究成往事，望安息,7分钟前 来自网页    ,0,沙滩上画个爱心丶,0
这么健壮！咋滴啦这是？,8分钟前 来自网页    ,0,#NAME?,0
你们为了赚钱，误导了很多学生去崇拜演员，搞的整个学生思想都有想做演员的想法，都想这么不劳而得，一个演员被你们这样的宣传，有个屁用。如果你们哪天宣传某位科学家，院士去世，或者发布一些国内高科技的信息我会给你们点赞一个。其它多发布一些正能量的新闻，另外你们赚钱可以，但不能误导学生。,8分钟前 来自网页    ,0,正在输入白了头_223,0
伤心,8分钟前 来自网页    ,0,斜晖陌陌619,0
四五天前见他还在厦门参加金鸡百花电影节。这就离开了,8分钟前 来自网页    ,0,翔魁珍darrick,0
就这样走了……,8分钟前 来自网页    ,0,景宝的小爸,0
这样的情况要付民事责任还是刑事责任呢？,8分钟前 来自网页    ,0,白雾燃点,0
愿逝者安息！,8分钟前 来自网页    ,0,记忆之前半生,0
可惜了,8分钟前 来自网页    ,0,阳阳宝宝1234561990,0
一路走好,8分钟前 来自网页    ,0,冰樱落泪缱绻错爱1227,0
挖槽…高以翔,8分钟前 来自网页    ,0,Small_丢,0
加油,8分钟前 来自网页    ,0,孤僻游侠wangchao,0
很温柔的人,8分钟前 来自网页    ,0,王源是不是小同学,0
太可惜了,9分钟前 来自网页    ,0,527LIN,0
加油,9分钟前 来自网页    ,0,孤僻游侠wangchao,0
很温柔的人,9分钟前 来自网页    ,0,王源是不是小同学,0
