comment,date,support_number,user
发完就把评论半关闭了呢,11月27日 22:14 来自网页,40766,懒得更原创的蠢po主
声明声明全是声明说句对不起这么难吗,11月27日 22:14 来自网页,32385,ZcwNly
半夜一两点录节目跑步，省级电台，竟然没有应急措施和设备，昏倒后黄金四分钟的急救常识不懂？出了问题一团乱麻，浙江卫视难辞其咎。呵，娱乐至死,11月27日 22:14 来自网页,26064,一只村草
浙江卫视给我滚！,1分钟前 来自网页    ,0,fffjiajia
怪不得到邓超、朱丹他们很多好的艺人都离开浙江卫视了,1分钟前 来自网页    ,0,A樊尚云
平时嚷嚷挺大声儿 这真出事儿了怎么广电总局就玩消失了呢 禁不禁啊,2分钟前 来自网页    ,0,眼睛瞪的像铜铃呀
现场有医护人员吗？有第一次时间去抢救吗？第一时间是指倒地后的6分钟？然而你们在他倒地后还在录制，并没有第一时间上去抢救，这是人命！,2分钟前 来自网页    ,0,这是假婷
哦豁,3分钟前 来自网页    ,0,乡野插花人
垃圾浙江卫视一直降热搜,4分钟前 来自网页    ,0,小怪豆啊
艹老子以后坚决抵制浙江卫视mmp说个对不起那么难吗,5分钟前 来自网页    ,0,陈小仙仙仙女啊
热搜都撤没了,6分钟前 来自网页    ,0,SILENCEGIN
热搜这就被按下去了？？？,7分钟前 来自网页    ,0,这也不吃那也不吃的嘟嘟66169
能不能别让他撤热搜？！,7分钟前 来自网页    ,0,凹凸曼鲨
憨批节目，还不下架,7分钟前 来自网页    ,1,栋旭仁娜今天结婚了吗
热搜没了，还有,7分钟前 来自网页    ,0,充满房间的阳光
人生最无奈的悲剧就是:老来丧独子，黑发人送白发人,8分钟前 来自网页    ,0,小马锅mmmm
还在降热搜，已经看不到了,8分钟前 来自网页    ,0,阿阿阿佑i
永远都是出事了，才开始重视，还是希望审核节目组良心点，有些不行就直接不行✋,8分钟前 来自网页    ,0,十三是拾三呀
请你做个人吧,9分钟前 来自网页    ,0,有钱gg的女孩1
热搜没了,9分钟前 来自网页    ,1,人心本凉ioi
撤热搜了,9分钟前 来自网页    ,1,阿璃璃璃璃Chen
一点也不诚恳  还把评论设置了  垃圾渣蓝台,9分钟前 来自网页    ,0,well-spent
一篇聲明能解決什麼問題？以後還想再發生這種事情嗎！,10分钟前 来自网页    ,0,粥粥英华
简直无话可说，一到这时就推诿责任。,10分钟前 来自网页    ,0,君穆梵
我的妈呀，这个栏目组是什么态度啊，都出样的事了，还怕被骂啊,11分钟前 来自网页    ,0,月天儿哒哒
不配叫中国蓝！！！！！别抹黑中国了！！！祖国母亲永远都是以人为本的！！！,11分钟前 来自网页    ,0,饭不够吃-
录节目还是尊重艺人吧，至少得保住人家性命啊。,12分钟前 来自网页    ,0,加班23
转发微博,12分钟前 来自网页    ,0,加班23
转发微博,12分钟前 来自网页    ,0,加班23
再过几分钟这个热搜也没了,12分钟前 来自网页    ,0,曜命十三月
热搜快没了，救人速度都赶不上撤热搜的速度呢，王沥川就这么离开了,12分钟前 来自网页    ,0,yu遇见y
这是一条人命啊！！！人命啊！！你欠他的用什么还！！！,13分钟前 来自网页    ,0,狮子座的ikun小姐姐
呵呵,13分钟前 来自网页    ,0,你快落了吗
浙江卫视已经把评论设置成筛选模式了，一点承担意识都没，只会逃避,13分钟前 来自网页    ,0,Mer33
难怪看评论没有一句骂的，评论了才知道原来是这样。呵呵,14分钟前 来自网页    ,0,是_你的燕子呀
热搜已经完全撤了 哎 愿安息,14分钟前 来自网页    ,0,牛宝宝的娘
热搜没了,14分钟前 来自网页    ,0,maomaoLloyd
热搜都快掉没了,14分钟前 来自网页    ,1,一年一次改昵称的机会给居老师
还检查个啥环节  停播吧 谁还敢上“索命”的节目，经纪人团队评估过这里的风险没？艺人高收入高风险，确实真是在拼命,14分钟前 来自网页    ,0,知知知吱吱吱
第一时间？确定？,15分钟前 来自网页    ,0,Lisaaa要做小太阳啊
呵呵哒,15分钟前 来自网页    ,0,阿咪小羊
第一时间？确定？,15分钟前 来自网页    ,0,Lisaaa要做小太阳啊
呵呵哒,15分钟前 来自网页    ,0,阿咪小羊
撤热搜了！,15分钟前 来自网页    ,0,咩咩超人·
看来熬夜真的容易猝死，该睡觉要睡觉啊,15分钟前 来自网页    ,0,小Ci姐姐
该死的浙江卫视！！！,15分钟前 来自网页    ,0,sunny150501
越惨越好？观众爱看？别他妈的把脏水往我们观众身上泼！！我们看到喜欢的艺人累成这个鬼样子都快心疼死了！！！蓝台我恨你千千万万遍！！！！,16分钟前 来自网页    ,0,碧绿厚重的夏风
Rs撤得真是快啊,16分钟前 来自网页    ,0,charlottely516
有钱录综艺，没钱去完善设备,16分钟前 来自网页    ,0,要睡了噢
再也不看浙江卫视,16分钟前 来自网页    ,0,长腿小阿衩
还把评论关闭了！做贼心虚了！！！！ 浙江卫视倒了吧！以后再也不看你节目,16分钟前 来自网页    ,0,米粒儿min
他虽然死了 但是他家人发了，浙江卫视本来就有钱，再加上是台湾人 更要多赔点,16分钟前 来自网页    ,0,夕贵妃金安
二台不愧请了国内第一公关，昨天憋到今天才发声，把舆论引向死者父母，通过父母的大度洗白自己，同时也没有说过一句道歉，自始自终不承认是节目组的问题，浙江卫视真的没有心，一生黑,17分钟前 来自网页    ,0,悉尼夜晚的灯
浙江卫视永远拉黑,17分钟前 来自网页    ,0,北劳斯的刺
垃圾节目,18分钟前 来自网页    ,0,泥萌黑
本身节目的设计就有硬伤，过度体力支出，录制时间不合理，没有足够的保障措施和事先专业指导的准备活动，对艺人的行程关注不够，过度安排，都是问题。节目组和录制单位责任不可推卸。,19分钟前 来自网页    ,0,了了斋主人
热搜前十没有一条是关于这件事的，这热搜降的太快太有效率了吧,20分钟前 来自网页    ,1,kami_CJM
以后谁还敢上浙江卫视,21分钟前 来自网页    ,0,z5463
评论被设置成半筛选？是心虚吗？,22分钟前 来自网页    ,0,杨静依54937
又一次意外 ，综艺这方面不如芒果台,22分钟前 来自网页    ,0,怡Isabella_ing
😄 😄 声明中的即刻抢救，明显不够诚实啊。和网友说得可不一样呢，,22分钟前 来自网页    ,0,麗mlml
早上讨论300多万，洗个脸，就只有50多万了，吃个早餐，就只有十几万了，原来新浪是这么玩的，侮辱公众智商呀,22分钟前 来自网页    ,0,青青子衿20190805
哎,23分钟前 来自网页    ,0,杨静依54937
刚刚看邹市明那个视频 感觉他在气球里吗快呼吸不来了 那个傻主持华少 还没有代言一叶子那个妹妹反应的快 说要不要帮忙 你还好吗 过了10秒那个华少才说 工作人员要不要去看一下…屏幕外明显感觉到邹市明呼吸困难了 垃圾节目,23分钟前 来自网页    ,0,刘正奕eve
就应该封杀,23分钟前 来自网页    ,0,hhhhhh扑哧
浙江卫视做个人吧,23分钟前 来自网页    ,0,M花姐姐H
最强公关之张艺兴妈妈来了,24分钟前 来自网页    ,0,芊澤花灬
人都死了，应该最大程度承担责任,24分钟前 来自网页    ,0,十样锦熙
真的不想再看蓝台的节目了，毫无意义的作秀，抵制！ ,24分钟前 来自网页    ,0,没有冰块的夏天
说句对不起就那么难吗！？！？！？！？说句对不起就那么难吗！？！？！？！？说句对不起就那么难吗！？！？！？！？,24分钟前 来自网页    ,0,一回眸不觉已千年
?,24分钟前 来自网页    ,0,byebyemypain
這浙江衛視就應該封殺 一直推卸責任 真的是有毛病,24分钟前 来自网页    ,0,MY女孩8
mmp 浙江 不让人评论！,24分钟前 来自网页    ,1,小妖丶泥人的夜丶程序猿
没有感同深受，他们就不会改……承担错误的勇气都没有…………大中华得优良传统啊,25分钟前 来自网页    ,0,暖虊
他们一直在撤热搜耶,25分钟前 来自网页    ,0,会填海的精卫是个传说
Md一句都评论不了  这个热搜降的可真tmd快呵呵呵呵,25分钟前 来自网页    ,0,抬起头来要微笑
