comment,date,support_number,user
停办吧。停播吧。唉,今天 00:32 来自网页,1148,洪帮主CEO
浙江卫视下架所有综艺吧……无法保证艺人安全就别玩综艺了！,今天 00:32 来自网页,868,-我好像在哪儿见过你-
本周停播？怎么着 下周继续？,今天 00:32 来自网页,868,李青言阿
求转发，真的太难受了 ,6分钟前 来自网页    ,0,Hy_蔯
图片评论 ,7分钟前 来自网页    ,0,Hy_蔯
永远都是出事了，才开始严打严抓……,23分钟前 来自网页    ,0,十三是拾三呀
不要停播 直接永久性关闭,45分钟前 来自网页    ,0,小扁今天减肥了吗
很久不看此类综艺 以后也不会看,55分钟前 来自网页    ,0,乖乖的Shelley酱
本周停播？出了这么大事还播？良心不会痛吗？,58分钟前 来自网页    ,0,A许三岁啊
追我吧这综艺我是不会再看了,今天 10:13 来自网页    ,0,你要快乐呢n
高高那么温和、绅士的人，认同协议，但是没哪个参加的人料得到，制作方连急救措施都没有吧？！人说不行了，还以为是表演，这种宁愿错抢救也不能真不管啊。垃圾,今天 10:12 来自网页    ,0,Baby_Jo
不要告诉我这节目还会存在？？节目组的领导台领导不应该问责吗？太神奇了,今天 10:04 来自网页    ,0,蛋挞屋的猫
就本周？？？？？？？？？,今天 10:02 来自网页    ,0,-秦晨-
很想骂人 就是很难过😫 都是鲜活的生命啊 为了什么要这样子 难受,今天 10:00 来自网页    ,0,Journey1210
应该后面的都不播了才对啊，还本周停播，还想继续播啊,今天 09:52 来自网页    ,0,__玲儿yu
看报道说现场一直有救护车和医护人员的啊，而且现场也做了急救的，结果还是...,今天 09:36 来自网页    ,0,囧囧2019棒棒哒
追我吧改成逃命吧每一个人都要受伤,今天 09:30 来自网页    ,0,始终如一杨洋icon
挑战体能极限类节目都应该停掉，不能拿生命开玩笑,今天 09:28 来自网页    ,0,穿林而过的风-
哎,今天 09:08 来自网页    ,0,Txy廖露
本周停播？不该永远停播吗？,今天 09:05 来自网页    ,0,我是杨琦你是谁
浙江台确实让人讨厌,今天 08:55 来自网页    ,0,林念Robin
还停播，现在直接跳过浙江卫视，没良心,今天 08:54 来自网页    ,0,菡929
就不能给他一句正式的道歉吗！你们差他一句对不起啊！,今天 08:50 来自网页    ,1,哥哥的小飞侠ning
医生 的话 希望有人去完整的证实一下,今天 08:46 来自网页    ,0,-阿梦
哎,今天 08:44 来自网页    ,0,碎碎念你心苗
不是停播，大众要的是道歉，停办，一个交代,今天 08:44 来自网页    ,0,被魏晨抛弃的女子
5点多就宣告死亡，官宣在中午，哎……,今天 08:39 来自网页    ,0,office不爱高跟鞋
本周停播？去你妹的 还敢播,今天 08:37 来自网页    ,0,焦糖布丁ly
破节目永远都别播了 也别录制了。一个个出事的都是你们节目 垃圾,今天 08:36 来自网页    ,0,我是要嫁给易烊千玺的女人
这种节目还要播放吗？还不砍掉吗？我的天太没下限了,今天 08:35 来自网页    ,0,久羔羔
我总感觉《追我吧》的导演是不是心里有缺陷？,今天 08:34 来自网页    ,0,宁可爱死不屈-
本周停播有意思吗？整个节目直接停播！！！,今天 08:33 来自网页    ,0,我家有个Zhang小萱
一家人都是好人,今天 08:30 来自网页    ,0,橙伦_DL
 看吧，去的都受伤,今天 08:30 来自网页    ,0,飞猫and罗非鱼cat酱
只是本周停播？？呵呵呵,今天 08:29 来自网页    ,0,不求男票只求暴富
只是本周停播吗？这种节目还能播吗？都出了人命了，连个声明，都没有丝毫道歉的意思，这种节目还能播吗？,今天 08:26 来自网页    ,0,花开那年只为你
🙏,今天 08:25 来自网页    ,0,豆_D鱼
只本周停播？,今天 08:24 来自网页    ,0,魏肥美
只是本周停播吗,今天 08:22 来自网页    ,0,筱雅jenny
这周停播？意思是不会终止的，就拿一周时间缓缓？,今天 08:19 来自网页    ,0,Wudonglin吳
f,今天 08:19 来自网页    ,0,bro李嘉图
人生无常，生命太脆弱了,今天 08:16 来自网页    ,0,夏末-愛已雕零
本周？永久吧！,今天 08:16 来自网页    ,0,槑囧一季
本周停播？你想让我们怎么再看到这个节目,今天 08:13 来自网页    ,0,胡了八几
出人命还停播 直接封杀蓝台吧谢谢,今天 08:11 来自网页    ,0,那就叫渺小埃吧
已经录制了的还是能播的叭,今天 08:10 来自网页    ,0,Only五选一啊
下架吧 毫无意义的节目,今天 08:10 来自网页    ,0,二半常温
本周停播？？？？下周又想玩死谁？？？,今天 08:07 来自网页    ,0,我是一只胖猴子啊
这个肯定也是多方面原因，但节目组是逃不了干系的，不想一味指责，愿生者警醒吧~,今天 08:06 来自网页    ,0,队长六儿
肆无忌惮,今天 08:03 来自网页    ,0,笛安水6519019639
这他妈何止是艺人 那些跟拍导演能好过吗 气死我了  不把人命当人命,今天 08:02 来自网页    ,0,Baby怡怡99
只本周停播？！给老子死,今天 07:58 来自网页    ,0,请叫窝副会长大人-Bazinga
本周停播，不应该下架吗？怎么，打算下周继续播吗？你们还有没有心了！你们还欠一句道歉，以为发个声明就完事了吗？敢要什么收视率，就不敢出来担责任吗？,今天 07:54 来自网页    ,0,一个人喜欢着一个人
别播了，怎么能这么不注意别人的安全呢,今天 07:54 来自网页    ,0,十二的蜂蜜柚子茶_
请求别录了，别播了,今天 07:52 来自网页    ,0,ffamy
就应该这档节目下架，永远停播,今天 07:52 来自网页    ,0,不乖的我孩子气
运动员是每天集训才达到运动极限。让文艺节目演变成体育运动会是对文化的曲解。有些融合不是物理反应的超越而是化学反应般的超越。,今天 07:52 来自网页    ,0,牧羊女法应
不能保证安全就别录了,今天 07:51 来自网页    ,0,被狮子保护过的女孩
浙江卫视永远拉黑，，节目项目设置不合理，救援设备人员配备不足，抢救极其不及时。还洗白，控评，可耻可悲。因为这不要脸的狗台，这么温柔儒雅的人就没了！,今天 07:50 来自网页    ,0,wannable-LI-1997
什么狗屁节目！五点就宣告死亡，这中间他们在做什么，在打算拿怎样的说辞来糊弄我们这些网友吗？还有二点去医院的路上就没有意识了，那还不是他们没有抢救过来，还说什么第一时间有抢救，我现在都怀疑抢救的到底是不是医生！请你们出来给我们一个解释,今天 07:50 来自网页    ,0,一个人喜欢着一个人
直接彻底停了吧，永远不想看,今天 07:50 来自网页    ,0,大梅_泰蓝榴莲
垃圾节目,今天 07:49 来自网页    ,0,Hello-没关系
追我吧这节目看了一期半，觉得好没意思，把奥运冠军都虐瘫了，我宁愿看明星在桌子边上做菜聊天,今天 07:48 来自网页    ,0,兰小花小兰花
不应该这个节目永远停播？？？,今天 07:48 来自网页    ,0,呜呼拉呼捏
不用本周停播，以后都别播了，拜托了🙏,今天 07:46 来自网页    ,1,123皮皮青
好难过,今天 07:45 来自网页    ,0,朵朵是个小胖子
简直太渣台,今天 07:45 来自网页    ,0,微笑百事达CQL
王子，晚安,今天 07:44 来自网页    ,0,我是罗恩
只是本周停播吗？这种节目难道不应该直接滚蛋吗？！,今天 07:42 来自网页    ,0,存钱却吃土的大胖
追我吧这个名字是否应改成谁能活到最后,今天 07:42 来自网页    ,0,静静酱酱静静酱
微博铺天盖地报道韩国艺人自杀，我感觉这有点过了，很容易造成国内一些忧郁症患者效仿这些韩国艺人做出错误的行为！韩国为什么自杀率全球名列前茅，他们艺人自杀率就很高，难免有带动作用。就像前几天人大小姑娘刚刚工作就自杀。虽然艺人自杀要报道，但是不要铺天盖地，这种氛围真的很不好。,今天 07:42 来自网页    ,0,大鱼数码
停办，大力支持,今天 07:41 来自网页    ,0,木夕_FF
