comment,date,support_number,user
变相继续坑人？,今天 15:10 来自网页,348,敷尔佳吖-
这么久了还没破产吗,今天 15:09 来自网页,140,创意家居室内设计
赶紧破产吧,今天 15:08 来自网页,105,戒爱杀爱
 香香 你的💰退到手了吗？！,6分钟前 来自网页    ,0,维生素软糖w
中国法律治不了这个，搞笑,8分钟前 来自网页    ,0,吴祖养
激起民愤，还不彻查吗，家里能有多大的关系，不就一个北大学生会主席吗,9分钟前 来自网页    ,0,一身正气的好青年绝对劳得成
卧槽。虽然已经放弃那99，要不要这么狗,10分钟前 来自网页    ,0,张张张三的歌
你快给我退钱吧 别整这些没用的,10分钟前 来自网页    ,0,我想再睡会儿a
我们的押金还没有退怎么办,12分钟前 来自网页    ,0,Honey湉湉
时隔好久，进去看排队名次，不小心点错了，兑换成金币，那商城，真不知道买什么,13分钟前 来自网页    ,0,qingjiaowo大师姐
补药碧莲,26分钟前 来自网页    ,0,你好丶我是强哥
没得消费，车子都不见了,32分钟前 来自网页    ,0,怀念李丑丑
我都多久没见到小黄车了,38分钟前 来自网页    ,0,旅行的西瓜0226
以后不能相信这些骗子,42分钟前 来自网页    ,0,普通用户adu
反正工商经侦啥的都不管，那ofo当然可以随便玩了,56分钟前 来自网页    ,0,zmflying8177
唉 我的199还没退回来,57分钟前 来自网页    ,0,123骄阳
XSWL,今天 20:46 来自网页    ,0,i-Gang
终于被报道了，我等我的押金退等太久了，体验感极差，怎么还没倒闭啊？,今天 20:44 来自网页    ,0,听茵茵说她爱朱一龙
外国人就可以无条件退款，是这个企业吧…,今天 20:40 来自网页    ,0,小粒子_Paula
坑人的家伙，前几天晚上一人回家，有点害怕，刚好有一辆自行车，就下载了这个软件，当时路上没什么人，就想快点骑车回家，结果就冲了一百，现在退都退不出来,今天 20:32 来自网页    ,0,y-山清水秀
太多了，就不觉得咬了,今天 20:30 来自网页    ,0,鬼伎俩遇上小聪明
我不知道来龙去脉啊！我想问的是难道没有免押金的，非要用小黄车。比如用哈喽和青橘,今天 20:12 来自网页    ,0,你的名字叫青调
我是傻子吗,今天 20:12 来自网页    ,0,路边飞侠
我的钱还没退,今天 20:01 来自网页    ,0,一颗小橘球
我的押金199，快一年了都还没有退给我,今天 20:00 来自网页    ,0,徐徐川妹
tmd,今天 19:52 来自网页    ,0,諒BB
还好当时用一次退一次押金  总共用了两次,今天 19:49 来自网页    ,0,BlindMute
早已弃用,今天 19:34 来自网页    ,0,不吃魚的布朗熊_
就没个法能管管？？？骗人投资的好歹要社区矫正服刑！！！,今天 19:29 来自网页    ,0,swondsman130
小绿车还欠我298的押金,今天 19:29 来自网页    ,0,不知道改善名字
ofo老板拿着这些钱，全家去医院报到了：都是绝症。,今天 19:29 来自网页    ,0,zxt随风飘逝的记忆
还好我的早就退了,今天 19:28 来自网页    ,0,博主脾气不大好
ofo就是个变相的老赖而已，他们的创业初中已经被抛到九霄云外去了。,今天 19:25 来自网页    ,0,拾光的麦穗
还没有破产吗？？？,今天 19:18 来自网页    ,0,阿中哥哥的柠檬恋恋
转发微博,今天 19:17 来自网页    ,0,玉林反邪
啥时退我钱？！！！！！,今天 19:12 来自网页    ,0,这是我的日志
呵呵,今天 18:56 来自网页    ,0,67Twinkle52976
我因为押金贵 所以从来没骑过 宁可走路,今天 18:56 来自网页    ,0,z要变得很优秀
还好我退的及时,今天 18:55 来自网页    ,0,边永元
幸好,今天 18:55 来自网页    ,0,Dontgao
顶起来，让他赔,今天 18:53 来自网页    ,0,蒻小叶
请问是直接喷嘛？我......真的很缺这199,今天 18:52 来自网页    ,0,Wxyhyq_
用的时候，车子乱停乱放。我看到的满街报废的贡献单车就是小黄车，真不知道它经历了什么，骑车的人干了什么。运营不完善现在破产，退步了押金。人类头上这把达摩克利斯之剑真的会有落下的一天,今天 18:48 来自网页    ,0,Dae-魂淡
积少成多，这个小黄车，还想翻身就不能这样坑啊,今天 18:46 来自网页    ,0,她的名字很好听啊
直接骑走一辆车。,今天 18:46 来自网页    ,0,学渣Perfect
简直是无下限,今天 18:41 来自网页    ,0,鸫三
我都穷到想要回199块钱了，我还会花几千¿¿¿,今天 18:37 来自网页    ,0,琛尘一
押金不退不犯法吗？我的押金呀！妈的,今天 18:36 来自网页    ,0,轩妈香港
一天才退500个人 ,今天 18:32 来自网页    ,1,果儿弟弟_
要不要这么坑,今天 18:29 来自网页    ,0,_刘利娜_
酷骑300多都没退我,今天 18:28 来自网页    ,0,雷鬼girl
很多这样的，，，央视啊，你现在才报,今天 18:27 来自网页    ,0,成培芳同学
我（骂脏话）！我那99块的押金在我退休前能退回给我吗？！今年我25,今天 18:26 来自网页    ,0,Miss_SHAW是个怪咖
我的好像也没给退 都快给忘了c,今天 18:26 来自网页    ,0,Art艺艺
没人管吗？,今天 18:23 来自网页    ,0,风清凉_清凉的风
我是不希望ofo破产的人，我是股东,今天 18:20 来自网页    ,0,贾似道
还好走的及时，早退了,今天 18:16 来自网页    ,0,心宿一敏
有脸报道，群众的无奈是监管的笑话。,今天 18:15 来自网页    ,0,mymeng0
之前小绿坑，之后ofo坑，真是够了！,今天 18:14 来自网页    ,0,流星水冰月
ofo的老板生不了孩子！,今天 18:14 来自网页    ,0,将心来吧与汝安
当初是看着支付宝用的，马贱出来说句话,今天 18:13 来自网页    ,1,mymeng0
所以到底有没有人管呀，我的押金啥时候能退给我,今天 18:13 来自网页    ,1,章颖ying
能不能退啦，学生的钱也刮,今天 18:12 来自网页    ,0,单良的恬静
还有余额也退不了，app客服让打电话，打电话听了3分钟音乐之后就自动挂断,今天 18:10 来自网页    ,0,六十六六十六
没用过，公共单车都没骑过。。。,今天 18:10 来自网页    ,0,一只吃不胖的笨笨熊
酷骑押金算是凉凉了,今天 18:09 来自网页    ,0,京南陈哥
咋没人找支付宝呢，他赚钱时我记得是踏马东家,今天 18:07 来自网页    ,2,mymeng0
居然还没凉啊,今天 18:05 来自网页    ,0,XU_阿璟
从未见过如此厚颜无耻之人,今天 18:04 来自网页    ,2,刘凌乱
退了两年了还在排队,今天 18:02 来自网页    ,0,努力中的咸蛋超人
天天光说有意思吗？意思就是它可以随心所欲，爱怎么玩就怎么玩？,今天 17:54 来自网页    ,0,飘渺孤鸿影00
享骑小绿里还有299,今天 17:52 来自网页    ,0,sev_en柒
从没用过,今天 17:51 来自网页    ,0,燎煞
怎么办,今天 17:51 来自网页    ,0,sev_en柒
！！我的押金也没退！,今天 17:49 来自网页    ,0,果体有什麼不对
 你的还有多久？,今天 17:46 来自网页    ,0,阳阳哥的小果篮儿
图片评论 ,今天 17:43 来自网页    ,0,酷爱臭脚丫
ofo说明了要交押金的共享单车是活不久的,今天 17:39 来自网页    ,0,Jerry黎永钧
🐮的很阿  哦F哦,今天 17:37 来自网页    ,0,3年94394394
臭不要脸,今天 17:37 来自网页    ,0,拾壹的拾憶
然后呢，消费者的权益怎么维护？,今天 17:36 来自网页    ,0,封吹鸡蛋壳
其实当下的银行和小黄车不一样吗，如果大家把存的钱都取出来......,今天 17:34 来自网页    ,0,平淡的木讷先生
我的天，我打算315投诉他呢,今天 17:34 来自网页    ,0,疯狂二小妞
