comment,date,support_number,user,hateful
这种吃相我这辈子可能都不想吃这种海鲜了…,今天 17:51 来自网页,1637,豆儿吖_M,0
这小姑娘多好啊，至少还把苦胆啥的摘出去，有的那憨批是直接吃...,今天 18:22 来自网页,1706,请叫我bulingbuling的小太阳,0
这样做的的话能带动渔业的消费，好像也能理解她们这样拍土味视频，大家都是为了生活,今天 17:57 来自网页,915,我等你很久了lh,0
很漂亮的姑娘,1分钟前 来自网页    ,0,二乔怎么也学不会数学,0
感觉她这样吃好脏啊！,3分钟前 来自网页    ,0,生活再苦也别忘记给自己微笑,0
嚼半天硬是不咽下去，不好吃你就直说，吃得这么痛苦,4分钟前 来自网页    ,0,柒七一Jonie,0
这样吃很难吃，一点味道都没得,5分钟前 来自网页    ,0,小呆萌000,0
妈耶,7分钟前 来自网页    ,0,阢亦初晨,0
洗都没洗，看得我满面愁容,7分钟前 来自网页    ,0,春天叫醒布拉格,0
这个不好吃 一点味道都没有,7分钟前 来自网页    ,0,Vikiii_babe,0
海螺真的太难吃了……,8分钟前 来自网页    ,0,CORORO_,0
好好吃,9分钟前 来自网页    ,0,GMWgmw_313,0
海鲜要动手吃,10分钟前 来自网页    ,0,coffee驰,0
最反感这种大吃大喝的,11分钟前 来自网页    ,0,海闲河,0
哇哦,11分钟前 来自网页    ,0,l__四季,0
姑娘嘴看着不大啊,12分钟前 来自网页    ,0,江上舟摇的水族馆,0
为什么都是这种吃相 真是难受,13分钟前 来自网页    ,0,su-91,0
 不小心看到了以前吃过的海鲜,13分钟前 来自网页    ,0,稀奇隆东国,0
那个黄shit，吃的津津有味,13分钟前 来自网页    ,0,缪mou某哞迎着风极速在超越,1
妈呀,14分钟前 来自网页    ,0,诗璐阳丿,0
听到这种吃东西嗦嗦嗦的声音我瞬间就觉得没食欲了,16分钟前 来自网页    ,0,一粒沙815,0
这也是生财之道，只要不卖假东西坏东西还是挺不错的,17分钟前 来自网页    ,1,无聊的辛先sheng,0
实在理解不了吃播大多一副饿死鬼投胎像，一边塞了满嘴使劲嚼还一边说，咬一口还给你看看，看你牙齿印吗？！,17分钟前 来自网页    ,0,依天竺俗,0
吃播让人不想吃东西,17分钟前 来自网页    ,0,ww88195,0
我竟然不再想吃了,18分钟前 来自网页    ,0,Megly,0
以后村里是不是还会出个专门管理主播的部门 然后互相合作 赚更多的钱,22分钟前 来自网页    ,0,Candy璐璐GM,0
那不是屎吗,22分钟前 来自网页    ,0,我太难了wwwww,0
到底是黄还是屎？,24分钟前 来自网页    ,0,大胡子的EuroStep,0
你是不是把后面那一节，屎也给吃了,25分钟前 来自网页    ,0,华华987654321,0
好啊咯撒泼来PK哦搜集,26分钟前 来自网页    ,0,大虫子笑,0
还好吧，不就是推销海鲜吗,26分钟前 来自网页    ,0,无奈回头一笑,0
看着就没胃口，指甲里全是黑的,27分钟前 来自网页    ,0,三维模型设计龙工,0
煮成这样....看着没啥胃口啊……,27分钟前 来自网页    ,0,茉茉走在幸福的路上,0
为什么这些人还没吃呢 嘴巴就稀里呼噜了 我爸也这样,27分钟前 来自网页    ,0,花心的不二,0
看饿了，评论里面有说人吃相不好的，感情你们在家都用吃西餐的方式吃啊,28分钟前 来自网页    ,0,Aholyknight,0
能不能吃熟食,29分钟前 来自网页    ,0,我答应你啊hzj,0
最受不了几乎所有的吃播主播吃东西都吧唧嘴,29分钟前 来自网页    ,0,弹道无痕_Anson,0
我觉得，这小姐姐播的挺好的呀,29分钟前 来自网页    ,0,甜甜的小点点咯,0
吃,31分钟前 来自网页    ,0,是橘子吖I,0
那个指甲！！！！看了好油腻,31分钟前 来自网页    ,0,遇见只虎鲸在游啊游啊游啊游,0
吓人,31分钟前 来自网页    ,0,糊球糊球糊糊球球,0
说实话 你们这种营销号  也没什么区别吧。。,31分钟前 来自网页    ,1,Mr_山大王,0
这一锅看起来一点都不好吃,32分钟前 来自网页    ,0,郭正面,0
真土，从来没买过,33分钟前 来自网页    ,0,热豆腐快来了,0
啦啦啦,33分钟前 来自网页    ,0,wellsuperman777,0
就是。。。别在锅上面吃啊，都流到锅里了,35分钟前 来自网页    ,0,想养一只加菲喵,0
污,35分钟前 来自网页    ,0,唯我独尊-明,0
吃不下去,36分钟前 来自网页    ,0,2019冲鸭西财,0
只能说有钱人多，购买力可以。我2003年就开始网购了，到现在我还没有尝试过在直播上买东西。可见我个人经济下滑了,37分钟前 来自网页    ,0,Love莉丝lee,0
这种吃播算是正常把吧。。。。有的吼的可大声给我吓一跳,38分钟前 来自网页    ,0,张倩倩不是僵尸号,0
我们从小就吃苦胆啊，为什么摘了,38分钟前 来自网页    ,0,douwajun,0
先把手指甲弄干净利索吧，脏兮兮的，一点食欲没有。,40分钟前 来自网页    ,0,丛桦CH,0
看着好反胃。暴殄天物,41分钟前 来自网页    ,0,七月的小葫芦---,0
我觉得还好，甚至有点想吃,43分钟前 来自网页    ,0,踩滑板举相机的rapper,0
吃相不好！,44分钟前 来自网页    ,0,素雪幽香,0
手都烫红了,44分钟前 来自网页    ,0,哪里有卖半岛铁盒乀,0
这个吃的有点呕心啊～怎么吃的下去太拼了,44分钟前 来自网页    ,0,丽颖a,0
反感。,45分钟前 来自网页    ,0,心有所思-了却无言,0
说的也是，太无聊了,46分钟前 来自网页    ,0,李柱16450,0
真的有点像啊,48分钟前 来自网页    ,3,妈妈害怕,0
各位好心人帮帮我吧。中外合资大企业欺负我们。我爸从他们厂里出了事一年多了一个出面的也没有。无处申冤。想通过各大V博主评论引起关注。现在只有通过网络轰动了才得以解决。求求你们帮忙转发一下。,49分钟前 来自网页    ,0,伊莱特重工还我公道,0
这不是屎膏吗？还黄？我们都是不吃这段的,50分钟前 来自网页    ,0,宥myself,0
说实话不太喜欢做吃播的 有的弄得太夸张了,50分钟前 来自网页    ,0,王哒哒努力吧,0
主播长的真好看,51分钟前 来自网页    ,0,阳痿早泄延时增大锻炼秘术,0
长得好可爱,52分钟前 来自网页    ,0,千层酥-房子,0
怎么说呢，看了反胃,53分钟前 来自网页    ,0,齐鲁-仰望星空,0
双击哪里？点赞吧？,54分钟前 来自网页    ,0,浮萍15161,0
吃的口水都流到锅里了,57分钟前 来自网页    ,0,梦想实现了嘛,0
看到美甲💅🏻手抓吃食物总觉得变扭,58分钟前 来自网页    ,0,娜娜小姐在普罗旺斯,0
想看看挤出来的肝，是不是每种螺都要挤肝挤胆啊,今天 21:38 来自网页    ,0,小鲸鱼喵喵喵,0
这种以“大”为主题的都好lo啊,今天 21:37 来自网页    ,0,一点必须睡觉,0
这姑娘真好看,今天 21:37 来自网页    ,0,Eugene呀,0
感觉有点腥…,今天 21:36 来自网页    ,0,现在不是白天但是精神在晚上orz,0
这小姐姐挺好看的,今天 21:36 来自网页    ,0,Sunflower没有说出口的爱,0
老铁，来爆头,今天 21:35 来自网页    ,0,choi_seung_hyun_tttttop,0
小点口吃,今天 21:35 来自网页    ,0,我记得这座城市的每一场雨,0
感觉好好吃,今天 21:35 来自网页    ,0,猫和他的钟表匠,0
给个十二加一,今天 21:34 来自网页    ,1,忠庆叔叔_159,0
感觉痛风来了,今天 21:32 来自网页    ,0,Mr_咸蛋c,0
我好奇那些看吃播的观众喜欢欣赏狼吞虎咽的吃相吗？我反正欣赏不来,今天 21:32 来自网页    ,0,Hou-某人,0
好吃是好吃，就是吃不到啊！太坏了。,今天 21:27 来自网页    ,0,黄兴babyxing,0
为什么要上手抓！原始人,今天 21:22 来自网页    ,1,叮璫喵咪,0
难怪都是一个味道的。。。,今天 21:20 来自网页    ,0,素颜女神Talia_wan,0
我想吐🤮,今天 21:17 来自网页    ,0,Lemon-黎,0
性别男，性取向女，那些动不动裸露的我也反感,今天 21:17 来自网页    ,0,Lin_13,0
为了生活，加油💪。,今天 21:16 来自网页    ,1,无比娇小呀,0
大部分都是在快手直播的土狗,今天 21:16 来自网页    ,0,灬何丶以丶笙丶箫丶默灬,1
这个算好的了,今天 21:14 来自网页    ,0,Sevrow_,0
一个月的菜钱没了,今天 21:13 来自网页    ,0,2019-越来越好,0
吃东西就好好吃就行，没有必要特别夸张，你大口大口的使劲咀嚼，不能让人觉得这个东西好吃，反而觉得堵得慌，长的好看也不好使啊，妹子，真的很招人反感,今天 21:13 来自网页    ,0,亲你个萌宝1011,0
和花千骨好像,今天 21:11 来自网页    ,0,传说叱咤风云,0
就是我们这边,今天 21:10 来自网页    ,0,海苔厂家,0
有干吃不咽的，有狼吞虎咽的，有胡吃海塞的，也有无耻秀下限的。这些人有没有给自己带来收益我不知道，不关心，但请各个平台能审核严谨，不要教坏小孩子,今天 21:09 来自网页    ,0,冰儿喵喵屋,0
说明好吃，才忘记装了,今天 21:09 来自网页    ,0,dongsae-黄,0
感觉没熟的吧,今天 21:08 来自网页    ,0,小燕妮198506,0
这。。。能生吃吗,今天 21:05 来自网页    ,0,鲁滨逊服饰,0
看得我好想吃啊,今天 21:03 来自网页    ,0,丧乔丧,0
都可以靠颜值担当的，偏要靠吃货,今天 21:02 来自网页    ,0,奥赛皮具,0
你这一锅起码吃了我一个月工资了,今天 21:02 来自网页    ,0,情雨輝H2O,0
所以哪里无下限，哪里又让宁们方案了？？我瞅着没啥毛病呀,今天 21:01 来自网页    ,0,_skyler_,0
评论里一个个都高贵成什么了？都是为了谋生活，没有谁比谁高贵，拍视频只是为了他们的客户群看，你看不下去只能说明你不是他们的目标客户群，你不需要他，他也不需要你,今天 21:01 来自网页    ,2,Waytoonice,0
不要吧唧嘴。。。,今天 20:59 来自网页    ,0,嘟他娘亲,0
沙雕,今天 20:59 来自网页    ,0,A紋开衫,0
涂指甲油都不敢直接拿吃的，就觉得看着不干净,今天 20:59 来自网页    ,1,夜色不见人,0
不怕得寄生虫病吗？,今天 20:59 来自网页    ,0,左右手Heart,0
我没吃过这种还行。,今天 20:57 来自网页    ,0,兰姑6379056491,0
买不起舍不得，想吃,今天 20:56 来自网页    ,0,喜欢李小爱的二然失恋了,0
不是喷子，但很反感,今天 20:55 来自网页    ,0,漪沫暄之霍尔系数,0
双击有什么用？能换钱吗,今天 20:55 来自网页    ,0,asdfghjkl07896,0
回头就吐掉了,今天 20:55 来自网页    ,1,雨淋湿了天空与我,0
看馋了,今天 20:53 来自网页    ,0,旧时眉靥,0
现在看到网红两字就反感,今天 20:53 来自网页    ,0,Lin_13,0
我觉得挺好的 给渔民更多的选择,今天 20:51 来自网页    ,0,XQIAO-CL007,0
千万别这么说，不然有些人又要说你看不起人了[皱眉],今天 20:51 来自网页    ,0,Lin_13,0
赵丽颖？？？？？,今天 20:50 来自网页    ,0,应蓝166,0
能不bia几嘴吗,今天 20:50 来自网页    ,0,mayday-娜娜,0
眼睛有点像赵丽颖,今天 20:48 来自网页    ,0,潼光沫沫,0
这种超大的真的好吃吗？？？,今天 20:48 来自网页    ,0,爱喝南瓜饮,0
不想吃这种东西了,今天 20:47 来自网页    ,0,春风十里1237998,0
现在女的都是怎么啦，无下限的露胸漏腿只为被关注都啥素质,今天 20:46 来自网页    ,1,钓不到鱼的猫咪,0
吃过一次海螺肉之后，就再也不吃了，可能我对海鲜不感冒,今天 20:46 来自网页    ,0,Colinvvvvvv,0
真正会吃海鲜的人，并不是这么吃法的。而且这样做的海鲜，肯定不好吃。别误导观众了，，，,今天 20:45 来自网页    ,1,Bjgaoke高科,0
我想知道好吃不,今天 20:44 来自网页    ,0,起名字真难mmp哟,0
没得吃也要给小红星,今天 20:43 来自网页    ,0,honey祉儀,0
虚假宣传啊这是，全网。。最大，全网最大,今天 20:39 来自网页    ,0,希酱喜是枝裕和,0
做直播买东西可以理解，但是又喊又叫的就很奇怪了。,今天 20:36 来自网页    ,1,六斤他爹爱六斤,0
国人没有能意识到的一个严重问题……年轻人和中年人都去当网红做直播，这个国家谁去做实业？谁去真正的赚钱？中国正在走向衰亡,今天 20:36 来自网页    ,1,老西老大我老二,0
理解不了，看起来特别反感！,今天 20:33 来自网页    ,1,Summer手工皮革,0
感觉不咋好吃啊。。。,今天 20:32 来自网页    ,0,Susan橘小果,0
我看了更吃不下了怎么办,今天 20:32 来自网页    ,2,pomegranateeeeee_,0
沒見過,今天 20:32 来自网页    ,0,爱在微笑里微笑,0
感觉白瞎这东西了 吃的什么样子 像猪🐷吃猪🐷食,今天 20:26 来自网页    ,1,wu侠-Orient,1
这能吃？,今天 20:24 来自网页    ,0,狩猎者赖,0
这个我绝对不会买的,今天 20:22 来自网页    ,0,小小小衍,0
见过 不给 拜拜👋,今天 20:22 来自网页    ,1,篮球恶少蔡徐坤,0
真是没法欣赏这种吃播 跟看二傻子似的,今天 20:22 来自网页    ,1,V绣家的小蘑菇啊喂,0
快手平台真的无语了，各种低俗无下限的段子,今天 20:21 来自网页    ,1,硪不胖只是肉肉比较多,0
弱弱的问一句真的好吃吗？,今天 20:19 来自网页    ,0,#NAME?,0
我咋觉得还好啊，把小姑娘说的那么糟糕，我咋看过很多快手比她可糟糕多了,今天 20:17 来自网页    ,0,努力走遍这个世界,0
开始以为赵丽颖,今天 20:17 来自网页    ,0,砖治嘤嘤怪,0
这个吧唧嘴真的是,今天 20:17 来自网页    ,0,leo龑,0
隔着屏幕我都闻到了海腥味,今天 20:14 来自网页    ,0,锦鲤少女柒sss,0
那个吸沥沥的声音好烦,今天 20:14 来自网页    ,0,这不是大灰狼,0
不bia叽嘴其实都看得下去,今天 20:13 来自网页    ,0,肚皮他爹,0
好多打擦边球叭,今天 20:13 来自网页    ,0,九冬Ryuukiki,0
嘴太小了,今天 20:12 来自网页    ,0,喵星球的汪,0
吧唧嘴不好,今天 20:12 来自网页    ,0,V5不C,0
海鲜是好海鲜，就是这个吧唧的看的食欲全无了,今天 20:12 来自网页    ,1,有病就得往死治_,0
看着就难吃,今天 20:10 来自网页    ,0,啊尼玛尼玛尼玛啊,0
那第一口吃的玩意能吃？？？,今天 20:10 来自网页    ,0,瓜俩枣,0
哪里无下限了？,今天 20:07 来自网页    ,0,不知改什么名字鸭,0
这个黄可以吃啊？,今天 20:06 来自网页    ,0,哑口无言的哑巴,0
都是为了生活，评论有些说话有点刻薄了,今天 20:05 来自网页    ,2,蔫了吧唧的废话,0
直播不反对，货别掺假就行,今天 20:04 来自网页    ,0,黑妞黑牛牛,0
全村给老铁们爆个头？？？,今天 20:01 来自网页    ,0,阿恹,0
哪里能买到这么大的海螺吖？？？,今天 19:58 来自网页    ,0,hailun-chen,0
视频拍的挺好啊！,今天 19:55 来自网页    ,0,墨宝800,0
有这么瘦的猪,今天 19:54 来自网页    ,0,愤怒的少年王二狗,1
唉 我感觉也比不上朱之文那村子，天天拍人家的生活。。。。,今天 19:53 来自网页    ,0,介乎法国与禹城的诗意,0
要吃就好好吃，吃的下饭大家自然买！吃成这样……呵……,今天 19:52 来自网页    ,0,偷偷说点什么,0
你吃海螺叫我给你双击！怎么想的？,今天 19:52 来自网页    ,0,人生好高深莫测,0
这么大个螺不是地球的吧？看肉像人造的,今天 19:51 来自网页    ,0,双剑合壁a,0
这也是广告宣传的一种形式，咱们要与时俱进啊，挺好的呀,今天 19:51 来自网页    ,0,花浅觅,0
不想吃 ,今天 19:50 来自网页    ,0,xxxyxa,0
现在生活变好了我们也开始追求色香味俱全了，还记得奶奶说过她们挨饿那会，有把孩子煮了吃的，每次想到都觉得很恐怖,今天 19:50 来自网页    ,0,请给我一个热情的拥抱,0
看着没啥食欲 也太大了........,今天 19:49 来自网页    ,0,zhjdjslsmifkdnamam,0
實在不明白，吃播為啥都得這種風格.....🤢🤢🤢,今天 19:48 来自网页    ,0,飛飛姐6128945015,0
这吃相这指甲油抓食物真的可以帮助减肥了,今天 19:47 来自网页    ,0,九朵毛球,0
这个女的长的还挺好看的……,今天 19:44 来自网页    ,0,肿肿的单眼皮小眼睛y,0
我最讨厌吃饭的时候吧唧嘴吧,今天 19:43 来自网页    ,0,西瓜樱桃橙子柠檬蜂蜜水,0
默默地看着你长胖。,今天 19:42 来自网页    ,0,伶78854,0
口区,今天 19:41 来自网页    ,0,肥真今天打死孙兴这个赔钱货了吗,0
不敢恭维,今天 19:40 来自网页    ,0,何苗-多走走国内国际机票,0
她的收入比在座大部分都多 所以 话别说那么难听了,今天 19:38 来自网页    ,0,阿哏-,0
好好做,今天 19:36 来自网页    ,0,肖雅玲34986,0
好过瘾啊 哈哈哈,今天 19:36 来自网页    ,0,宋悦,0
 我…,今天 19:35 来自网页    ,0,BabyP1nk,0
看手识吨位,今天 19:34 来自网页    ,0,一口大肥肉,0
螺的底下不是屎吗，我从来都是拔掉吃上面,今天 19:34 来自网页    ,0,摘个小李子Leo,0
手指甲有点隔应,今天 19:33 来自网页    ,0,榴莲抹茶草莓,0
姑娘，你不知道大家都讨厌你吃东西吧嗒嘴吗？,今天 19:33 来自网页    ,0,2015玲仔,0
挺好看的，毕竟在西北内陆，吃的海鲜类型太少了,今天 19:33 来自网页    ,0,绵绵的晴天,0
这指甲，,今天 19:32 来自网页    ,0,只为自己天荒地老,0
真的,今天 19:31 来自网页    ,0,HOPE-李旺旺,0
下面那一锅海鲜感觉都快坏了,今天 19:31 来自网页    ,0,杨紫梦里鉴三第一人,0
 呕,今天 19:30 来自网页    ,0,皮亚杰保你过教资,0
她就没咽,今天 19:29 来自网页    ,0,换根数据线吧,0
不想吃海螺了，看着不好吃,今天 19:28 来自网页    ,0,大妞阿喵,0
螺蛳后面那一部分不是屎吗？这也能下口？,今天 19:28 来自网页    ,0,我看见了新世界的大门,0
以前我以为直播平台说给个双击和666什么老铁的是东北人,今天 19:28 来自网页    ,0,疯疯的丸子,0
你们太年轻了，这种吃相在吃播里算是可以的了。,今天 19:27 来自网页    ,0,我要换个有意思的ID,0
这指甲真是醉了,今天 19:25 来自网页    ,0,Only裕夏,0
bia ji啥呢无语吃个东西跟饿狼吞食一样，，,今天 19:25 来自网页    ,0,eversince-YZ62,0
那尾巴不是屎么,今天 19:24 来自网页    ,0,luc_kyle,0
在哪儿可以买,今天 19:22 来自网页    ,0,Bing_Latte,0
做吃播的能不能把指甲弄干净哦，看起来真的很脏,今天 19:22 来自网页    ,0,洋洋洋洋29883,0
她的指甲……没有毒吗……,今天 19:22 来自网页    ,0,曦允诺诺阳,0
网络吃播让人看的只想骂人,今天 19:21 来自网页    ,0,炼钢不用煤,0
其实不是很明白这视频哪里无下限了→_→很正常一吃播视频啊，用这种文案发人家小姑娘的吃播视频是不是有点过分了→_→无语→_→,今天 19:21 来自网页    ,3,绿蚁清酒,0
这玩意真没屎？,今天 19:20 来自网页    ,0,三大纪律八个主义,0
直接点说快手呗，视频中第一个出现的主播经常在微博看见，做海鲜基本操作就是下葱蒜辣椒，下海鲜（都不知道有没有处理），酱油一直倒，锅一盖，然后熟了，看着就是猪食好吃才怪。 ,今天 19:20 来自网页    ,0,微风细雨Xiang,0
吃相太难看了吧...,今天 19:20 来自网页    ,1,麋鹿-OOW,0
为什么老是要双击？,今天 19:18 来自网页    ,0,RR木南RR,0
很多人都在评价这样吃不好，如果有好的销售渠道，好的销售曝光度，好的平台，没有人愿意这样损害身体得吃，好多人吃的胆固醇都很高，农村能有多少出路，有些人一辈子可能也就只有那么一次发财的机会，其实也没有多少钱，我真的觉得这些努力的人好棒。,今天 19:18 来自网页    ,2,冻豆腐Zzzz,0
还吧唧嘴，忍不了,今天 19:17 来自网页    ,0,腻腻啊_-,0
老铁，双击666呀,今天 19:17 来自网页    ,1,分享日常哦,0
