comment,date,support_number,user
一切都是校园霸凌惹的祸,今天 13:24 来自网页,280,钢铁咩
不知道如何评价,今天 13:22 来自网页,185,查萌宝smile
死刑，妥妥滴！,今天 13:22 来自网页,144,玲玲振玉
现在还有人在说男生校园暴力，从头到尾校园暴力都只有这个杀人犯的一面之词，判决书都说了是这个杀人犯主观臆测的欺负！ 那些闭着眼睛瞎说杀人犯是为了保护女儿的，请还男孩一个公道和安静吧！,23分钟前 来自网页    ,0,kristallkk
人家也就帮女儿报仇，不然这熊孩子长大不定能做出什么危害社会的事。我觉得无期合适了,48分钟前 来自网页    ,0,我给你看腿
两个家庭的悲剧,今天 20:56 来自网页    ,0,享受微笑享受生活
没经历过，不评价,今天 20:50 来自网页    ,0,微b用户
我真的希望每一位公民尊纪守法，以免悲剧的发生，，小孩要是不若是也没这是，家长要是妥当处理也没这样的悲剧，小孩在不对还是孩子，悔了两个家庭，,今天 20:37 来自网页    ,0,大于53719
还不许说话了，就你这张臭嘴，也是到哪哪黄的节奏，赶紧滚蛋吧,今天 20:23 来自网页    ,0,超级无敌爽
小女孩被欺负，爸爸杀了那个欺负他的男孩,今天 19:56 来自网页    ,0,海底月是天上yue
这个人应该找小孩的监护人，没教好孩子要付出代价,今天 19:53 来自网页    ,0,漆黑的企鹅皮
这个事情有很多解决办法，但是你选了最笨最愚蠢的一个，害苦了你的女儿，你并没有真正将她从“被欺负”的困境中解救。甚至相反，唉。,今天 19:43 来自网页    ,0,在常想一二路上的dra
如果可以好好了解一下情况，冷静的处理事情。也许就不会有这样惨痛的结果了。可惜，世上没有“如果”。引以为戒。,今天 19:36 来自网页    ,0,抹香鲸Winnie
好像最后也没有任何证据说明这个被杀的小男孩有欺负过杀人者的女儿吧,今天 19:23 来自网页    ,0,晓猪绵绵
干了件好事被判了死刑,今天 19:20 来自网页    ,0,FC-FUN
转发微博,今天 19:17 来自网页    ,0,玉林反邪
回复 ,今天 19:14 来自网页    ,1,童妖仓
一场悲剧,今天 19:11 来自网页    ,0,累肌肉养肠子
太残忍了,今天 19:10 来自网页    ,0,喜欢你呀_SY
两个家庭的破碎！希望法律和监管的完善，首先，校园霸凌如何改善避免，其次，校外人员进入学校安全检查必不可少！,今天 19:04 来自网页    ,0,林庙庙
害人害己,今天 19:01 来自网页    ,0,初心159
 ……,今天 18:54 来自网页    ,1,瓜子yayani
判决很合理,今天 18:49 来自网页    ,0,0依然V爱你0
杀人偿命,今天 18:46 来自网页    ,0,屋村一座
激情犯罪？校园霸凌？,今天 18:41 来自网页    ,0,Araotao
深沉的父爱,今天 18:35 来自网页    ,0,LANGMU婷
犯人终究还是绳之以法，大快人心！,今天 18:25 来自网页    ,0,聊聊小木
真不希望自己家乡因为这个上央视新闻,今天 18:15 来自网页    ,0,汝宁runing
: 被害人父母和老师有很大的原因！有些家长总是怕自己孩子受欺负，欺负别人还感到自豪！老师也是总以为小孩子闹着玩，没有意识到问题的严重性！,今天 17:52 来自网页    ,0,上善若利
害人害己，被害者父母失去了儿子，凶手也让自己的女儿失去了爸爸。值得吗？？,今天 17:37 来自网页    ,0,蔡太8690
他女儿以后怎么过哟，学校怕是呆不得了,今天 17:35 来自网页    ,0,ibaox
悲哀的何止一个家庭？！,今天 17:24 来自网页    ,0,塞风行
这样判罚，如南京扶老太太过马路的案件。会导致中国人没有血性，没有责任，没有担当，沦为奴隶！,今天 17:20 来自网页    ,0,桑弧蓬矢999
判的重了，建议上诉，有因才有果。难道男孩家就没有任何过错吗？,今天 17:17 来自网页    ,0,桑弧蓬矢999
判的重了吧……,今天 17:16 来自网页    ,0,桑弧蓬矢999
回复 ,今天 17:09 来自网页    ,2,童妖仓
报道不实的媒体真的是吃人血馒头，是杀人犯脾气暴躁，为了流量洗成校园霸凌。而且很多人三观不正，有理由就可以杀人无罪的话，那要法律干嘛？,今天 17:06 来自网页    ,0,瑞意如玉
上路吧，罪有应得。,今天 17:04 来自网页    ,0,佐世保渔夫
不评论,今天 16:43 来自网页    ,0,小问牛仔
刘某宸被捅死的照片很血腥，当时保存了一张给学生作警示教育,今天 16:39 来自网页    ,0,史小东
同学之间偶尔发生矛盾或打闹原本是很正常的事情，有些家长不依不饶就会把事闹大，对谁都不好。孩子之间不打闹，难道让八九十岁老头老太太去打闹,今天 16:28 来自网页    ,0,爱吼秦腔
就不能提供下真相？好端端的一个人会杀一个孩子？,今天 16:27 来自网页    ,0,猎者墨扬
哎,今天 16:26 来自网页    ,0,小哈比不是xiaohabi
有些人怎么跟这个凶手一样脑子一根筋，不看证据不顾道德只把自己的标准当成正确的,今天 16:20 来自网页    ,0,大喵不吃鱼_cindy
坏制度害死的人,今天 16:20 来自网页    ,0,生如夏花花花花啊
只要一把舆论导向霸凌，就没人管真相如何了，可悲,今天 16:17 来自网页    ,0,simbama
唉😔,今天 16:14 来自网页    ,0,微微jqq
校园欺凌惹的祸。老师校长有不可推卸的责任。,今天 16:10 来自网页    ,0,南沙群岛WJG
判了他,今天 16:05 来自网页    ,0,蜂蜜人生
冲动的代价,今天 16:05 来自网页    ,0,蔡小路2011
那孩子就没爸爸了，人生真的好难！,今天 16:02 来自网页    ,0,小卡小卡心想事成
光学赚钱的本事就可以了？光玩手机游戏看短视频就可以了？光爱年轻的帅哥和美女就可以了？学其它的那么多的知识有个屁用啊？能当饭吃吗？能买房子买车吗？ 结果如何？,今天 16:01 来自网页    ,0,贾永方
当一个医生因某些因素或是误判一人是精神病时，无知者都会认为他是精神病。,今天 15:58 来自网页    ,0,wraiying
希望国家能多多关注校园暴力,今天 15:56 来自网页    ,0,舞虎123
谁能告诉我，那个男孩究竟怎么了那个女孩儿？使得女孩儿父亲如此盛怒.....,今天 15:54 来自网页    ,0,是张明美啊
