comment,date,support_number,user,hateful
哈哈哈哈哈哈看了这么多天热闹本来搞不清楚什么状况，哈哈哈看到姜昆两个字瞬间明白了,今天 15:29 来自网页,16997,裂帛声声,0
中国曲协……姜昆大师………似乎明白什么了,今天 15:35 来自网页,13627,Vicky20723,0
姜昆？？？？哈哈哈哈哈哈哈，让我先笑一会儿，哈哈哈哈哈哈哈哈哈哈哈，我不行了……原来最终目的是这个啊，哈哈哈哈哈哈哈哈哈,今天 15:34 来自网页,10904,无聊的云喵喵,0
懂了懂了！！麻烦姜主席一视同仁，好好管管你们曲协苗大拿，让他出来好好解释解释512是纪念日是什么意思,1分钟前 来自网页    ,0,我爱你秦霄贤,0
没有德云社，谁去听相声！ 真的是，张云雷好好的做艺，明白人看在眼里，到底是动了谁的奶酪！ ,1分钟前 来自网页    ,0,伊莎和Bella,0
就这破事刷的到处都是，我下午那会还在电视上看到了，没有艺德的多了，出轨小三还不是照样演戏怎么没人管呢，死人了怎么没见这么大反响？一个传统艺术相声整得跟尼玛饭圈一样风气恶臭。,1分钟前 来自网页    ,0,段天仙的嘎甜豆,0
转发：姜昆、唐杰忠、大山合说的相声《四管辖》，大山最后包袱:“左手抱梅香，右手搂姑娘”。 三个大老爷们拿丫环、梅香、姑娘调侃。,1分钟前 来自网页    ,0,我们都happy开心,0
张云雷粉丝控评不可小觑啊！节奏带的稳得一批！统一作战思想，厉害厉害,1分钟前 来自网页    ,0,大路上的小孩儿,0
曲邪，曲尼玛，除了争权夺利对戏曲发展贡献有张云雷百分之一多吗,1分钟前 来自网页    ,0,妖腾宇烈,0
19年的张云雷道歉了，但姜主席仍批评18年的张云雷，那能不能一起管好手下的人一视同仁！也道歉呢！毕竟您是曲协的可比草根班子影响力大吧,1分钟前 来自网页    ,1,一只仓鼠悦,0
不想说太多，送两个表情,1分钟前 来自网页    ,1,清祀念六,0
 小单快康康,1分钟前 来自网页    ,0,我要当年级第一我要做陆太太,0
哟，还以为是哪位大师呢，原来是姜昆主席大师呀，真是劳烦您大驾来送我们二爷上热搜了，真是谢谢您！,1分钟前 来自网页    ,0,衿之卿,0
一句姜昆就全明白了哈哈哈哈哈,1分钟前 来自网页    ,0,十载惊鸿梦,0
屁股沟缝里的屎，都有大批人抢着舔。,1分钟前 来自网页    ,0,喜乐洋溢的小伙伴,1
没完没了都,2分钟前 来自网页    ,0,嗬嗬-哈哈,0
一看姜昆都明白了,2分钟前 来自网页    ,1,三山五岭远灯长行,0
这么久热搜我都没懂为啥天天都是张云雷同一件事，搞半天是曲协搞得,2分钟前 来自网页    ,0,你猜哎呀你是谁,0
这些大师真有意思，一年的事现在才说，反射弧太长了，以前觉得挺喜欢姜昆，现在越来越失望了，估计如果没有张云雷，中国也没有几个知道张火丁的，他言语是不当，也不至于这样上纲上线,2分钟前 来自网页    ,2,梦想之士兵,0
可是，正如一些同志所说，这样，道八百次歉都没完。我也请求一些同志们别翻旧账了，他真的在改变了,2分钟前 来自网页    ,1,张小辫儿5555,0
……？北京青年报？中国曲协？,2分钟前 来自网页    ,1,今天要吃糖糖leslie,0
低俗就是低俗，错了就是错了，跟姜昆什么关系？！,2分钟前 来自网页    ,1,悠玉久皓,0
本来还很生气，觉得曲协居然和那些黑粉一样什么都不知道有点不可思议，不过一看是jk，哦，我懂了，不怪我社入不了你的眼啊，你从来不容我社啊，不过您身为相声大师，居然会不懂相声？可笑至极啊,2分钟前 来自网页    ,1,谦磊的小雪糕,0
别改啊。写都写了，还怕别人看吗？,2分钟前 来自网页    ,0,狸猫花和,0
"己不正，何以正人。其身正,不令而行；其身不正,虽令不从。自己什么样没有点逼数，还说别人，搞笑",2分钟前 来自网页    ,0,氵一路向东,0
呵呵,3分钟前 来自网页    ,0,郑的辛普森,0
没有毛主席就没有新中国，苗阜在表演中调侃侮辱我们心目中的伟大领袖，我们表示强烈愤慨并予以严厉谴责，作为演员不能丧失底线，与此同时，呼吁相关文化管理部门进一步加大审查监督力度，加强监管惩戒，共同打造良好文化演艺生态。,3分钟前 来自网页    ,0,懵懵的柒柒,0
德艺双馨的主席还在段子里盼着国家出点事呢？您怎么看？法律的权威在于平等公正，媒体的公信力可别毁于双标啊！如果张云雷罪该万死，那就用统一标准来衡量相声界，看看是不是该死的是相声，看看有几位德艺双馨的艺术家禁得起大家显微镜式的查找，断章取义的推敲！量刑请公平！,3分钟前 来自网页    ,0,月明,0
