comment,date,support_number,user,hateful
别人家的学校 羡慕了,今天 09:46 来自网页,871,南枫翊,0
有一说一，网上的选修课都很有意思，但是回到现实学校里，再有意思的选修课也给上成了“课”,今天 09:48 来自网页,788,盖老师Gary,0
别人家的学校,今天 09:46 来自网页,286,行走的穆天子,0
我的选修课还在不同软件上 还找不到在哪儿,1分钟前 来自网页    ,0,嘿林浩然,0
永远都是别人家的选修课,1分钟前 来自网页    ,0,柠凌若雪,0
不好意思我们学校没有选修课,2分钟前 来自网页    ,0,给我一份情书,0
我的大学就是：马毛邓三科,2分钟前 来自网页    ,0,M的小窝窝,0
我们学校做口红,2分钟前 来自网页    ,1,萤儿啊,0
中南那节选修课“名侦探柯南与化学探秘”是真的抢不到。。瞬没,2分钟前 来自网页    ,0,毕竟wo伦,0
居然有全球某工商,3分钟前 来自网页    ,0,要寄糖果给你吃,0
当初差点选了名侦探柯南与化学,3分钟前 来自网页    ,0,耽于主上,0
别人家的学校🍋🍋🍋🍋我们学校好不容易选了自己喜欢的课却被告诉我们专业不让选☹️,4分钟前 来自网页    ,0,做自己的英雄鸭,0
减肥选修课我可以,4分钟前 来自网页    ,0,世界上最高的小仙女,0
我们学校只有高尔夫课拿的出手,4分钟前 来自网页    ,0,小红猪吗,0
我建议把中国传统手艺作为选修课，比如剪纸，木雕，刺绣，这样也不用担心失传，也会发展兴趣。,4分钟前 来自网页    ,0,啦啦啦past,0
又是“别人家”系列产品,4分钟前 来自网页    ,0,旖旎冰丝梦语,0
你们有高尔夫球课吗,4分钟前 来自网页    ,0,法捞pharaoh420,0
现在在上   大学的学费 人大一门选修课……,4分钟前 来自网页    ,0,朝·无,0
我真的酸了🙋🙋,4分钟前 来自网页    ,0,风铃草中的紫风铃,0
想有街舞课,5分钟前 来自网页    ,0,繁叶隙间,0
我们学校有烹饪课，上课就是做饭，然后把他吃掉,5分钟前 来自网页    ,0,雨叚啦啦啦,0
我们学校选修课有陶艺课！老师教怎么做 做好了老师还会给我们烧好 自己可以带回去,5分钟前 来自网页    ,0,芒果卷心酥,0
我学校的高尔夫课 弓道课 红酒鉴赏课 粤语课 好像也不错,5分钟前 来自网页    ,0,XRIAYNU,0
 南信大的安塞腰鼓哈哈哈哈,5分钟前 来自网页    ,0,Stunningyeeu_,0
 看看别人的选修课,6分钟前 来自网页    ,0,猪猪小兮,0
