comment,date,support_number,user,hateful
太懂事了吧,今天 18:34 来自网页,6786,今夜天气晴朗,0
孩子懂事的让人心疼  愿你的父亲能够早日康复 愿你平安健康长大,今天 18:34 来自网页,4061,千黛汐Rebecca,0
小小男子汉真棒👍,今天 18:35 来自网页,2376,如果沉默85号,0
希望快点好起来❤️,1分钟前 来自网页    ,0,吟莹爱霖,0
祝你和家人一生平安，你爸爸一定会早日康复的！加油(ง •̀_•́)ง,1分钟前 来自网页    ,0,奈何若何nai,0
好感人。好懂事的孩子,1分钟前 来自网页    ,0,向灏颖,0
看见这种就觉得好感动还有上次那个小男孩儿！！他们才这么小！！！,1分钟前 来自网页    ,0,可爱的-syh,0
好勇敢的男孩。祝你父亲早日康复。,1分钟前 来自网页    ,0,願無深情共餘生,0
希望早日康复!男子汉很棒很勇敢!!,1分钟前 来自网页    ,0,国王雨乞丐,0
一定要好好长大哦,1分钟前 来自网页    ,0,下粥也很开心,0
加油💪,1分钟前 来自网页    ,0,好梦呀hhh,0
能有一个听话懂事的孩子，上辈子一定是拯救了银河系吧,2分钟前 来自网页    ,0,卖火柴的小木鱼,0
哭了  看了看旁边也是10岁还抱着平板玩cf的弟弟 我操起了戒尺,2分钟前 来自网页    ,1,瑶瑶再睡会,0
太懂事了！祝早日康复！,2分钟前 来自网页    ,0,大西瓜味的草莓,0
加油！！祝福你们！！,2分钟前 来自网页    ,0,斐斐滴老公,0
善良的孩子会一生平安的。,2分钟前 来自网页    ,1,徐小唯民间后援团团长,0
孩子懂事懂事的让人心疼，祝父亲早日康复，加油,2分钟前 来自网页    ,0,土了吧唧的123,0
好懂事。希望所有的孩子都能健健康康的长大,2分钟前 来自网页    ,0,向灏颖,0
祝他的父亲早日康复,2分钟前 来自网页    ,0,lisa懿,0
加油呀！,3分钟前 来自网页    ,0,theshy小姜,0
心疼,3分钟前 来自网页    ,0,木槿花开时时雨,0
懂事的好孩子,4分钟前 来自网页    ,0,这个夏天_xiatiannnn,0
好孩子，看哭了,4分钟前 来自网页    ,0,英雄事迹传播11,0
太心疼了,4分钟前 来自网页    ,0,fhsifye,0
顶！！！,4分钟前 来自网页    ,0,犬夜叉198012,0
懂事的孩子,5分钟前 来自网页    ,0,小姐姐儿姐,0
加油(ง •̀_•́)ง,5分钟前 来自网页    ,0,落叶孤零兮,0
加油💪,5分钟前 来自网页    ,0,rocket19951024,0
希望小男孩的父亲早日康复，一家人身体健康开开心心,5分钟前 来自网页    ,0,日光下的小T,0
愿安好！！！！小男子汉,5分钟前 来自网页    ,1,Kitty咯lol1,0
可怜的孩子,5分钟前 来自网页    ,0,永远甜的百事可乐,0
希望你和你爸爸都能健康，小伙子真棒，给你点赞，祝福你,5分钟前 来自网页    ,0,雅筱美VIVI,0
我的天，懂事得让人心疼的孩子,5分钟前 来自网页    ,0,雅儿kici,0
老乡 加油,5分钟前 来自网页    ,0,福尔蒙斯666,0
真心疼这懂事的孩子。愿他们一家人健康，幸福。,6分钟前 来自网页    ,0,这条锦鲤有记性,0
太懂事了,6分钟前 来自网页    ,0,HMH浠,0
祝愿早日康复!,6分钟前 来自网页    ,0,清水凉香Ryosuke,0
 呜呜呜呜呜呜呜呜呜呜呜呜我的眼泪不值钱,6分钟前 来自网页    ,0,给我吃一口五花肉,0
