comment,date,support_number,user,hateful
太太不亲你了哈哈哈哈哈，为你的职业操守点赞,今天 20:40 来自网页,8811,塔罗笔记,0
太太不敢亲我了 好真实可爱啊哈哈哈哈哈,今天 20:44 来自网页,4831,子绾,0
啤酒不敢喝就不喝了。太太不敢亲那损失可就大了,今天 20:51 来自网页,3236,天际丨行者,0
漏洞图，伎院，卖婬，，是属于我扬兲真的三个美好的词，，，扬天真提美好，被踢爆头，，，下流，色情，布要脸，才是属于扬天真的，，，扬天真说，我太脏了，我用美好来伪装一下，大家会忘记我开伎院卖霪吧，我好布要脸！！！！！！！！！！！！！！！扬天真，肥婆，抑郁，打胰岛素，熬夜，猝死了！,1分钟前 来自网页    ,0,画致景青画景致青清画景致,1
扬天真卫生巾贴脸上说，好美好，，，黑洞，阿水，卫生巾，，，是今天我扬天真发的最美好的三个词，，，这是扬兲真伎院卖霪专用的，，，扬天真我居然敢提美好，太布要脸，但这有什么关系，没人理，我从来都是自己夸自己！！！！！！！！！！！！！！！扬兲真，肥胖，抑郁，打胰岛素，熬夜，猝死了！,2分钟前 来自网页    ,0,画致景青画景致青清画景致,1
笑掉牙，，，扬天真卫生巾贴脸上说，我和仟洗被行业列入黑名单了，，，我扬天真是专业干缺德事的，还琧人先告状，，发呕羊哪哪的漏洞图，发色情信息，破坏 琧搞其他明星，是我最快乐的事，我真实要下溅100倍！！！！！！！！！！！！一个影视，天天热艘，钞作上天，，，结果提名都没有，笑掉大牙！,3分钟前 来自网页    ,0,画致景青画景致青清画景致,1
致敬！……,5分钟前 来自网页    ,1,怀揣梦想逆风飞翔的猫,0
细思极恐，意思是越好的啤酒越像那啥吗,6分钟前 来自网页    ,0,开心爱准,0
哈哈，好医生，点赞,7分钟前 来自网页    ,0,哥哥35918,0
感动中国是大人物,7分钟前 来自网页    ,0,璞一一,0
一个好人,7分钟前 来自网页    ,0,用人脸做钱币,0
哈哈哈对医生好感度➕100,7分钟前 来自网页    ,0,不言而喻Studio,0
这才是平凡的伟大，手动点赞,8分钟前 来自网页    ,0,有味的世界,0
大善丹心,8分钟前 来自网页    ,0,余刃有鱼,0
加油 好人,9分钟前 来自网页    ,0,贝弟and恬宝,0
哈哈哈哈 还是一位段子手,9分钟前 来自网页    ,0,潘璐nice,0
不管怎么样 喝尿听说是治病的  好人有好报 加油,9分钟前 来自网页    ,0,Bai_1113,0
看面相就是个特别可爱的人 您一定会好人有好报 幸福安康一辈子的,10分钟前 来自网页    ,0,不想一直都这样,0
哈哈哈,10分钟前 来自网页    ,1,今天蔚蔚有钱长高了嘛,0
医者仁心,10分钟前 来自网页    ,0,Miss_璇儿,0
我们单位一个主任当年救治过一个南方来出差的重伤车祸病人，悉心照顾到他家属赶来，病愈出院，病人承诺如果活到60岁会再来看他，20多年后他真的不远千里赶来,11分钟前 来自网页    ,0,月满空山-花满楼,0
质朴！,11分钟前 来自网页    ,0,我要发c刊,0
点赞,11分钟前 来自网页    ,0,金华火腿奶黄包M,0
为什么不奖励钱,11分钟前 来自网页    ,0,pppppp8888,0
白衣天使,11分钟前 来自网页    ,0,一个传说26,0
好可爱哈哈哈哈哈,12分钟前 来自网页    ,0,萌萌叽叽小透明,0
哈哈,12分钟前 来自网页    ,0,Summerosq,0
一看就是好人，风趣又幽默,12分钟前 来自网页    ,0,叮当zoe,0
太可爱了吧,13分钟前 来自网页    ,0,有人姓黄他有只猫,0
值得尊敬,13分钟前 来自网页    ,0,艳阳映影,0
医者仁心,13分钟前 来自网页    ,0,十根脚趾十根手指一个头,0
医者仁心,13分钟前 来自网页    ,0,缠论实践者1,0
俯首甘为孺子牛,13分钟前 来自网页    ,0,云去华,0
医者仁心   致敬！,14分钟前 来自网页    ,0,七彩阳光星yy,0
手动点赞,14分钟前 来自网页    ,0,LLin铃铃铃,0
为好医生点赞。但治病“救”人是他们的天职啊。总不能看着病人死去吧。,14分钟前 来自网页    ,0,梦大多数确实是个梦,0
开伎院卖霪的扬天真，一辈子没人要，，，扬天真说，正因为没人把我当人看，没人理，没人要，，，所以我最看不得其他结婚 生子，我就受不了，，，各种琧搞，破坏，，，扬兲真我现在要给灵魂伴侣一样仟洗导尿了！！！！！！！！！！！！！一羊千洗，超话排第几，热艘没几个坪论，，，早已不是流量。,15分钟前 来自网页    ,0,画致画景画清,1
点赞,15分钟前 来自网页    ,0,瑾瑟粲年,0
好棒，可爱，幽默，哈哈,15分钟前 来自网页    ,0,妮妮毛2015,0
哈哈哈哈哈哈不敢亲了，太真实了叭，不过你真的很棒,15分钟前 来自网页    ,0,石头剪刀布剪刀石头布,0
白衣天使 太伟大了！！,16分钟前 来自网页    ,0,海边咸鱼翻了身,0
敬畏职责,16分钟前 来自网页    ,0,熊熊宝贝窝,0
太不容易了！真的佩服,17分钟前 来自网页    ,0,ZiAYAN,0
这话题过不去了是吗？？？虽然很值得称赞，但每次看到那两个字还是觉得很！！！！！！！！幸好我没在吃饭,17分钟前 来自网页    ,0,Ami桃子,0
可爱可敬的好医生！！！祝您和家人平安健康快乐！！！,17分钟前 来自网页    ,0,xiangdehen猫猫,0
墙裂点赞10086次！,18分钟前 来自网页    ,0,徐科科,0
是因为啤酒的颜色吗😂😂,18分钟前 来自网页    ,0,蘋菓樹下,0
不用说，感动中国十大人物之一,18分钟前 来自网页    ,0,某某人的信仰,0
祝您永远幸福,18分钟前 来自网页    ,0,斐紫玉微,0
医者仁心 点赞,18分钟前 来自网页    ,0,风清扬兮1987,0
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死是了,20分钟前 来自网页    ,0,一只不会喝水的鱼啊,0
天呐，这是我常去的那家医院耶,20分钟前 来自网页    ,0,是大大彭啊,0
好可爱呀,20分钟前 来自网页    ,0,一直稀饭啊,0
哈哈啊哈好可爱！！！,20分钟前 来自网页    ,0,今天有点儿丑,0
好可爱,20分钟前 来自网页    ,0,就让往事随风呗,0
我有点懵，到底是张红医生还是肖占祥医生给病人那啥,20分钟前 来自网页    ,0,陈小姐陈陈陈,0
 哈哈哈哈太可爱了吧,21分钟前 来自网页    ,0,那里一只幼稚喵,0
为好医生点赞,21分钟前 来自网页    ,0,用户llrmb0eu6h,0
医者仁心,21分钟前 来自网页    ,0,-佛系小仙女呀-,0
伟大的人,21分钟前 来自网页    ,0,Lucky宝贝的小猪年,0
致敬！,21分钟前 来自网页    ,0,kwesty,0
医者仁心，为你的所做所为致敬，好人一生平安🙏,22分钟前 来自网页    ,0,快乐嘚小蚂蚁,0
 哈哈哈啊哈哈哈哈嗝。太太！,22分钟前 来自网页    ,0,把思念一点一滴画成雨落下,0
太太不敢亲你，那就你亲她啊，笨,22分钟前 来自网页    ,0,你是我等不到的期盼,0
伟大的人,22分钟前 来自网页    ,0,玩偶游戏vivi,0
好人一生平安,23分钟前 来自网页    ,0,花花喜y,0
太太太可爱了,23分钟前 来自网页    ,0,蛇喰yu,0
哈哈哈哈哈，这位医生不光敬业，也很幽默有趣,23分钟前 来自网页    ,0,铅笔草莓仔77,0
好棒的医生啊！,23分钟前 来自网页    ,0,蛇喰yu,0
可钦可佩，坦荡坦然！救人时什么都豁的出去，得奖了且幽他一默，性情中人为医德标杆，真高风，实亮节！给张红医生点赞！,23分钟前 来自网页    ,0,小爷令狐冲,0
哈哈哈，这感言满分,23分钟前 来自网页    ,0,Lacey_Linxi,0
真可爱～,24分钟前 来自网页    ,0,Dobbyha,0
“宝贝 亲额头”,24分钟前 来自网页    ,0,今天我去上自习了吗,0
哈哈哈哈好可爱 ,24分钟前 来自网页    ,0,CherryBoomBoomClap,0
本来心情不好，看到这个觉得好甜,24分钟前 来自网页    ,0,黄黄黄灰呀,0
哈哈,24分钟前 来自网页    ,0,爱吃土豆的小小蚂蚁,0
好可爱啊啊啊啊啊,25分钟前 来自网页    ,0,叫啥呢小号8496,0
为什么乡村医生却没有落实岗位,25分钟前 来自网页    ,0,为韬心动521,0
这发生啥了？,25分钟前 来自网页    ,0,Tallora,0
我太太不敢亲我哈哈哈哈哈哈哈好可爱！！,26分钟前 来自网页    ,0,凡凡的星辰,0
医者是伟大的，给这位医生点赞👍,26分钟前 来自网页    ,0,FF-Live,0
能当上医生的都是当年的学霸，智商情商都厉害的,26分钟前 来自网页    ,0,潮小妞--fashion秀,0
可敬可爱！,26分钟前 来自网页    ,0,苿沭雅缱,0
很可爱啊，我相信太太看到热搜马上就会埋怨为什么要在公共场合这样说我,26分钟前 来自网页    ,0,谁冷暖自知QQ,0
 风默有趣的有才人~,26分钟前 来自网页    ,0,Hot_Maple,0
太太不亲不重要嘛，你亲太太就可以咯,26分钟前 来自网页    ,1,初学--请多指教,0
我的妈呀你真棒,27分钟前 来自网页    ,0,一块儿仙贝,0
飞机上的老人太幸运了,27分钟前 来自网页    ,0,小水mmmi,0
医者仁心！祝您幸福吉祥！,27分钟前 来自网页    ,0,杜仲又叫木绵,0
有趣的灵魂，美丽的心灵，可敬的医生,27分钟前 来自网页    ,0,阿狸小姐Ivory,0
 真人不露相,27分钟前 来自网页    ,1,见闻雨声潺潺,0
大叔真幽默,28分钟前 来自网页    ,0,小梁心想事成2019,0
可爱，医生，我想给您寄花,28分钟前 来自网页    ,0,有意思的郭编辑,0
为什么没给你钱呢,28分钟前 来自网页    ,0,限量爱情1314,0
真正的医者 ,28分钟前 来自网页    ,0,zll光阴似箭,0
英雄的事迹就得好好宣扬！每一位评论者或者是浏览到此微博的博主们，试问假如哪天你的亲人在突发病危之时，是否也希望能有如此大义仁心的医者救治呢？所以，朋友们点赞吧！,29分钟前 来自网页    ,0,涛B子神奇号,0
感谢您！！！！！,29分钟前 来自网页    ,1,青君入瓮,0
太伟大了！,29分钟前 来自网页    ,0,攒糖纸小姐姐,0
天天报道人吸尿 不报道香港 真是浪费资源,29分钟前 来自网页    ,0,徐州股神,0
好大夫，医德医术好，人也风趣幽默，致敬！,29分钟前 来自网页    ,0,MAM201518,0
好多新闻都让人感到恶魔在身边，因为有您才发现天使也在人间！,29分钟前 来自网页    ,0,HelloMissAlice,0
朴实温暖真诚的人儿,29分钟前 来自网页    ,1,怪咖_最大咖,0
这样的人真的会永远幸福的呀,30分钟前 来自网页    ,3,52赫兹的鲸孩子,0
这个医生真好,30分钟前 来自网页    ,0,Winnieioi,0
医者仁心，大爱无疆,30分钟前 来自网页    ,0,Missun118,0
哈哈哈哈好可爱,30分钟前 来自网页    ,0,今天调色盘是什么色呢,0
好实在的获奖感言，幽默又有医德的好医生,31分钟前 来自网页    ,0,蔡咻咻咻咻Qing,0
如果高以翔晕倒时遇到这样的医生多好,31分钟前 来自网页    ,0,Hejin_DoReiMi,0
伟大出自平凡,31分钟前 来自网页    ,0,小芒果影像工作室,0
真棒,32分钟前 来自网页    ,1,你的Superhero201808,0
平凡又伟大,32分钟前 来自网页    ,0,甜妞是韩庚的影迷,0
真的不想看见这个新闻了 标题看的尴尬,32分钟前 来自网页    ,1,25岁悲惨少男,0
太幽默了,32分钟前 来自网页    ,0,想不出来名字22,0
行了吧   再上热搜就要被骂了,32分钟前 来自网页    ,0,黃金脆皮鳮,0
你看，还挺幽默,33分钟前 来自网页    ,1,弥尔大哥,0
希望医生可以继续加油，救治更多的人,33分钟前 来自网页    ,0,Westlife0713,0
这位医生好可爱呀！,33分钟前 来自网页    ,0,夏影XiaYing495,0
伟大的医生 希望未来你们一家人都安好,33分钟前 来自网页    ,0,桐子大晴晴,0
中国好医生,34分钟前 来自网页    ,0,漫舞的蜗牛_779_592,0
白衣天使，致敬[加油],34分钟前 来自网页    ,0,默默心萌,0
哈哈,34分钟前 来自网页    ,0,滁州零距离,0
我居然是在这种热搜上看到母校的名字的,34分钟前 来自网页    ,0,小米啦啦啦123,0
这个态度更令人敬佩 ,35分钟前 来自网页    ,0,只对你Sa嬌,0
好医生👍好医生👍,35分钟前 来自网页    ,0,小季同学X,0
太太不亲你了可还行？！哈哈哈哈哈哈哈,35分钟前 来自网页    ,0,萏缃,0
太幽默了,35分钟前 来自网页    ,0,s875543934,0
如果你在高以翔的身旁就好,36分钟前 来自网页    ,0,猴子大王o,0
越好的啤酒不敢喝？？？尿是这个味吗,36分钟前 来自网页    ,0,岁岁长相见ing,0
哈哈，调皮可爱,36分钟前 来自网页    ,0,T-oooooooooo,0
好暖心，真好的人，一定会平安长寿的，祝福您,36分钟前 来自网页    ,0,吃黄瓜土豆就是幸福,0
真的不普通的事，因为你太太不知你还做了啥神操作，哈哈哈,37分钟前 来自网页    ,0,一个逗逼叔叔,0
完美男神,37分钟前 来自网页    ,0,睡不着的小粟子,0
可爱,37分钟前 来自网页    ,0,保佑我吖,0
哈哈哈哈！感觉临床上的老师们各个都是段子手,38分钟前 来自网页    ,0,聿然1998,0
哈哈优秀；,38分钟前 来自网页    ,0,法律化身小分队,0
好人，好医生！,38分钟前 来自网页    ,0,凤凰涅槃--绽放的生命,0
平凡的人也是藏着巨大能量的人啊！,38分钟前 来自网页    ,0,_考拉甜心_,0
太敬业了,38分钟前 来自网页    ,0,瘋子麗,0
太真实了吧，哈哈哈哈哈,38分钟前 来自网页    ,0,子不语我不语的蜗牛,0
长命百岁必须的,38分钟前 来自网页    ,0,5709603093随心,0
这才是医德仁心，社会上太需要这种好医生了，为你点赞,39分钟前 来自网页    ,0,snnelena,0
医者仁心,39分钟前 来自网页    ,0,通通全忘掉,0
哈哈哈哈，好幽默的医生👨🏻⚕️,39分钟前 来自网页    ,0,庄大院子吖,0
风趣幽默又善良，天哪,39分钟前 来自网页    ,0,璘公子_4th,0
越好的啤酒越不敢喝了？？？？难道尿一股啤酒味儿？？,40分钟前 来自网页    ,1,景瑜小,0
为啥好啤酒不敢喝了,40分钟前 来自网页    ,0,BBahjan88,0
哈哈哈真幽默,40分钟前 来自网页    ,0,智敏肉肉的女生19年暴富脱单,0
这就是个伟大的英雄！,41分钟前 来自网页    ,0,护城河边打野炮,0
哈哈哈，可爱的医生,41分钟前 来自网页    ,0,红姐2019201905,0
您是最可爱的人,41分钟前 来自网页    ,0,令人发狂的MS,0
医者仁心！别说做戏那种说法了？谁愿意啊！！！都是为了救人,41分钟前 来自网页    ,0,人人都爱Katherine,0
太可爱了 医者仁心 点赞,41分钟前 来自网页    ,0,杉菜姐姐,0
夸！！！,42分钟前 来自网页    ,0,FX-O599,0
啊哈哈哈哈可爱就极了,42分钟前 来自网页    ,0,妳彆說話妳,0
嘻嘻嘻好恩爱  老夫老妻还亲亲，说明了肯定也是一个好男人！,42分钟前 来自网页    ,0,爱吃还爱美,0
好可爱啊，发现真的是，本事越大的人，脾气越好,42分钟前 来自网页    ,0,酷酷的女侠关,0
哈哈哈哈笑死我了,42分钟前 来自网页    ,1,iBingo,0
太太不想亲你了，广大人民群众想亲你,42分钟前 来自网页    ,0,反爱狗者联盟盟主,0
好可爱的医生啊,42分钟前 来自网页    ,0,小满201507,0
 好可爱哈哈哈哈哈哈哈哈,43分钟前 来自网页    ,0,咸咸海的味啊,0
为坚守医生本职的张医生点赞,43分钟前 来自网页    ,0,火柴天堂1802,0
哈哈哈哈哈，好有风趣,43分钟前 来自网页    ,0,neoy黑粉头子,0
好人,43分钟前 来自网页    ,0,冷枫ii,0
好医生,43分钟前 来自网页    ,0,肆月吉吉,0
愿您这样医德高尚的好医生事事顺遂，全家安康,43分钟前 来自网页    ,0,请叫我lucky顺顺,0
啊啊啊好可爱☺,43分钟前 来自网页    ,1,寻倌y,0
医者仁心 一生平安,44分钟前 来自网页    ,0,宇宙无敌女战士Girl,0
越好的啤酒………哈哈哈,44分钟前 来自网页    ,0,平生二三事,0
支持正能量,44分钟前 来自网页    ,0,哥们儿17669,0
没事儿 可以换个太太,44分钟前 来自网页    ,0,ymopeh,0
可爱斯啦,45分钟前 来自网页    ,0,云淡淡风轻轻6,0
真的特别棒！各行各业的英雄都是这样朴实却又光芒万丈的。,45分钟前 来自网页    ,0,我就是i音乐_,0
优秀又幽默的医生,45分钟前 来自网页    ,0,第一百零一次撞击,0
医者仁心,45分钟前 来自网页    ,1,张继续,0
张医生好人一生平安幸福呀,45分钟前 来自网页    ,0,哈喽嗨嘿吼耶呀,0
谢谢您了,46分钟前 来自网页    ,0,入鹿心,0
看着真的很感动，平凡人,46分钟前 来自网页    ,0,堂本爱子aiko,0
上帝祝福你，一生平安,46分钟前 来自网页    ,0,乐其乐,0
 哈哈哈哈哈有意思,46分钟前 来自网页    ,0,Taliwww_,0
好医生,46分钟前 来自网页    ,0,玉洁FUTURE宗嗳,0
可爱，有爱，负责任的医生,46分钟前 来自网页    ,0,彼岸0504,0
太太:我可太难了,46分钟前 来自网页    ,1,小毛驴打铁,0
张医生有点像王岳伦,47分钟前 来自网页    ,0,ido02226,0
医生真的   有的人难受是自己不去看   能救就救   不能救就别救   不要这么对你自己,47分钟前 来自网页    ,0,培培土亞,0
天呐，怎么会有这么可爱的人，您才是我们国家的星⭐ 点赞,47分钟前 来自网页    ,0,总是骄傲却频繁自嘲,0
有内味儿了,47分钟前 来自网页    ,0,看戏2000,0
医生好可爱，该上班上班，回归平淡，三观很正。,47分钟前 来自网页    ,0,XPHJP,0
一辈子幸福平安的,47分钟前 来自网页    ,0,无心法师nono,0
真实，实在人,48分钟前 来自网页    ,1,扫眉才子笔玲珑,0
好了，大家别再说了,48分钟前 来自网页    ,0,嗯嗯超可爱,0
为这位医生点赞,48分钟前 来自网页    ,0,妤妤w,0
哈哈哈哈太可爱了,48分钟前 来自网页    ,0,吃不醉的jiu菜_,0
 可爱又伟大,49分钟前 来自网页    ,0,锦鲤哩小橙子,0
为优秀的医生点赞,49分钟前 来自网页    ,0,裘芙芙,0
棒棒哒，太优秀了，真的，希望多报道一些，医患关系好的，这样也利于社会发展,49分钟前 来自网页    ,0,雪中蔷薇5981966861,0
为医生点赞,49分钟前 来自网页    ,0,十一从小就是一,0
哈哈哈，好可爱的医生！为你点赞👍！好人一生平安！,50分钟前 来自网页    ,0,Eleven_Wei,0
这位医生看着就非常慈祥！！！爱你！！！希望你长生不老，家人幸福健康,51分钟前 来自网页    ,0,锦鲤之生,0
好医生长命百岁,51分钟前 来自网页    ,0,玉刺客,0
又帅。又善良。医德高尚还这么幽默。,51分钟前 来自网页    ,3,天涯若比邻de,0
这不是就吸进管里 吸到半路就放出来嘛…… 然后再一次,51分钟前 来自网页    ,1,温柔可爱聪慧纯洁活泼善良就是我,0
哈哈哈 希望他的太太看见这条新闻可以亲亲他 ,51分钟前 来自网页    ,0,n南来北往N,0
哈哈，好可爱,51分钟前 来自网页    ,0,暖色调的零碎记忆,0
太可爱了,51分钟前 来自网页    ,1,211的dongdong,0
祝您一生平安喜乐,52分钟前 来自网页    ,1,往事随风去6689,0
您配得上医者仁心这四个字，祝您一生平安。,52分钟前 来自网页    ,1,叶一片片201706,0
哈哈哈哈哈哈哈哈哈哈 幸福又可爱,52分钟前 来自网页    ,2,这用户就是草某九,0
 太太不敢亲我了,52分钟前 来自网页    ,1,呉苏木,0
哈哈哈好可爱,52分钟前 来自网页    ,0,是倩妹儿吖,0
天使,52分钟前 来自网页    ,0,CCccjoanna,0
这才是真正的有医德的好医生，祝福好人一生平安幸福安康,53分钟前 来自网页    ,4,媺煜,0
医者仁心,53分钟前 来自网页    ,0,白桃乌龙海盐奶盖茶0823,0
哈哈哈哈哈哈哈，医生您好人一生平安哦！,53分钟前 来自网页    ,0,我是皮皮虾奶奶,0
卧槽这是段子手啊,54分钟前 来自网页    ,0,_没毛病_慢慢,0
没事 我来亲你,54分钟前 来自网页    ,0,盼石归,0
愿医院多一点你这样尽职的医生，多一点你这样有医德和仁心的医生,54分钟前 来自网页    ,0,WANG七七呀,0
什么叫人不可貌相！说真的，我一开始看觉得这名医生长的有点凶，但是没想到这么无私这么友爱,54分钟前 来自网页    ,3,屁儿睡醒了,0
互粉,54分钟前 来自网页    ,0,CrazyHutagoza,0
