comment,date,support_number,user
留下星座➕生日，相同的可以互相认识一下,今天 17:20 来自网页,151,笙南
如果可以选一位爱豆做同桌，你会选谁？,今天 18:38 来自网页,204,笙南
热闹是他们的，我什么都没有。,今天 17:15 来自网页,5406,一罐微甜
没我的世界似乎格外热闹//,1分钟前 来自网页    ,0,XUE_梦笑
独自一人拉行李回宿舍的时候,1分钟前 来自网页    ,0,Va-iqiong
王嘉尔带我进斯坦福叭！！！！！//,1分钟前 来自网页    ,0,kkkkkinda
大概是宿舍有五个人 她们都两个两个互相唠嗑 只有我一个人在中间,1分钟前 来自网页    ,0,卉罗与枚兔
大概就是大晚上的一个人走那么远抱着三个超重的快递，回宿舍宿管还关门了，进去要把手中的东西放下签个字，然后再次拿起来爬五楼，还下着雨，冻的我要离开这个美丽的世界了,1分钟前 来自网页    ,1,奚雨安璇
大概就是大晚上的一个人走那么远抱着三个超重的快递，回宿舍宿管还关门了，进去要把手中的东西放下签个字，然后再次拿起来爬五楼，还下着雨，冻的我要离开这个美丽的世界了,1分钟前 来自网页    ,1,奚雨安璇
大学第一年自己过十八岁生日,1分钟前 来自网页    ,0,皆散雾霭中
最孤独的莫过于，得了重度抑郁症重度焦虑症拿到了结果，室友说看看检查报告笑着说  我去搞不好也是这个结果，然后大口吃着零食跟父母唠家常啦吧。然后我一个人默默地流泪。,1分钟前 来自网页    ,0,求你莫挨酪资
冬天晚上一个人去开水房提热水的时候,1分钟前 来自网页    ,0,我不是绿毛水怪
冬天晚上一个人去开水房提热水的时候,1分钟前 来自网页    ,0,我不是绿毛水怪
吃不了火锅,2分钟前 来自网页    ,0,慕慕粑粑哈
毕业搬东西那天 我最后一个搬,2分钟前 来自网页    ,0,迪宝宝是好宝宝
我的室友都很好我很庆幸,2分钟前 来自网页    ,0,肉沫甜菜花
去阳台不关门 不仅孤独还冷,2分钟前 来自网页    ,0,XI_HUgoo
跨年那天大家都出去了，我一个人在寝室,2分钟前 来自网页    ,0,奶了个酪_
跨年那天大家都出去了，我一个人在寝室,2分钟前 来自网页    ,0,奶了个酪_
生病的时候，一个人去医院，一个人排队抽血，一个人拍片，一个人买药然后只能和爸妈发发微信说说医院的全过程和没什么大问题，吃点药就好，同学舍友没有一个关心的，还嫌弃你半夜咳嗽太吵,3分钟前 来自网页    ,0,唐胖胖哦
