comment,date,support_number,user,hateful
真的是醉了 健康最重要好吧 ,57分钟前 来自网页,78,萘熠火火,0
她也只是说个人观点呀，而且她贷款一百万留学，到现在工作还在还债，这种压力促使她不能停止自己的步伐，就连参加奇葩说也为了来赚取更多的通告费……这样努力的人有什么错？,36分钟前 来自网页,179,康康如此暴躁,0
就不怕猝死吗，健康也是很重要的好吧 ,56分钟前 来自网页,46,数字2865,0
这博主就是恶心,1分钟前 来自网页    ,0,今天也想买可乐_,0
健康最大！！没有一个好的身体啥都是没有用的 ,1分钟前 来自网页    ,1,猫间喵喵酱,0
这是辩论赛啊,1分钟前 来自网页    ,1,我是张小黑hh,0
这只是辩论好吗，别蹭热度，要点脸,1分钟前 来自网页    ,0,努力建设社会主义的丝言,0
不敢停止工作。又不是熬夜工作。打辩论而已，说对己方有利的观点很正常啊,1分钟前 来自网页    ,0,旺小呆-,0
你他妈要点脸可不可以？为了蹭热度断章取义,1分钟前 来自网页    ,0,ses0n,0
人家说不停止工作，又不是不睡觉，而且人家的工作只是朝九晚五又不是通宵,1分钟前 来自网页    ,0,卿卿卿卿--SS,0
这个博主很明显蹭热度好嘛？截图里面的信息跟他所打出来的文字都不相符 有没有脑子啊？,1分钟前 来自网页    ,0,今天也想买可乐_,0
这只是个辩论 她拿到正方只能这样说呀。。,1分钟前 来自网页    ,0,很饿的喵呜酱,0
断章取义有意思？,1分钟前 来自网页    ,0,人言小口木木木,0
你能不能不要断章取义？人家辩论的话题根本不一样！乱带节奏的你真的是原罪,1分钟前 来自网页    ,0,蓦然走过别停留,0
詹青云就别喷她了,1分钟前 来自网页    ,0,Iris微笑进行时,0
可人家是在反对这种论点啊，没看过就喷，真无脑，回家睡吧，当什么键盘侠。,2分钟前 来自网页    ,0,AN-海豚,0
怎么说呢，我也不想累，我也想珍惜生命朝九晚五，生活工作分明。但是房价生活压力折合成数字总会在我休息的时间钻进我的脑海，让我用工作麻痹自己,2分钟前 来自网页    ,0,冀狮子是狮子座,0
这是第几期啊，都多少天前的奇葩说了，在猝死之前好吗？不要混淆这个时间，谢谢,2分钟前 来自网页    ,0,易木可人,0
哦吼，又开始断章取意了，好好看节目了么，再说了是上上个星期的辩论了，为了黑而黑，真有劲,2分钟前 来自网页    ,0,hin渣hin渣的颜狗,0
做为一个媒体人希望你能客观一点，不要主观意识强烈的混淆视听，借时事蹭热度没毛病，但是请客观！键盘侠真的可怕！,2分钟前 来自网页    ,0,Jason小路,0
这是辩论赛好吧，没有正反方还辩个p，这个都是多久前录好的了，昨天之前不是都还在歌颂艺人敬业的吗？尊重一下人家，人家这是打辩论，不是现实，现实中谁不惜命。,2分钟前 来自网页    ,0,Rita瓜Arya豆,0
你有毒吧 抠字眼,2分钟前 来自网页    ,0,Veno17,0
不止上班，上学也差不多，虽然天天喊着不想去，但是差了一天两天还是会心慌,2分钟前 来自网页    ,0,秋茶_清光love,0
死营销号，这跟蓝台热搜有毛关系？,2分钟前 来自网页    ,0,哎哟bu错o,0
个人的选择不一样，有人对未来的不确定就是需要靠努力工作去获得安心。这有什么好不能理解的么？,3分钟前 来自网页    ,0,每天都很无聊的sir丶,0
谁不想享受生活呢，谁又不是为了生活呢？,3分钟前 来自网页    ,0,死不了飞,0
她说的不停的工作不是没日没夜的工作，不要过分解读,3分钟前 来自网页    ,0,寻常的人儿依旧_,0
营销号biss个🐴,3分钟前 来自网页    ,0,四舍五入铁分奴,0
???脑子有锤???这是辩论啊,3分钟前 来自网页    ,0,绡落_caroline,0
这是辩手在辩论啊，无语，不然要说啥？,3分钟前 来自网页    ,0,水曜日0517,0
不要站在上帝视角看问题，即便是娱乐性质的辩论也是有持方的，为了自己的持方想论点而已，而且录节目的时候也没出这样子的事情吧？,4分钟前 来自网页    ,0,Auste之行,0
2019年11月27日晚 浙江卫视《追我吧》节目组在录制节目时  因制造节目效果耽误对艺人高以翔先生的及时救治 错过了最佳治疗时间  导致高以翔先生猝死  已造成刑事责任  请彻查整个事件过程  追究刑事责任  谢谢,4分钟前 来自网页    ,1,滕紫颖,0
这是辩论，好吗，一样吗。。就事论事。,4分钟前 来自网页    ,0,二星成,0
1.早就录了好嘛…2.早就播了好嘛…,4分钟前 来自网页    ,0,夕之于岚,0
辩论叫辩论 你不支持非得让大家不支持才是？ 大家各抒己见好吗,4分钟前 来自网页    ,1,咕咕咕顾辞安,0
这也有能杠？,4分钟前 来自网页    ,0,SaltyFishxj,0
哇靠！你这样不太好吧，这期播出时还没发生追我吧事故好吗,4分钟前 来自网页    ,1,萌子我们不要长大,0
这是尬黑吗,4分钟前 来自网页    ,0,一只怼怼汪,0
你们有毒吧！阿詹说这段的时候是有辩题的，她表达的是辩题范围内的辩论，不是说不要健康。请学会善良!,4分钟前 来自网页    ,0,漠本,0
你好像有病！这是辩论好么！？辩论懂么？在奇葩说他们没有选择持方的权利！你有什么无语的？你无语怎么讲出来你的论点来反驳？客观一点好么？,4分钟前 来自网页    ,0,Jason小路,0
这是之前的节目好吗，还没发生这起事情呢,5分钟前 来自网页    ,0,虎妞会飞的猪5366,0
他的观点对 是不能停下来 但是不应该说在这时候 他刚去世 就说这种话 会觉得有点缺心眼,5分钟前 来自网页    ,0,whenever-YHX,0
健康最重要！健健康康瘦了二十斤为自己骄傲,5分钟前 来自网页    ,1,爱吃肉肉的栗子,0
人家打这场辩论的时候还没有你说的“艺人离开人世”的事呢，而且辩论只是立场观点，有什么好挑出来说的，你这热度也蹭得太恶心了吧，,5分钟前 来自网页    ,1,Ladywen_,0
这只是辩论好吧，她要为她的立场辩解啊，但是不代表她真的这么想吧,6分钟前 来自网页    ,0,-LOEstherVE-,0
有病吧，现在翻出来有意思吗？人家青云无辜躺枪,6分钟前 来自网页    ,0,飞向月空的猪,0
说为了健康不工作的，怕是都还没经济独立养自己吧,6分钟前 来自网页    ,0,执着圆白菜,0
可能她觉得自己都身心的很健康,6分钟前 来自网页    ,0,SM1LEQUEEN,0
不敢停止工作不是指一天24小时都在工作,7分钟前 来自网页    ,0,吃薯藤的猪,0
你们都看不懂吗？人家詹青云说的意思是因为要生活要对抗高昂的房价、昂贵的医疗成本、日益增加的生活花费，我们不工作如何继续生活下去。我们没有家的人要不要买房，买房的要不要还贷款，要不要结婚要不要养孩子，要不要承担起父母的赡养义务。这些压力迫使你不能停下来，不是不要健康,8分钟前 来自网页    ,0,屹然头上霜,0
不要断章取义,8分钟前 来自网页    ,2,小品想要大大的幸福,0
我就想问一个事，从奇葩说开播，詹的通稿是不是太多了也太密了。捧选手还是捧节目？真是有点看闹心了(~_~;)，邱晨很强也没这样啊。颜如晶也强也不这样啊，怎么她今年就突然香饽饽了。奇葩说没人了吗？,9分钟前 来自网页    ,0,ayu习习,0
人家说一天不敢停止工作 又不是一分钟不敢停止工作 注意每天的工作强度就好了呀 难道你可以为了健康不工作吗 再说不工作就可以健康吗,10分钟前 来自网页    ,0,Deyita,0
求原图😂😂😂😂,10分钟前 来自网页    ,0,如阳光--,0
没看节目不要bb，这个是奇葩说上一周的视频了，现在拿出来断章取义，那时候Godfrey还没参加录制节目,11分钟前 来自网页    ,1,LaceyRX,0
别乱带节奏，断章取义,12分钟前 来自网页    ,1,W晨艺的小野兽,0
评论是有鬼？这是早期的辩论节目各位大哥，而且阿詹也说了一天都不敢不健康,13分钟前 来自网页    ,0,想灰的Monkey,0
这个时代在拼搏的年轻人都很不容易，事情不是你想停就能任性的停下来的,13分钟前 来自网页    ,0,花花的流年,0
虽不断告诉自己 健康是最重要的，但她说的却道出了我最深的心声！,14分钟前 来自网页    ,0,瞳孔的微光,0
？本来是不支持精致穷啊，不支持过度消费过度透支。,15分钟前 来自网页    ,0,在下紫薯菌,0
为什么断章取义？,16分钟前 来自网页    ,0,x学习雷锋好榜样,0
你怕是个傻子，你看了这期完整的奇葩说吗…,16分钟前 来自网页    ,0,于祺i,0
那这个尬黑有意思么？那是为了辩论而立论，又不代表真正的观点，你这样凑热度真的无耻！,17分钟前 来自网页    ,0,秦嘉双子,0
这期奇葩说很早之前录的好吗！,18分钟前 来自网页    ,0,夏目栗ing,0
要是停止了工作就活不下去呢，没饭吃呢，人家哪里说错了,19分钟前 来自网页    ,0,阳MAX122,0
可是，很戳我心,20分钟前 来自网页    ,0,凉凉凉凉梁xq,0
只是一个辩论的论点而已没必要攻击吧！,20分钟前 来自网页    ,0,兔兔唬唬,0
这是好久以前的一期了好吗？博人眼球真卑鄙,20分钟前 来自网页    ,0,Crazypizza_,0
能不能长点脑子别搞得像是义务教育没普及到的好吧，什么叫辩论，任何一个观点拿到就要说，哪怕你不认同你也要完成这个观点，带名字搞屁？？你TMD现在不在拿钱工作，号召别人不工作，干嘛，你想搞反动搞罢工啊？,20分钟前 来自网页    ,0,Dokia-,0
她是真的穷过，她好像是贵州人，是不是农村我不记得了，反正家里在很穷，她想努力读书走出去，当时借100万读了哈佛，人穷过才更想变有钱。,21分钟前 来自网页    ,0,桃子君是个中年老人,0
不要带节奏，这是一个月之前的了，要不要精致穷，打许吉如那一场。当事人用自己举例因为她出国留学借了一百多万。质疑辩题和论点是一回事，借题发挥带节奏不赞成。谢谢。,22分钟前 来自网页    ,9,是你的大媛子呀,0
这个是在高以翔出事之前说的，不过是辩论赛，自己的人生自己掌握，你不要乱带节奏,22分钟前 来自网页    ,1,开心奋斗的宏,0
这是很早之前的节目了吧？？？断章取义？？？阿詹都有人黑了？？,23分钟前 来自网页    ,0,蜜汁喜欢酸奶,0
这位博主的断章取义令我佩服，想蹭话题热度也不是这么蹭的，詹青云真tm躺着也中枪🖕,24分钟前 来自网页    ,1,江九六,0
