comment,date,support_number,user,hateful
很多人都进不去，还有人进去了不珍惜，让人唏嘘不已。。,今天 07:43 来自网页,6086,一只猪蹄丶,0
学校该清退清退没毛病，但人各有志不必奚落人家。,今天 07:47 来自网页,3880,半瓶子醋的知道分子,0
想通了，活明白了，就不念了,今天 07:43 来自网页,2287,我的狗狗叫土豆,0
微博人均985C9又来了,1分钟前 来自网页    ,1,Madrid笙歌,0
笑哭，，，别的明星、官员、老板，成绩再大，出轨、家暴、包小三，立马崩塌滚蛋，，，但扬天真我有点成绩，我可以发自己和呕杨哪哪的 热水瓶，我扬天真漏洞是专业的，还卫生巾贴脸上，发这些是我最快乐的事！！！！！！！！！扬兲真，我有点成绩，所有我不工作，专业发下流色情信息鳋扰，滚蛋 坐牢！,1分钟前 来自网页    ,0,画致画清画致景,1
被热水瓶 扬天真 大黑洞，逗笑了，，，我扬兲真有点成绩，怎么我和仟洗被行业列入黑名单了，我只不过发下流色情信息，，，我捧着三矮孩，是为显本事，让高大帅哥喜欢，这对三毛孩是极大讽刺，我好鳋！！！！！！！！！扬天真，我有点成绩发，我不懂你 还爱你，鳋扰高大帅哥，，，被骂，拿宇宇挡枪。,2分钟前 来自网页    ,0,画致画清画致景,1
一个个真酸啊，211是国家给的，外省考进来的哪个不是过了重本线的，一个个在这说什么呐？你考进来再说啊！,2分钟前 来自网页    ,0,我可能拜了个假师父,0
为社会做贡献去了,3分钟前 来自网页    ,0,昵称名叫番茄,0
不要酸了好吗,4分钟前 来自网页    ,0,MnO2222,0
我们的小破学校只有我们自己能骂，别人不配，别在那秀优越感了,4分钟前 来自网页    ,2,pureW7,0
双非看评论瑟瑟发抖，这要是我大学上热搜了还不得被喷惨了？比如什么“211都不是的一末流一本＝没上大学”哈哈哈啊哈哈哈哈哈哈,4分钟前 来自网页    ,0,白大帅不想学习的日常,0
话说研究生的确考进去不容易，顺利毕业更不容易，同情这些被清退的，谁考进去不想毕业啊？都是无奈，真的没有办法顺利毕业，太难了,4分钟前 来自网页    ,0,Utopia-LSC,0
虽说不至于像国考那么难 但是考研也不是很简单啊 怎么考上了还不珍惜呢,5分钟前 来自网页    ,0,jungho0809,0
身体熬坏了，也有点抑郁，然后给导师说想换导师，直接被导师单方面退学，给他没有任何解释机会，打电话也挂掉,5分钟前 来自网页    ,1,海贝拾遗,0
有的人得不到就酸 酸了也不承认自己酸 还非要说自己看不上 好可怜 没觉得上211有多骄傲 但是自己的选择就是最好的 自己的学校也用不着别人来诋毁 既然国家政策规定也不可能仅因少数民族 延大双一流学科有很多 朝鲜语 和临床医学都很厉害 不要自己无知 还信口开河,5分钟前 来自网页    ,0,Paigeay,0
有一说一 05 06年考研究生不是挺容易的吗..不像现在每年都要增加50万考生 名额又没变,5分钟前 来自网页    ,0,17岁往事,0
都是联系不上的，那就不是清退，那是人家主动辍学。。,5分钟前 来自网页    ,1,科技粒子,0
有政策的都是少数民族或者预科班，还占少数，关我们这些外省五六百分几把事儿,6分钟前 来自网页    ,0,别扒拉我行不,0
高考的时候最想考去东北的延边 最后来到了长沙,6分钟前 来自网页    ,0,Leocardia-Yan,0
 坚持住,6分钟前 来自网页    ,0,杀千刀的扁桃体,0
想上的上不了，不想上的就作死吧,6分钟前 来自网页    ,0,花哥撩妹,0
跑路去韩国了,7分钟前 来自网页    ,0,幻梦惜源,0
15年孩子都上高中了,7分钟前 来自网页    ,0,矮大紧2015,0
也有导师为了能给他干活，不让毕业的,8分钟前 来自网页    ,0,桃园的守望者,0
厉害,8分钟前 来自网页    ,0,左左璐Super璐,0
什么情况啊,8分钟前 来自网页    ,0,久孤_vkp,0
延大因为这样的事让热搜,8分钟前 来自网页    ,0,别把我刘海弄乱了,0
15年都没有毕业，在学校里面当老油条呢,8分钟前 来自网页    ,0,dzzlk,0
入学15年没毕业，wok,9分钟前 来自网页    ,0,叶书仪啦,0
没想到母校这样上了热搜,9分钟前 来自网页    ,0,珏琪我老婆,0
能不能不要有嘴就叭叭，别喷延大的学术，延大211也不全是民族政策，延大当年评211时候，因为延大有很多老师是韩国或者日本的一流大学留学回来教的，就拿我们日语系来讲我的班主任就是一桥大学的，当年也是靠着这些进的211，也是有实力的,10分钟前 来自网页    ,2,酉十三,0
我觉得是不是还有一些导师不给过的？,10分钟前 来自网页    ,0,是星光呀0415,0
 我开始担心自己,11分钟前 来自网页    ,0,ooooooooo亚,0
我们那边招聘，有些公司要求211(延边大学除外),12分钟前 来自网页    ,0,呆萌Demon,0
占着茅坑不拉屎,12分钟前 来自网页    ,0,天山木火,0
学校这样是不是太武断了，学生联系不上不一定是不想去，说不定只是单纯的死了,12分钟前 来自网页    ,0,ehshssjwjjsnsj,0
延大朝鲜语专业全国排名第一，没有600分进不去。了解一下谢谢,12分钟前 来自网页    ,0,Li小喵喵-,0
我的母校因为这个上热搜，上一次热搜好像是因为校园关闭出入大门，我记得我们还是翻大门出去呢,13分钟前 来自网页    ,0,张知识啊,0
评论里带辽宁大学的是眼瞎吗？？跟辽大有什么关系，点进去双非本二什么时候轮到你发言了？？辽大经济在读我们班平均985分但是因为专业选择来了这里，有本事自己考，我觉得辽大配得上我，同理，延边大学还是有大神存在，你说政策性照顾可是为什么就是照顾不到你头上呢,13分钟前 来自网页    ,3,是X家的保温杯,0
延大再不好你们也进不来，也不知道都上的啥牛逼学校瞧不起211，这么垃圾一个学校你都考不上，你得有多废？？,13分钟前 来自网页    ,0,Mandarine-,0
微博人均学历985了吧，酸延大的你们了解延大么，看不上麻烦别考就行，延大没求着你来,14分钟前 来自网页    ,0,美少女壮士-LYW,0
去年考研好像泄题了,14分钟前 来自网页    ,0,吉台gattoi,0
非全日制国家也认，为啥全去考试，多累,15分钟前 来自网页    ,0,小孤僻胡,0
今年考延大的研究生 希望顺利上岸,16分钟前 来自网页    ,1,W小小只呀,0
毕竟网友百分之九十没上过大学的统计不是闹着玩的,16分钟前 来自网页    ,0,那些年班里彪哥,0
这么做我觉得合理，纠结于学校如何怕是搞错了重点,17分钟前 来自网页    ,0,绝世美呸,0
考上之后发现还是头发重要，就中途跑路了,17分钟前 来自网页    ,0,吃货二点零,0
你们学历真高，我都不敢评论了,17分钟前 来自网页    ,0,独钓寒江雪吖i,0
woc，无语了，真不知道有些喷子为什么能够通过延大清退学生这一事件，上升到骂学校，骂朝族人，最后直接人身攻击的。自以为了不起么？,17分钟前 来自网页    ,1,敏儿LAKE,0
我们学校上热搜了？？？居然还是因为好事？？？,17分钟前 来自网页    ,0,想立flag的小A,0
政策下的211学校，没啥能力,18分钟前 来自网页    ,0,苏彦丁,0
我的天。。。入学15年,18分钟前 来自网页    ,0,327Genesis,0
