comment,date,support_number,user
没关系，我就是故意泄漏的（图片来自迪拜七星级酒店vvip海景房）,今天 14:25 来自网页,13984,今天的晚安呢
专家多虑了,今天 15:21 来自网页,10711,每日沙雕gif
在中国，所有用户都要乖乖同意APP获取隐私才能用，以前不用的，不知道为什么现在都是强制的了。,今天 14:43 来自网页,6108,张_小_尘
早没了好嘛~拒绝获取地理信息就给劳资滚，什么时候同意了什么时候再来,2分钟前 来自网页    ,0,绿竹叶素
关键是我发了位置也没人要看,2分钟前 来自网页    ,0,轻风拂过happy
谁会这么用心去查这些啊,2分钟前 来自网页    ,0,病是晓雙
谁会发原图哈哈哈,4分钟前 来自网页    ,1,我姓仙叫仙女8
关键有的时候不发原图做出来东西不清楚呀,4分钟前 来自网页    ,0,咪路殿下·
在闲鱼买东西被诱惑到第三方支付，聊天记录都在，请问一下大家怎么维权,5分钟前 来自网页    ,0,秀儿姐姐哟
原来我们还有隐私？感谢砖家,7分钟前 来自网页    ,0,有趣的零珲
微博黑微信，哈哈哈,7分钟前 来自网页    ,0,look少年
我的信息从未得到保障，我还怕多个途径泄露吗？,7分钟前 来自网页    ,0,7号足球少年-L
泄漏又如何，我特么想让人知道我在哪儿的时候，就最好人家知道。不想的时候，我连照片都不会拍,8分钟前 来自网页    ,0,-XxxxF-
泄漏又如何，我特么想让人知道我在哪儿的时候，就最好人家知道。不想的时候，我连照片都不会拍,8分钟前 来自网页    ,0,-XxxxF-
我们还有自己的隐私吗,8分钟前 来自网页    ,0,IWPG不二
哦豁，不过无所谓啦,8分钟前 来自网页    ,0,_Angela_NG516
其实不管用什么发原图都会暴露地址信息呀，微博你上传没处理过的原图保存后也可以看到,8分钟前 来自网页    ,0,正在学习发光的小星星yooooo
我的位置澳大利亚新开的水家酒店，就是那个，人在做鱼在看的那个酒店,8分钟前 来自网页    ,0,Chencuired
找吧 ,8分钟前 来自网页    ,0,徐浩文-
都是小人物，泄漏了位置也不会有人搭理我,8分钟前 来自网页    ,0,吃什么肉H
找吧 ,8分钟前 来自网页    ,0,徐浩文-
都是小人物，泄漏了位置也不会有人搭理我,9分钟前 来自网页    ,0,吃什么肉H
知道了能怎么滴 我的朋友都知道我在哪,9分钟前 来自网页    ,0,shannuann
有的人朋友圈就是喜欢发位置和原图啊,9分钟前 来自网页    ,0,没有玩了1111
这个我有感触！一天我给一个人发一个东西，因为当时渣像素我怕看不清就发了原图。后来那个人见到我直接一句我知道你家在哪儿了真是吓我一跳,10分钟前 来自网页    ,0,智秀是仙女
微信拍泄漏么,10分钟前 来自网页    ,0,高雅依然要高雅
实在不知道自己有啥隐私,11分钟前 来自网页    ,0,杉颉宝宝冲鸭
拍摄的时候设置里位置信息去掉就行了,12分钟前 来自网页    ,0,DreamlightZhang
当今时代还有什么隐私可言？,12分钟前 来自网页    ,0,艺圃匠心
没事正等多几个冤大头来结账,12分钟前 来自网页    ,0,天天碰到奇葩
这个取决于你的手机相机 苹果一般默认拍摄带位置 可以关闭权限 安卓相机也可以设置照片是否添加 位置信息 相同的qq也有类似问题 关键在于你手机的相机,13分钟前 来自网页    ,0,长吟就会太平
那已经ps过的图片呢？？？？？？？？？？？？,13分钟前 来自网页    ,0,拆心chai
这个年代还有什么私密的信息吗，哈哈哈,14分钟前 来自网页    ,0,云淡风轻不谈情L
你tmd这三点也太容易满足了，你在说nm呢,14分钟前 来自网页    ,0,See_U_agAin__
一般值得我发原图的都知道我位置信息，而且我想了想真没啥东西可发,14分钟前 来自网页    ,0,Zzzzzkk
哈哈  除了122斤的体重已经没有值钱的东西了,16分钟前 来自网页    ,0,有事明天讲
这么恐怖的吗,16分钟前 来自网页    ,0,一颗绿色糖
口袋就几毛钱，泄露不泄露位置都一样,17分钟前 来自网页    ,0,是不是很傻丶
安卓吗？,19分钟前 来自网页    ,0,L明明明明明明明
哈哈哈哈哈哈我的手机相机一直都是设置拍照不记录拍摄位置！！！,20分钟前 来自网页    ,0,你的脸好好看
确实是会，原图的照片可以看到经纬度，也就是你拍照是的定位，但是如果这个照片你是在上海拍的，GPS是定位在上海，这时候你在别的城市发这个照片的时候也只会显示在上海罢了,20分钟前 来自网页    ,0,范家的陳小妹
为什么我看别人的图片，下载原图的话能看到尺寸大小，但是就是看不见它的位置啊！？,20分钟前 来自网页    ,0,瘦下来
有些人就是故意要暴露的怎么办？,22分钟前 来自网页    ,0,小脑袋v
无所谓了，我就算是发个960帧的他们都知道我在哪,22分钟前 来自网页    ,0,68小雨滴
无所谓了，我就算是发个960帧的他们都知道我在哪,22分钟前 来自网页    ,0,68小雨滴
微博也是吧，我发微博都没定位，偶尔会有同城的人看到评论,24分钟前 来自网页    ,0,Chanchanccc
