comment,date,support_number,user
都大结局了 李宗泫还不配拥有姓名嘛,今天 10:59 来自网页,1657,我的头卡住了
李胜利？,今天 10:57 来自网页,820,勤劳勇敢爱人民
日常问候 李宗泫那🐶呢,今天 10:59 来自网页,654,敷尔佳吖-
轮奸？,1分钟前 来自网页    ,0,逸逸出门不在家-
李宗泫还是有背景 一直到现在都没出现,1分钟前 来自网页    ,0,亲爱的LYJ
怎么没人说蓝台买热搜,1分钟前 来自网页    ,0,OK小团长-
才六年五年 呀 还有两个呢韩国法院 fnc一个服兵役一个 无罪释放🙃,1分钟前 来自网页    ,0,函数老大和他的三个小朋友95
带你🐴 的胜利，别带他行么，关你们什么事儿,1分钟前 来自网页    ,0,饿了就回家吃饭吧
才六年五年 呀 还有两个呢韩国法院 fnc一个服兵役一个 无罪释放🙃,1分钟前 来自网页    ,0,函数老大和他的三个小朋友95
带你🐴 的胜利，别带他行么，关你们什么事儿,1分钟前 来自网页    ,0,饿了就回家吃饭吧
李宗泫依旧没有姓名吗,1分钟前 来自网页    ,0,羽生晴明1207
我丢 李宗泫那个狗去哪了,1分钟前 来自网页    ,0,冯茉涵_
所以李姓人氏啥事没有，地遁到地下几万米了吗？,1分钟前 来自网页    ,0,Victory卡帕
可以不带少女时代Yuri吗…… 不带Yuri权赫俊就不是权赫俊零吗……,1分钟前 来自网页    ,0,Mickyyyyy
可以不带少女时代Yuri吗…… 不带Yuri权赫俊就不是权赫俊零吗……,2分钟前 来自网页    ,0,Mickyyyyy
五年后，又是一条好汉！！！！！哥哥加油！！！！！,2分钟前 来自网页    ,0,111E18THSTSHAREINTHEVICTORY
首先，不要带权俞利，权赫俊是权赫俊，权俞利是权俞利。其次，我觉得他们可以判个20年都不不成问题，韩国法律果然骚的一批,2分钟前 来自网页    ,0,emm你头发乱了喔
我要讲800遍不要带少女时代俞利！是她哥哥又不是她本人,2分钟前 来自网页    ,1,水长生
首先，不要带权俞利，权赫俊是权赫俊，权俞利是权俞利。其次，我觉得他们可以判个20年都不不成问题，韩国法律果然骚的一批,2分钟前 来自网页    ,0,emm你头发乱了喔
我要讲800遍不要带少女时代俞利！是她哥哥又不是她本人,2分钟前 来自网页    ,1,水长生
李宗泫呢！！！！！！！！！没有姓名？？？？,2分钟前 来自网页    ,0,ZRH的猪猪女孩
终于不是缓行的字眼了,2分钟前 来自网页    ,0,瞿三石石石
韩国人没救了，别管了,2分钟前 来自网页    ,0,我很爱你纠正大号的错误
终于不是缓行的字眼了,2分钟前 来自网页    ,0,瞿三石石石
韩国人没救了，别管了,2分钟前 来自网页    ,0,我很爱你纠正大号的错误
李宗泫死了？这都没他？？？,3分钟前 来自网页    ,0,Wenenna
好啊！！！,3分钟前 来自网页    ,0,dadada_koala
李宗泫死了？这都没他？？？,3分钟前 来自网页    ,0,Wenenna
好啊！！！,3分钟前 来自网页    ,0,dadada_koala
李胜利呢,3分钟前 来自网页    ,0,-余生浅沫
杀了吧,3分钟前 来自网页    ,0,素ILovebaby_NV
杀了吧,3分钟前 来自网页    ,0,素ILovebaby_NV
李胜利真牛逼,3分钟前 来自网页    ,0,这个小可爱y
带少女时代做什么,3分钟前 来自网页    ,0,LEIkento欢
评论粉丝真可怕，永远叫不醒一个装睡的人，建议上上知乎,4分钟前 来自网页    ,0,饼饼不愿意吃饼饼
李宗泫没进去？,4分钟前 来自网页    ,0,CookieDc
犯罪成本太低,4分钟前 来自网页    ,0,画手--小红姿
韩国人坐牢都没有关系的，跟养老一样，外面可以寄钱进去，囚犯可以买东西。,4分钟前 来自网页    ,0,Supervisor曾
想知道权某为什么要打马赛克？受害人已经那么可怜了，作恶者正是应该让大家看到，然后以后远离吗？？,4分钟前 来自网页    ,0,DL-阿鱼
