comment,date,support_number,user,hateful
理解改正？？？想p吃呢,今天 16:15 来自网页,6113,超幸福的小公举,0
搏击的都能被家暴，OMG,今天 16:23 来自网页,4661,芊寶er,0
家暴只有零次和无数次,今天 16:18 来自网页,2055,晴川姐姐,0
打的少,1分钟前 来自网页    ,0,邝小气,0
我要是有这样的武力值，我肯定暴打对方。这妹子心这么好的？？？？？,1分钟前 来自网页    ,0,文王火火,0
男的可能被打死了也说不定,1分钟前 来自网页    ,0,红鲤魚绿鲤魚-Q,0
她是不想还手吧,2分钟前 来自网页    ,0,cxxcxxcxx,0
可能她老公是练击剑的吧,3分钟前 来自网页    ,0,六月怎么了,0
活该，一个愿打一个愿挨,5分钟前 来自网页    ,0,会吃的橙猫,0
家暴她的大概是个男拳手，也只有男拳手伤得了她。,6分钟前 来自网页    ,1,海南艾声助听器连锁验配中心,0
 美国何时灭国,7分钟前 来自网页    ,0,我开心嘛,1
 鬼鬼，之前那个裸绞的怎么说的,8分钟前 来自网页    ,0,蛋刀猎人,0
家暴一定要被重视,10分钟前 来自网页    ,0,没有风也没有月,0
跆拳道打到黑带就完事了,12分钟前 来自网页    ,0,真知杂货铺,0
你居然没打过他？,13分钟前 来自网页    ,0,爱流浪的神仙,0
愚蠢的女人,13分钟前 来自网页    ,0,Jeannelaro,0
都是什么乱七八糟的新闻。,16分钟前 来自网页    ,1,今天也在打怪升级,0
搏击选手被家暴？不应该直接欧拉欧拉回去吗？,18分钟前 来自网页    ,1,夕晨lzc,0
我不会透露他是谁，不然尸体无法被很好的处理,19分钟前 来自网页    ,0,微雨渐寒1996,0
搏击手？姐妹为什么不把他一拳锤飞？！,20分钟前 来自网页    ,1,As朝颜,0
所以成了前男友,20分钟前 来自网页    ,0,__庄周秀尔,0
哦,20分钟前 来自网页    ,0,一个牛牛牛牛,0
太不能理解，一拳过去ko他不好吗,22分钟前 来自网页    ,0,dadadadada阿姜,0
搏击都能被家暴………我的天呢,24分钟前 来自网页    ,0,吾皇qweerrttttyu,0
行吧，那您忍着吧,24分钟前 来自网页    ,0,明明是泡芙味的呀,0
重伤害，还痴心,24分钟前 来自网页    ,0,木_方,0
那你可千万别离开他，一个愿打一个愿挨,25分钟前 来自网页    ,0,淼淼淼淼laura,0
要是我这么厉害我就和这个男的认认真真打一架,26分钟前 来自网页    ,0,yyc漘儿,0
看来她男友也是搏击高手,26分钟前 来自网页    ,0,去你的名字_,0
打回去啊,28分钟前 来自网页    ,0,星星kk_,0
家暴，只能有最后一次,29分钟前 来自网页    ,0,吧啦吧啦336,0
打回去呀，不会打不过吧,29分钟前 来自网页    ,0,遍蓝寻河,0
 有意思,32分钟前 来自网页    ,0,翾翾的意中人,0
主要是他断了七根肋骨，缝了12针，我想了想还是算了，不报警了，并希望他能理解我,32分钟前 来自网页    ,0,芋头201008,0
我觉得你们都误会姑娘了，她可能只是想自己解决,33分钟前 来自网页    ,0,那只龙我想rua你的头发,0
拳手一拳打死拿武器的，你根本近不了身,33分钟前 来自网页    ,0,干就对了h,0
她这是大无畏的牺牲精神啊！她收了家暴男就代表其他女性不会因为这个男人而被家暴了，作为搏击选手，她应该只是出于爱而不舍得还手，但是只要她想，那个男的必死无疑！,33分钟前 来自网页    ,0,dontdontttt,0
可能对方正在重症监护室，所以绝对不能报警。,34分钟前 来自网页    ,0,舍得_13,0
 我滴妈呀……,36分钟前 来自网页    ,0,君羊LeQueen,0
搏击选手被家暴，这年头,36分钟前 来自网页    ,0,啊呜嘟嘟嘟,0
 带这种节奏有毛病吧,36分钟前 来自网页    ,0,FatChoiMew,0
圣母挨打后…,39分钟前 来自网页    ,0,不在场1,0
虽然你的抗击打能力强，但是也不能这样呀～当训练了吗？,42分钟前 来自网页    ,0,我是苜苜吖,0
给他两拳啊，怎么能被家暴,44分钟前 来自网页    ,0,披着狼皮的肉丹,0
可能。。那个男的伤的更重。。,44分钟前 来自网页    ,0,王升sss,0
怒其不争，哀其不幸,45分钟前 来自网页    ,0,庭有枇杷露_,0
两个都是疯子,46分钟前 来自网页    ,1,Michelle_____Li,0
有一种说法叫挨打上瘾，比如古龙笔下的林仙儿，现实中我不知道有没有,47分钟前 来自网页    ,1,爱学习的因为我687,0
人家愿意，你管屁,48分钟前 来自网页    ,1,温婉居家的彩虹,0
不还手不报警？留着过年吗,50分钟前 来自网页    ,0,想吃肉吗,0
我就想知道那个男的是不是已经不在人世了，她不报警是出于自我保护,51分钟前 来自网页    ,0,随意吧002,0
不好意思报警 因为报警的话被抓的可能是自己,51分钟前 来自网页    ,0,甜筒不能给猫吃,0
已经是前男友了,53分钟前 来自网页    ,0,流苏u苏,0
前男友了,54分钟前 来自网页    ,0,流苏u苏,0
西方教育不应该啊今天....,55分钟前 来自网页    ,0,出门意外,0
可悲,56分钟前 来自网页    ,0,戈筱贝,0
婚姻很多时候都是在取舍的，可能他们的感情胜过被打的伤心呢？他们开心就好了。,56分钟前 来自网页    ,0,改的第一次昵称,0
隐忍？或许会害了更多人,56分钟前 来自网页    ,0,曲动闻音,0
神经病喂,57分钟前 来自网页    ,0,法式焦糖布丁奶茶,0
家暴这种行为真的很LOW，充分显现出一个人的品性和德行有多低劣，简直不堪为人。不论是男是女真的都不应该倚仗自己的身体优势去肆意践踏伤害他人，这样的行为也太低劣无耻了。,58分钟前 来自网页    ,0,欧薄荷a,0
家暴的人都是那种外面没本事回家找自信的废人,今天 21:45 来自网页    ,0,暖暖很好118,0
傻，还维护他,今天 21:45 来自网页    ,0,我路过看看而已,0
看到这个姐姐鼻梁断了，深表同情，但是我想歪个楼问一下，那个,今天 21:45 来自网页    ,0,爸爸的爸爸是爷爷1996,0
为什么给他留一手，打他，告他就完事了,今天 21:44 来自网页    ,0,盛利姐姐,0
之前同事听闻宇芽妹纸的故事，居然说要让女儿练一下保平安，我：？？？,今天 21:43 来自网页    ,0,sleeplesscc,0
家暴只有零次和无数次，不要希望他会改正！,今天 21:42 来自网页    ,0,听风才知竹,0
那搏击白练,今天 21:40 来自网页    ,0,希稀Cc,0
不是我打不过你 只是不舍得还手,今天 21:38 来自网页    ,0,Sherry心态好,0
女搏击手没有举起拳头，男友这么没种居然用钥匙,今天 21:37 来自网页    ,0,幻神控,0
前男友是故意伤害不算家暴了吧，告死他,今天 21:36 来自网页    ,0,羊城往事,0
咋滴不还手？,今天 21:35 来自网页    ,0,SJM槑,0
这个不是不能反抗，是不想反抗吧？,今天 21:33 来自网页    ,0,苜蓿仙人,0
可能她的男友是世界级重量型选手 不然也不会这样,今天 21:33 来自网页    ,0,使不得啊,0
自作自受吧,今天 21:32 来自网页    ,0,薇菲乔俪颖,0
中国女拳击手说的是，我打人是收钱的,今天 21:31 来自网页    ,0,刚直妇女,0
干他,今天 21:29 来自网页    ,0,塑魄闷,1
其实她是想亲自报仇，送进监狱她就折磨不到他了,今天 21:28 来自网页    ,0,春风拂春雨,0
揍死他,今天 21:28 来自网页    ,0,Regina_Reggie,0
晕，这么狠心对你，根本不爱你，报警，,今天 21:27 来自网页    ,0,韩公子momo,0
我能说她活该吗？狗改不了吃💩 ！不打你打谁！贱不贱啊！,今天 21:24 来自网页    ,0,虓ZYZL,1
这世界怎么了？？！,今天 21:24 来自网页    ,0,Bell-cactus,0
我怀疑这男的想碰瓷,今天 21:23 来自网页    ,0,九夜叉_,0
最近家暴的事太多了，也许是件好事，可以提醒更多被家暴者勇敢站出来,今天 21:23 来自网页    ,0,80后环球旅行家Mabel,0
可能想自己解决 不麻烦警方,今天 21:23 来自网页    ,0,howard--wang,0
对得起你的职业,今天 21:22 来自网页    ,0,我是君er,0
我觉得这位女士如果说：“对方正在ICU抢救，暂未脱离生命危险，全身30处骨折，多脏器受损，不想麻烦警方。” 这样大家会接受度高一点。,今天 21:21 来自网页    ,1,sunwear,0
我就想问问 这男的还好吗……,今天 21:20 来自网页    ,0,black爱是永恒,0
佩服,今天 21:20 来自网页    ,0,橘子香蕉恐惧症Cona丶,0
？？？。。职业被打的女人脑回路就是不一样。。。打我而已嘛！缝7针而已啦！小事小事,今天 21:20 来自网页    ,0,一瞬间什么浪漫都死掉,0
你这搏击白练了,今天 21:19 来自网页    ,0,下午三点的曼特宁,0
或许女性是情感动物   对男的感情很深    所以当时没有还手？？！,今天 21:16 来自网页    ,0,无敌大王_jiayisme,0
所以，练好拳击也阻止不了家暴？,今天 21:15 来自网页    ,0,是雷公子啊,0
这姑娘天真地以为施加暴力的人自己会认识错误，用不着法律和监狱；求求你，曝光他吧，你自己犯贱倒算了，别害了其他女生，人家可不像你是选手，人家可能一拳下去就没命了,今天 21:13 来自网页    ,0,ZERO光,1
所以很多家暴就是这样，别人都在为你发力，你说算了算了我原谅他了他一定都改了。,今天 21:09 来自网页    ,0,么斯林,0
唉，我也不说啥了，希望不要被爱情冲昏了头脑,今天 21:09 来自网页    ,0,已打烊开始起菲,0
估计男的被打的更惨，所以才这样说！,今天 21:08 来自网页    ,0,偏左又偏右的激进派分子,0
如果你不送他进监狱的原因是你想哪天自己教训他，那我理解你。,今天 21:08 来自网页    ,0,镜鉴镜鉴,0
这女人竟然这么软弱，打成这样还不报警?是不是连还手都不会?,今天 21:06 来自网页    ,0,淡淡的翅膀,0
想到了《抓住幽灵》里的那个案件，不过是男方是拳击明星，家暴女友，女友也不敢报警,今天 21:06 来自网页    ,0,薄荷苏打小小,0
一看这标题觉得有点'你打我我不报警，下次我打你的时候也别报警，看谁打的过谁'的感觉。,今天 21:05 来自网页    ,0,世界是个球儿,0
她是怕把她男友打死,今天 21:01 来自网页    ,0,小木子MUZI_,0
刚刚那个羊放的屁进她脑子了？？？,今天 21:00 来自网页    ,0,叽叽叽喳喳喳i,0
你对他心软，他打你的时候可没心软,今天 20:58 来自网页    ,0,吕氏霞霞,0
这么能包容,今天 20:52 来自网页    ,0,陌茉沫墨,0
你开心就好,今天 20:48 来自网页    ,0,生锈的河流,0
希望她能完美理解她的职业 并正确运用到生活中去。,今天 20:47 来自网页    ,2,Oh太大阳,0
李阳都复婚了，大家吃吃瓜得了,今天 20:47 来自网页    ,0,神人张598,0
女人要是反击了就该被判刑，因为是练搏击的，呵呵，男权社会。,今天 20:47 来自网页    ,1,倾国倾城媚小乔,1
？这，斯德哥尔摩,今天 20:46 来自网页    ,0,HunLu_947,0
搏击的？看来我健身没用了,今天 20:41 来自网页    ,0,史迪仔很乖,0
 这我就看不懂了,今天 20:39 来自网页    ,0,尹克克同学,0
会搏击都不好使了吗？我丢。果然最亲近的人伤害你，反而伤的更深。,今天 20:39 来自网页    ,0,背泽芝,0
擂台上是有规则的，暴行中是不计后果的,今天 20:39 来自网页    ,0,y3_time,0
这一次通过媒体说不报警，可能是埋个伏笔，以便未来随时可以反击打爆他而不至于太突兀,今天 20:35 来自网页    ,0,phonemonen,0
学搏击吃屁的？打啊 干死他,今天 20:35 来自网页    ,0,Yikonn,1
这男的可能已经是个死人了...,今天 20:33 来自网页    ,0,问题不大研究所,0
疯了吧,今天 20:32 来自网页    ,0,Reborn_H,0
前男友之前动过一次手，为了以防万一分手后去练了搏击，我,今天 20:31 来自网页    ,0,舞逸251,0
对方估计还在养伤没出院,今天 20:31 来自网页    ,0,稀奇流氓兔,0
不一样  她是有能力揍死对方的  只是选择不动手  大部分被家暴的女士根本打不过,今天 20:30 来自网页    ,0,甘小酒,0
贱,今天 20:30 来自网页    ,0,津门小飞,1
是教练吗,今天 20:30 来自网页    ,0,全场现实菜逼云厉害,0
其实能理解，在体力和技能持平，甚至超过对方的程度下还能接受被暴力。说来说去就是因为还喜欢这个人呗（能接受被打，也不想关系破裂），可以忍耐（台上打惯了，感觉是挠痒痒的程度）。外人也不好说什么了。真想回手，那男的估计已经被打废了,今天 20:29 来自网页    ,0,小皮什么都敢说,0
打人肯定是不对但是男女朋友算家暴吗,今天 20:28 来自网页    ,0,涓流咸鱼,0
你开心就好,今天 20:26 来自网页    ,0,Ethel_baek,0
瞎打mma 如果是我 他接着死了,今天 20:26 来自网页    ,0,衣守_Maimamo,0
为什么不回击他,今天 20:24 来自网页    ,0,咯咯哩哩咯,0
r人家俩就是切磋切磋,今天 20:23 来自网页    ,0,啊道亘,0
这种模棱两可的新闻，说实话可能会让人们对于某种职业产生疑问，比如说，搏击手也没那么厉害啊什么的，但是对手的信息是一无所知的。以前有一个新闻也是这么发布的，说是一个练武术的被邻居打死，人们就说，害，练武术的不过如此，但是经调查，邻居也是一个练武术的。,今天 20:22 来自网页    ,0,何时遇见皮卡丘呀,0
看了这个新闻突然觉得我对欧美女性有很大误解。一直以为面对家暴欧美女性会更加强势。没想到原来都差不多。,今天 20:22 来自网页    ,0,快乐一直在你们身边,0
 李阳这对儿,今天 20:21 来自网页    ,0,就叫我爷爷吧36987413,0
女人的隐忍，只会让男人更猖狂。,今天 20:19 来自网页    ,1,命苦不苦看人,0
你是搏击选手，打不过他？,今天 20:18 来自网页    ,1,#NAME?,0
无语,今天 20:18 来自网页    ,0,boombilboom,0
我天啊,今天 20:18 来自网页    ,0,水瓶座的会来寒,0
搏击选手？？前男友确定不是陪练的嘛？,今天 20:18 来自网页    ,0,张宇轩小姐姐,0
不应该强调是搏击女选手 人家只是选择不出手而已 万一打死了还得坐牢 职业的是控制不住自己的力量的 下面乱评论的请看好了,今天 20:17 来自网页    ,0,InsomnIa24184,0
没有以眼还眼，也挺伟大的,今天 20:17 来自网页    ,0,五彩黏泡泡,0
 一丝丝疑惑,今天 20:16 来自网页    ,0,小田切晴子的日常,0
男友可能是男搏击选手吧,今天 20:16 来自网页    ,0,Woody崇,0
不会吧！搏击选手也被家暴😱！不是应该一击把他KO了吗！是舍不得打，还是打不过！找另一半一定要真爱啊，不然太惨了，越看越觉得还不如单身的好,今天 20:16 来自网页    ,0,linco零,0
？？？迷惑，为什么今天都是这种新闻，准备洗白家暴？,今天 20:16 来自网页    ,0,风吹檐上雪,0
搏击的还能被家暴？揍他啊，反手就是一电炮,今天 20:15 来自网页    ,0,Romer软萌猫舍,0
果然，贱是普遍现象。,今天 20:15 来自网页    ,0,栖凰语,0
干他,今天 20:14 来自网页    ,0,索性独饮半生缘起,1
她的意思是我给你个机会改，别逼我动手,今天 20:14 来自网页    ,0,阿汪啊汪汪,0
想想宇芽家暴事件就是一再容忍一再原谅最后结果呢！变本加厉不知悔改，不要做沉默的羔羊要对暴力说不用法律反击，才是对自己对家人最好的负责,今天 20:14 来自网页    ,0,Lily13793,0
 学啥都白费,今天 20:13 来自网页    ,0,COLA_03,0
不说究竟是谁是不是因为已经被她打死了,今天 20:11 来自网页    ,0,爱生活的海绵,0
怎么不揍回头,今天 20:10 来自网页    ,0,非Charmaine不可,0
