comment,date,support_number,user,hateful
你奶茶最喜欢加什么！！,56分钟前 来自网页,275,我都笑傻了,0
还有饼，麻辣豆腐……难以想象哈哈哈哈哈哈,57分钟前 来自网页,422,我都笑傻了,0
即使很喜欢和珍珠奶茶 但是还是觉得不可,今天 20:12 来自网页,2091,今天的晚安呢,0
不愧是日本人,1分钟前 来自网页    ,0,兜兜里有糖糖201712,0
 必须艾特金金,1分钟前 来自网页    ,0,兩隻羊,0
饶了中国美食，你们就像跳梁小丑,1分钟前 来自网页    ,1,我向来是享受危险的,0
喝奶吃茶,1分钟前 来自网页    ,1,他们说取一个长名字更容易中大奖,0
珍珠可，珍珠饺子不可,1分钟前 来自网页    ,0,Reindeer·,0
说真的 他们国家太压抑了。我觉得人都变态了,1分钟前 来自网页    ,0,诸葛钢铁钢铁,0
 好恶心,1分钟前 来自网页    ,0,王删删是个微博控,0
丧心病狂！,1分钟前 来自网页    ,0,夏大大大的呦,0
 可怕,1分钟前 来自网页    ,0,Stefanie_Pan,0
 你当初留点面 也包点饺子好了  哈哈哈哈哈哈,1分钟前 来自网页    ,0,叫张咸鱼好了,0
不喜欢喝奶茶的飘过,1分钟前 来自网页    ,0,黑椒奶汁土豆泥,0
这？,1分钟前 来自网页    ,0,一羊千喜w,0
我记得上次还有个日本人用珍珠奶茶搞茶泡饭的……对珍珠奶茶真执着啊……,1分钟前 来自网页    ,0,#NAME?,0
 有毒,1分钟前 来自网页    ,0,好多鱼Yuuo,0
有卖的话我可能也爱吃,2分钟前 来自网页    ,0,你家茱丽葉,0
哦莫呀，啥味道呀,2分钟前 来自网页    ,0,浩珉蛋糕君,0
绝了,2分钟前 来自网页    ,0,冒牌的宇宙i,0
这个可以有，貌似很好吃的样子哎,2分钟前 来自网页    ,0,荞麦爱戴,0
感觉我今天点过的，都上了热搜前几,2分钟前 来自网页    ,0,爱听歌的pxq,0
可以 但是没必要,2分钟前 来自网页    ,0,恋jam的晶晶,0
哈哈哈哈哈哈哈 好想吃,2分钟前 来自网页    ,0,你还不如一只狗-,0
不喜欢吃珍珠的路过,2分钟前 来自网页    ,1,尉迟龙炎的小流萤,0
 来吃饺子,2分钟前 来自网页    ,0,别烦小肖,0
 我他妈,2分钟前 来自网页    ,0,手工青柠乌龙走冰正常糖,0
珍珠非常不好消化 长期食用会导致肠胃功能紊乱 甚至会引发急性胰腺炎等疾病 但是我看大家这么喜欢吃 那大家多吃点 疯狂吃啊 反正我不吃 我穷 我要健康 我怕得病 大家替我吃吧,2分钟前 来自网页    ,0,嘻阿俠,0
相信每个人心中的正义，请大家不要忘记以翔,3分钟前 来自网页    ,0,Tanzy814,0
差不多得了,3分钟前 来自网页    ,0,Lapopooo-,0
丧心病狂 ,3分钟前 来自网页    ,0,Z-MJie,0
？？？迷惑,3分钟前 来自网页    ,0,绒绒的小疯子yu,0
虽然我爱珍珠如命，还是难以想象它是个什么味道总觉得咸的跟甜的不能放一起,3分钟前 来自网页    ,0,不舍得卸微博的吃瓜少女,0
 哈哈哈哈哈哈哈哈,3分钟前 来自网页    ,0,苏戈雅kay,0
会很干吧…,3分钟前 来自网页    ,0,你不高冷吗,0
呕了……,3分钟前 来自网页    ,0,李现素未谋面的未婚妻,0
扬兲真，我好鳋，，，阿水卫生巾贴 热水瓶大洞 扬天真脸上，，可以漂亮到什么程度，，，扬兲真我每天发呕羊哪哪漏洞图、下流信息，我感觉我好美，我鳋得快炸了，怎么没人喜欢！！！！！！！！没人把我扬天真当人看，我就自夸，装有人喜欢，就是一辈子没人要，我装别人不知道，我幼儿毕业，我太鳋了！,3分钟前 来自网页    ,0,致画致清画致景,1
想尝尝,3分钟前 来自网页    ,0,aAa-凡凡凡凡凡,0
简直不要太爱珍珠,3分钟前 来自网页    ,0,嘿你的烨,0
 上次还吃了个巧克力馅的饺子！超好吃！！,3分钟前 来自网页    ,0,YANNIE_阝,0
 第一反应是…咦……………,3分钟前 来自网页    ,0,LemonadeLily,0
只有我一个人想尝一下吗,3分钟前 来自网页    ,0,地久天长金茶蛋,0
 只要是珍珠我就爱,4分钟前 来自网页    ,0,小兔叽叽---,0
 第一反应是…咦……………,4分钟前 来自网页    ,0,LemonadeLily,0
饺子怀孕了，还是卵生的,4分钟前 来自网页    ,0,啵丫嘟,0
八嘎  嗨一,4分钟前 来自网页    ,0,五号冲浪选手,0
日本的麻婆豆腐是甜的,4分钟前 来自网页    ,0,小太阳刀妹er,0
 你最喜欢的珍珠,4分钟前 来自网页    ,0,为了改名字开了会员鸭,0
 绝了哈哈哈哈哈哈,4分钟前 来自网页    ,0,璐asimida,0
万物皆可珍珠奶茶,4分钟前 来自网页    ,0,野比大雄没有蓝胖子,0
可能以为珍珠是中国的豆豉,4分钟前 来自网页    ,0,苏洛洛洛涵,0
对不起 不吃珍珠,4分钟前 来自网页    ,0,#NAME?,0
 奶茶是个神奇的东西,4分钟前 来自网页    ,0,瓜瓜wx,0
 吃吗,4分钟前 来自网页    ,0,APR-Miao,0
额额额额，有点难接受，珍珠还是喜欢甜的,4分钟前 来自网页    ,0,爱在微尘里,0
红豆!,4分钟前 来自网页    ,0,蒲公英的约定wm,0
 说不定好吃,4分钟前 来自网页    ,0,保税区于晏祖,0
Q弹好吃,4分钟前 来自网页    ,0,柠檬kk啊,0
...不太适应,4分钟前 来自网页    ,0,一颗小甜栗儿,0
被热水瓶 呕杨哪哪 黑洞，逗笑了，，，，扬兲真说我有点成绩，为什么被行业列入黑名单了，，，我扬天真，只不过每天发下流色情信息，，，我捧着三矮孩，是为显本事，让高大帅哥喜欢，对三毛孩是极大讽刺！！！！！！！！！！扬天真，发我不懂你，我还爱你，鳋扰高大帅哥，，被骂，又拿宇宇出来挡枪。,4分钟前 来自网页    ,0,致画致清画致景,1
魔鬼,5分钟前 来自网页    ,0,hswebxshua747,0
呕呕呕,5分钟前 来自网页    ,0,ccccccari,0
