comment,date,support_number,user,hateful
网友脑洞：《你这么爱出轨，我可要家暴了》、《你这么爱家暴，我可要出轨了》你觉得哪个更贴切？,今天 11:12 来自网页,9597,八组吃瓜蜀黍,0
要不你俩试着处处？我觉得合适,今天 11:05 来自网页,5942,一池暮色,0
一个家暴，一个出轨，完美搭档,今天 11:04 来自网页,3744,xyk火眼静静3325,0
这个搭配，绝了，我竟然觉得这部剧会爆，然后评分就不好说了,3分钟前 来自网页    ,0,宫春月小朋友,0
我怀疑这是营销策略，大家到时候肯定会去看个热闹，然后收视率就有了。这还没播现在大家就知道了，流量也起来了。尽管是负面的，也是流量热度。就像现在我在评论这事，就在给它加流量。,4分钟前 来自网页    ,1,少女是永恒的毒药,0
大型伦理爱情武打动作片？,4分钟前 来自网页    ,0,罗框筐匡,0
哈哈哈真的是最佳搭档啊,5分钟前 来自网页    ,0,Qualitystocks,0
为什么看这个海报总感觉像是十年前拍的…,6分钟前 来自网页    ,0,就吃你家大米不服憋着,0
这导演肯定不缺钱，闹着玩玩,6分钟前 来自网页    ,0,梁Ok很Ok,0
李还好意思出来？,6分钟前 来自网页    ,0,孟婆的碗碗香,0
这个选角真是人才！！不过为啥要让这样的两个人还有戏拍啊？中国那么多演员不够挑了是吗？谁特么要看出轨女和家暴男cp啊,7分钟前 来自网页    ,0,萌萌哒霹雳狗子,0
夫仔尅她,7分钟前 来自网页    ,0,恒仲左长路漫漫加油,0
你敢打我我就绿你，你敢绿我，我就打你,7分钟前 来自网页    ,1,Pineapplee_,0
未播先火,7分钟前 来自网页    ,0,承德新娘跟妆宋贺新,0
想看,8分钟前 来自网页    ,0,千允默,0
这是预料好的组合吗,8分钟前 来自网页    ,0,阳宝贝3456,0
李小璐都40岁了还在拍这种剧,8分钟前 来自网页    ,0,忘了我的你是我丢不掉的行李,0
你太有才了哈哈哈哈哈,9分钟前 来自网页    ,0,小琳琅儿,0
真般配,9分钟前 来自网页    ,0,蚊子的天堂52,0
不看,9分钟前 来自网页    ,0,格格乌WZC,0
哈哈哈哈哈突然很想看是怎么回事,9分钟前 来自网页    ,0,优雅的蒋较瘦,0
导演选演员忒厉害了点,9分钟前 来自网页    ,1,LeBonheur1965,0
这两人居然还在演戏？娱乐圈那么没人可用的嘛！,9分钟前 来自网页    ,0,本尼卷花,0
还能播吗？香港的安心都立马被抽起了,10分钟前 来自网页    ,0,_fzjnvfybcfgjnc,0
中国明星承受力强啊，这样被网友讽刺还不抑郁。,10分钟前 来自网页    ,0,NC_沃尔兹,0
脑洞大开！,10分钟前 来自网页    ,0,撞了南墙也不回头阿,0
一个出轨，一个家暴，“绝配”,10分钟前 来自网页    ,0,MJ-ycly-lchj,0
蒋劲夫 到你表演的时候了,11分钟前 来自网页    ,0,我在拉萨天气晴-,0
 跟你很配。垃圾就应该放在垃圾桶里。,11分钟前 来自网页    ,0,橘子味的刘翘翘,1
其实我还是会看的,11分钟前 来自网页    ,1,Destiny36480,0
会有人看么？,11分钟前 来自网页    ,0,Yanny漾成长日记,0
完美,11分钟前 来自网页    ,0,承德新娘跟妆宋贺新,0
剧名应该是《别家暴，我出轨》,11分钟前 来自网页    ,0,Qz乖卷,0
这俩人也真真是绝配了嘿,11分钟前 来自网页    ,0,一个张三石zl,0
哈哈 一个爱劈腿一个爱家暴 完美,11分钟前 来自网页    ,0,我在拉萨天气晴-,0
这两垃圾为什么还没有封杀？,11分钟前 来自网页    ,0,Y小诚子Y,0
这部剧是真实存在的么？？我惊了,11分钟前 来自网页    ,8,congeeGGG,0
厉害了,11分钟前 来自网页    ,0,1杨杨杨杨小可爱,0
