comment,date,support_number,user
别让好心人寒心,今天 20:41 来自网页,337,卖呓不卖呻
华为事件请关注！,今天 20:41 来自网页,179,ReeceN
不要让别人的善良被过度消费,今天 20:43 来自网页,128,今日宝藏
当初我儿子生病，水滴的来一次，爱心筹的又来，另外还来了好几家，让我们拿出病历，给他们，他们帮我们发网上，我们想，不到万不得已不能要好心得钱，好心人的钱应该给最需要的人，所以没同意，后来他们三番五次纠缠，我们也没搭理，现在我儿子出院了，康复了，希望好心人的心不寒，也希望好人一生平安,1分钟前 来自网页    ,0,放逐yve
真是这样，上周还看人拿了一大叠卡片在病房里发,2分钟前 来自网页    ,0,大蒋同学0804
别让真正需要帮助的人因为你们肆意消费人们的善意而得不到帮助，我已经开始反思我之前捐的款有没有意义了。,2分钟前 来自网页    ,0,还在凌晨11
我还捐了好几次,3分钟前 来自网页    ,0,是堇诗诗
微信里的朋友们发只要是筹，我都捐款了……所以别让好心人心寒……,3分钟前 来自网页    ,0,在云端201708
为了钱可以不要了良心,3分钟前 来自网页    ,0,说盐很咸
别让真正需要帮助的人以后无人帮,4分钟前 来自网页    ,0,妖ConnieC精
还有些其他的类似筹款也是这样的，一定要管理这些,4分钟前 来自网页    ,0,你好我是小小君
一声叹息！,5分钟前 来自网页    ,0,武哥曰
坐标广州，11月头在广州某医院做了手术，术后在医院走廊散步，有人主动上前跟我搭讪说他是某某某筹的，我拒绝说谢谢我们不需要，然后看到他每个病房都进去了一趟,5分钟前 来自网页    ,0,小弦Daisy
还有这样的！应该彻查！,6分钟前 来自网页    ,0,风在你来的路上落成花
请别让好心人寒心！,6分钟前 来自网页    ,0,莉莉5995610544
反正看到水滴筹，我肯定不看，,7分钟前 来自网页    ,0,kevin昂华
我这里有一个真实患者，真实病情需要筹钱，希望有心人士可以帮助！做建筑小工从三楼摔下来，家庭情况（50岁离异带2个小孩，大的10岁小的7岁，还有一位80岁的老母亲）需要大家的一点点爱心，好人一生平安！,7分钟前 来自网页    ,1,彩色设计印刷
我家人生病也确实用过水滴筹，真的很好，帮助到我了，很好的软件,7分钟前 来自网页    ,0,河豚气饱了
把病人的痛苦，当成粉丝引流工具！ 任意募捐，浪费社会慈善心和社会公信力！ 导致应该需要帮助的人得不到帮助！ 让会演戏的人因此获利！！！,7分钟前 来自网页    ,0,仰明
给我回个电话,7分钟前 来自网页    ,0,wgnhjtg
再也没信过这些了,8分钟前 来自网页    ,0,朴太萌说其实他不喜欢夜店
这……伤心呀,8分钟前 来自网页    ,0,奇点201105
水滴筹，不要让好心人寒心,8分钟前 来自网页    ,0,方方田不田
