comment,date,support_number,user,hateful
我缺补课的嘛，我缺的是学姐,今天 18:16 来自网页,614,他的猫语,0
为高数疯，为高数狂，为高数哐哐撞大墙,今天 18:40 来自网页,572,河南师范大学,0
希望你们关注一下华为员工李洪元离职被关251天之事，还有李心草云南溺水等等事件一直没有下文！我相信中国的法律，但是这些事件，更需要执法者行动！我希望那一天已经到了，那一天天子犯法，是与蔗民同罪，那样，法律面前就是真正的人人平等！,今天 18:16 来自网页,197,YUZHIBOZUOZHI,0
不想说了，摆明都是别人家的学校，哈哈,3分钟前 来自网页    ,0,LANLAN傲娇,0
是我们是我们！,4分钟前 来自网页    ,0,要少吃多笑啊,0
整那没用的行，考试了开始着急了,4分钟前 来自网页    ,0,小小小的小小的太阳,0
啊，我一般考完试就忘了,9分钟前 来自网页    ,0,寂然于暖,0
我的大学，我的学院，我的母校,14分钟前 来自网页    ,0,LLLLLLJTAOOOOOOOO,0
欢迎大噶保河师大数学专业哦，学长在线帮你讲题,17分钟前 来自网页    ,1,再遇见08504,0
真希望我学校也有,18分钟前 来自网页    ,0,义本同,0
WuLi母校太赞啦,20分钟前 来自网页    ,0,Spring--Tong,0
我当年咋没遇到这样的好事呢！,20分钟前 来自网页    ,0,雯妍博,0
为我们的师大数院疯狂打call,31分钟前 来自网页    ,1,大脚要自信,0
学长学姐都出师了,31分钟前 来自网页    ,0,月光淼淼博君一肖,0
 哈哈哈哈哈哈哈不敢相信啊,32分钟前 来自网页    ,0,甜甜至上主义,0
不错不错 谁来帮我补补英语,35分钟前 来自网页    ,0,LikyTaetae,0
我不缺补课的，我缺的是脑子,37分钟前 来自网页    ,1,今天比明天年轻丫,0
我怕学霸打死我,40分钟前 来自网页    ,0,寂寂梨花颖,0
唉，这些学弟学妹们缺的不是分数，是学长学姐们啊,41分钟前 来自网页    ,0,ys陈云ys,0
今天你学高数了吗,42分钟前 来自网页    ,19,河南师范大学广播站,0
我啥都缺,50分钟前 来自网页    ,0,怒斥寂寥短,0
都是为了泡妞,51分钟前 来自网页    ,1,-鸭梨君-,0
啥时候我也能拥有,52分钟前 来自网页    ,0,啵啵温柔本身,0
其他学校也派人过去,今天 21:24 来自网页    ,0,陳堯鵬,0
为何这么多美女？咱们的才子呢？,今天 21:21 来自网页    ,0,医些事儿,0
高数它太难了，哭唧唧,今天 21:17 来自网页    ,0,8832模仿抹,0
这个确实好，如果有好看的学妹还可以顺便谈个恋爱，感情成绩双丰收,今天 21:16 来自网页    ,0,桥东小霸王,0
我都认识,今天 21:14 来自网页    ,0,浪涌夜夏,0
高数没挂过,今天 21:11 来自网页    ,0,热狗童靴,0
嘿嘿，我们学院也这样。,今天 21:05 来自网页    ,0,哥斯达黎加量天尺哦,0
 快看！！！是人民日报！！！,今天 21:02 来自网页    ,0,_Heimdallr-,0
