comment,date,support_number,user
我不求你们夸她 别嘴臭就好 求你们了 她很累了,今天 19:04 来自网页,108749,仙女馨w
求求了，2019要过去了，别再出事了,今天 18:54 来自网页,72158,匡_威-万_斯-总_仓
欧尼一定要好好生活啊！！不能再出事了,今天 18:53 来自网页,42703,Smile然_
泫雅吧的翻译，大家可以看看这个，更准确一点 ,今天 19:12 来自网页,36557,超级幸运的小锦鲤
希望pljj都可以心大一点 天天开开心心 不要在乎一些乱七八糟的东西,今天 19:07 来自网页,19405,种草小屁猪
这种在这里分中国和韩国的人真的是太可笑了。说什么与中国人有什么关系？她是韩国人，但 她首先是一个 人。,今天 19:21 来自网页,16237,小只不小
人能理解骨折的人没法走路，却不能理解抑郁的人无力生活。 抑郁真是一种病啊,今天 19:07 来自网页,8033,今天的晚安呢
欧尼要好好的啊,1分钟前 来自网页    ,0,张艺兴老婆在此i
卧槽！,1分钟前 来自网页    ,0,Jerry-Hy
我爱你啊，姐姐，你要想到有很多很多人都在爱你的,1分钟前 来自网页    ,0,老k阿v姨
艹 千万别出什么事啊,1分钟前 来自网页    ,0,广嵘silence
好担心好担心 泫雅一定要好好过啊 别再出事了小野马太好好的过完2019啊🙏🙏🙏,1分钟前 来自网页    ,0,今天的Bully也很暴躁
所以说，心里承受能力不强的人，真的不要做公众人物，不然真的太危险了…,1分钟前 来自网页    ,0,温妮Ade
好担心好担心 泫雅一定要好好过啊 别再出事了小野马太好好的过完2019啊🙏🙏🙏,1分钟前 来自网页    ,0,今天的Bully也很暴躁
所以说，心里承受能力不强的人，真的不要做公众人物，不然真的太危险了…,1分钟前 来自网页    ,0,温妮Ade
正常人对着抑郁症患者说的最多一句话就是:世界这么美好，你怎么看不到希望呢？这就好像你对一个哮喘患者说:地球上都是氧气，你怎么不能呼吸呢？,1分钟前 来自网页    ,0,农大呀农大
希望小仙女的都好好的,1分钟前 来自网页    ,0,第一杯就姑且叫他夏秋
今早才看她视频，现在就抑郁了,1分钟前 来自网页    ,0,芮小柴
希望小仙女的都好好的,1分钟前 来自网页    ,0,第一杯就姑且叫他夏秋
今早才看她视频，现在就抑郁了,1分钟前 来自网页    ,0,芮小柴
姐姐一定要好好的啊,1分钟前 来自网页    ,0,吃人大仙女
千万不要再出事了,1分钟前 来自网页    ,0,Licannnn
你给钱搞些明星说自己患精神病，关我什么事？我不是。你是不是有病，冤枉我进过精神病医院和吃了一段时间精神病药。药是三分毒，而且搞人中区神经的药，整傻人？我够傻的了，工作认识到你这种坏人，把我害得那么惨，事实告诉我从来没有认识过你。请你走！不要再害我了，我们真的不认识的，认识都不会这,1分钟前 来自网页    ,0,乖乖熊la
姐姐一定要好好的啊,1分钟前 来自网页    ,0,吃人大仙女
千万不要再出事了,1分钟前 来自网页    ,0,Licannnn
你给钱搞些明星说自己患精神病，关我什么事？我不是。你是不是有病，冤枉我进过精神病医院和吃了一段时间精神病药。药是三分毒，而且搞人中区神经的药，整傻人？我够傻的了，工作认识到你这种坏人，把我害得那么惨，事实告诉我从来没有认识过你。请你走！不要再害我了，我们真的不认识的，认识都不会这,1分钟前 来自网页    ,0,乖乖熊la
啊啊啊啊啊！姐姐要好好的啊,1分钟前 来自网页    ,0,我好想吃炸鸡啊啊啊啊
今早才看她视频，现在就抑郁了,1分钟前 来自网页    ,0,芮小柴
姐姐一定要好好的啊,1分钟前 来自网页    ,0,吃人大仙女
千万不要再出事了,1分钟前 来自网页    ,0,Licannnn
你给钱搞些明星说自己患精神病，关我什么事？我不是。你是不是有病，冤枉我进过精神病医院和吃了一段时间精神病药。药是三分毒，而且搞人中区神经的药，整傻人？我够傻的了，工作认识到你这种坏人，把我害得那么惨，事实告诉我从来没有认识过你。请你走！不要再害我了，我们真的不认识的，认识都不会这,1分钟前 来自网页    ,0,乖乖熊la
啊啊啊啊啊！姐姐要好好的啊,1分钟前 来自网页    ,0,我好想吃炸鸡啊啊啊啊
啊啊啊啊啊！姐姐要好好的啊,1分钟前 来自网页    ,0,我好想吃炸鸡啊啊啊啊
泫雅一起在4m时候就很努力,1分钟前 来自网页    ,0,茆茆的星球
泫雅一起在4m时候就很努力,1分钟前 来自网页    ,0,茆茆的星球
好好的泫雅，切拜！,1分钟前 来自网页    ,0,SevenClam7
说句实话，虽然我不是她的粉为什么我对这个事不意外？,1分钟前 来自网页    ,0,青舟w
加油＾０＾~,1分钟前 来自网页    ,0,阳光小博辉
好好的泫雅，切拜！,1分钟前 来自网页    ,0,SevenClam7
说句实话，虽然我不是她的粉为什么我对这个事不意外？,1分钟前 来自网页    ,0,青舟w
加油＾０＾~,1分钟前 来自网页    ,0,阳光小博辉
欧尼我们一直在欧尼要好好的啊,1分钟前 来自网页    ,0,是哥哥的十六鸭
自从雪梨走了 我一直觉得 泫雅可能会重蹈覆辙 不论如何 希望小野马记得 我们一直爱你,2分钟前 来自网页    ,0,ShAnYI-LIu
姐姐要好好的啊,2分钟前 来自网页    ,0,千源凯1128
自从雪梨走了 我一直觉得 泫雅可能会重蹈覆辙 不论如何 希望小野马记得 我们一直爱你,2分钟前 来自网页    ,0,ShAnYI-LIu
姐姐要好好的啊,2分钟前 来自网页    ,0,千源凯1128
某些评论真恶毒  希望你们都有爹妈  做个人吧  真是有毒,2分钟前 来自网页    ,1,橖7大人
作为姐姐很多年的粉丝，想要好好保护我们马儿，她真的很努力很优秀，坦坦荡荡，因为她身上有很多人没有的，努力的姐姐，真的很心疼，喜欢她的美好，喜欢她软糯的语言。想要好好保护，如果不爱也真的不要伤害，2019年真的大家都很艰难，请好好爱一下别人吧,2分钟前 来自网页    ,0,鬼神哥哥的女票
作为姐姐很多年的粉丝，想要好好保护我们马儿，她真的很努力很优秀，坦坦荡荡，因为她身上有很多人没有的，努力的姐姐，真的很心疼，喜欢她的美好，喜欢她软糯的语言。想要好好保护，如果不爱也真的不要伤害，2019年真的大家都很艰难，请好好爱一下别人吧,2分钟前 来自网页    ,0,鬼神哥哥的女票
昨天刚看完Running Man泫雅那一期 我发现这个女生有点奇怪 （我之前没有关注过她觉得眼熟）然后去百度 看看有没有抑郁症什么的 结果没有 但是今天就说自己抑郁了 天哪 愿她慢慢走出来 一切安好,2分钟前 来自网页    ,0,EZJIEL
早日痊愈吧~好起来就又能享受梦想了,2分钟前 来自网页    ,0,一局游戏就精神喵
害真的别再出事了,2分钟前 来自网页    ,0,阿欣跟徐坤喝旺仔牛奶
卧槽 姐姐一定不能出事啊！！！,2分钟前 来自网页    ,0,TaoZiHanCheung
那些旁白，那些姿态，那些伤害。劝大家善良一点，对不了解的事情保持谦恭，不要用自以为是伤害到别人。做不到关心，也不要伤害。让抑郁症群体也努力爱上这个世界吧,2分钟前 来自网页    ,0,真实的是个妙人儿
不要想太多了，跟男票好好的过日子吧,2分钟前 来自网页    ,0,仪仪仪仪仪仪也
害真的别再出事了,2分钟前 来自网页    ,0,阿欣跟徐坤喝旺仔牛奶
卧槽 姐姐一定不能出事啊！！！,2分钟前 来自网页    ,0,TaoZiHanCheung
那些旁白，那些姿态，那些伤害。劝大家善良一点，对不了解的事情保持谦恭，不要用自以为是伤害到别人。做不到关心，也不要伤害。让抑郁症群体也努力爱上这个世界吧,2分钟前 来自网页    ,0,真实的是个妙人儿
不要想太多了，跟男票好好的过日子吧,2分钟前 来自网页    ,0,仪仪仪仪仪仪也
所以韩国娱乐圈还是人呆的地方吗？？？她这么美，男朋友感情也好。娱乐圈压力太大了！,2分钟前 来自网页    ,0,那就从今晚告别
要好好的啊,2分钟前 来自网页    ,0,_谁与争疯
为下一次韩国艺人出事进行预告！！,2分钟前 来自网页    ,0,Latwyuet14557
加油啊,2分钟前 来自网页    ,0,lang2333lty
要好好的啊,2分钟前 来自网页    ,0,_谁与争疯
为下一次韩国艺人出事进行预告！！,2分钟前 来自网页    ,0,Latwyuet14557
加油啊,2分钟前 来自网页    ,0,lang2333lty
希望好好的吧。。。,2分钟前 来自网页    ,0,殷闹闹的小情绪丶
归根究源还是韩国政治出了问题，高压的娱乐工业硬生生把人扭曲成跳舞机器，伪装成自以为是引领时尚潮流的国度，现在却又被自己养的羊反噬，再不改革韩国成也财阀败也财阀！,2分钟前 来自网页    ,0,荆楚舞王
生而为人，请善良些。无论说话和做事都要注意点。,2分钟前 来自网页    ,1,午后红茶les
生而为人，请善良些。无论说话和做事都要注意点。,2分钟前 来自网页    ,1,午后红茶les
超喜欢她的,2分钟前 来自网页    ,0,香港仁和体检医美HPV预约_kimy
别在出事了！,2分钟前 来自网页    ,0,noanoluka
别在出事了！,2分钟前 来自网页    ,0,noanoluka
欧尼加油！！！！不行，你要好起来，你要好好的，我们永远支持你，要好好吃药，热爱生活，让自己放松！！我爱你欧尼,2分钟前 来自网页    ,0,你的迷人小猪
别在出事了！,2分钟前 来自网页    ,0,noanoluka
欧尼加油！！！！不行，你要好起来，你要好好的，我们永远支持你，要好好吃药，热爱生活，让自己放松！！我爱你欧尼,2分钟前 来自网页    ,0,你的迷人小猪
天。。。泫雅加油啊！！顶住,2分钟前 来自网页    ,0,我不吃了啊啊啊
