comment,date,support_number,user,hateful
滴滴顺风车不在的日子里，简直是黑车司机的狂欢日,今天 15:39 来自网页,1026,北流小巧,0
真他妈搞笑，用刀杀人就找刀厂……,今天 15:26 来自网页,713,风清阳LL,0
出租车乱加价 不打表 坑外地游客， 能不能也管一下,36分钟前 来自网页,347,种草小屁猪,0
估计滴滴那些平台保护费交够了，又可以营业了,1分钟前 来自网页    ,0,touristui6801057134,0
感觉什么都是 浙江卫视杀人台 买的热搜,1分钟前 来自网页    ,0,精分女孩的日常o3o,0
用来了出行啊，方便又安全，嘿嘿,1分钟前 来自网页    ,0,JOBE-,0
司机的合法权益呢？我还想有时候长途赚个邮费呢,2分钟前 来自网页    ,0,安安静静祈祷中,0
球球了 春节前上线吧 回家是真滴难,2分钟前 来自网页    ,0,毛絨溫柔乡-,0
还挺期待的，整改后应该安全性更好了，但是任何平台任何公司都不能保证绝对安全的吧，人性难懂啊,2分钟前 来自网页    ,1,花容不可失色,0
第四点滴滴学会了吗？,3分钟前 来自网页    ,0,美墨边境墙砌筑工,0
顺风车杀人了，起码人还能找到。要是换成出租车或者黑车，你都不知道这回事,3分钟前 来自网页    ,0,My任先生,0
出租车该管一管了,3分钟前 来自网页    ,0,2019你好你好,0
太好了,3分钟前 来自网页    ,0,小鱼妹历险记,0
要是出人命，运营公司要坐牢，绝逼没人敢开，开了投诉处理绝逼快得一批,4分钟前 来自网页    ,0,或许了个许多,0
有问题的时候大家就算恢复还是有很多坏人隐藏啊……,4分钟前 来自网页    ,0,蘑菇童鞋吖,0
女性还是不要晚上单独坐车！最好有人接！防不住有些人临时起歹意的！,4分钟前 来自网页    ,0,jenny敏酱,0
嘀嗒属实不行，连续放我两次鸽子,4分钟前 来自网页    ,0,木木山久丰,0
出租车都黑到什么程度了，出租车都不管，管一个带来改变的民企,4分钟前 来自网页    ,0,FM-0113,0
终于，支持，现在快车和拼车都一个价,4分钟前 来自网页    ,0,Fiona-Cc,0
现在拼车要等起码25分钟,4分钟前 来自网页    ,0,我的室友叫球球,0
第五，顺风车价格不能低了，不能影响其他运营商盈利,4分钟前 来自网页    ,1,小莫-----,0
怎么不管管出租车🚕呢,5分钟前 来自网页    ,0,开开灬关关,0
不贪污也是当官的底线，结果呢？人的性格品性靠自己，主观能动性别人是管不了的，针对滴滴没意义,5分钟前 来自网页    ,0,难述你,0
那个哈啰，麻痹的单价跟司机到手价格差不多了，,5分钟前 来自网页    ,0,1种潇洒,0
顺风车 不会又有漏洞,5分钟前 来自网页    ,0,蘑菇童鞋吖,0
滴滴上线，最头疼就是滴答了,5分钟前 来自网页    ,0,你的瞳孔日暮途穷,0
滴滴可以的，没滴滴不方便,5分钟前 来自网页    ,0,煜1234588,0
这不一样，类比不正确，当时是因为滴滴方面处理不当才导致事件更加恶化，非要这么类比，那是刀场把刀租给屠夫，有顾客投诉屠夫用刀要杀人，刀场没有处理，并且在屠夫杀了人以后推诿责任，不及时给警方提供屠夫线索,6分钟前 来自网页    ,1,J-7xking,0
滴滴快车老是绕远路，而且他们都说是软件推荐走的路线。。。,6分钟前 来自网页    ,1,佛系吖琪,0
其实没有滴滴，打黑车更危险。滴滴定位、实名认证，既可以相对保护乘客也可以保护司机。,6分钟前 来自网页    ,0,凌晨三点的LosAngeles,0
滴滴可以重新上線，人卻不可以重新回來,7分钟前 来自网页    ,0,-酒桃-,0
出租车司机什么时候能管管呢？,7分钟前 来自网页    ,0,少年轻狂-青年放荡,0
 老婆...你看评论,7分钟前 来自网页    ,0,林鑫sam,0
网友是真他妈的牛皮，说下架的也是那一波人，说恢复的还是那一波人,7分钟前 来自网页    ,2,ttylllG,0
这个不算非法营运？,7分钟前 来自网页    ,0,后迈的小脚,0
滴滴必须整改，但不应下架,7分钟前 来自网页    ,1,栾栾栾洪旭,0
请整顿出租车行业，别说辛苦，有些司机确实胃口很大再不整顿，出租车行业只能这样了。,7分钟前 来自网页    ,0,苏苏你去哪,0
我有一次手机丢在滴滴出租车上了 找回来了,8分钟前 来自网页    ,0,爱汶瀚宝贝,0
难道谴责的不是滴滴当时的处理问题的态度吗？,8分钟前 来自网页    ,0,昏暗年岁,0
出租车司机还有坏人呢，也很乱，怎么不管，,9分钟前 来自网页    ,0,小眼睛Chener,0
没有顺丰车都很少回家了,9分钟前 来自网页    ,0,噜噜真可爱,0
希望更加规范的上线,9分钟前 来自网页    ,0,波波-艿瓶,0
滴滴一直可以用啊哪里停过,10分钟前 来自网页    ,0,double艳,0
讲真，滴滴真的很不错，方便其实也很安全，而且服务都很好,10分钟前 来自网页    ,0,骑着摩托的小兔崽崽,0
滴滴现在也越来越坑了,10分钟前 来自网页    ,0,柠檬酸sln,0
刀本来是切菜的！可是有人拿去杀人！这不是刀的错！,10分钟前 来自网页    ,0,苦苦de糖,0
说起来就好笑，昨天搭哈啰顺风车，车主是福建莆田人，接了我之后，又接别人，平台没有拼座，我就和他理论，他居然说，我等不起坐不起就不要搭顺风车，那你为什么来开顺风车，真是睿智,10分钟前 来自网页    ,0,福建潘瑋柏,0
希望滴滴能监管到位吧别再出事了,10分钟前 来自网页    ,0,LCCH,0
等着受害者的出现,10分钟前 来自网页    ,0,花容月貌我见犹怜,0
管理到位就行了,10分钟前 来自网页    ,0,啦啦啦啦呼呼呼啦啦,0
顺风车真的很方便也很省钱 怎么说呢 司机也就是人本质问题真的没法控制 平台难 但是希望重新上线能更好吧,11分钟前 来自网页    ,0,貓不可及,0
