comment,date,support_number,user,hateful
一个违法还藐视法律的人，他哪儿来的堂堂正正坦坦荡荡?支持维权！,今天 09:58 来自网页,3521,萍姐姐521,0
被告梁坤 经常散布虚构事实引导网友误解无辜艺人并进行人身攻击侮辱人格肆意诽谤和恶意谩骂 洗白校园暴力 甚至人.肉素人粉丝 最可笑的是在法庭当庭宣判被告败诉后其依然拒不承认错误 蔑视践踏法律 无知无耻且可怕 ,今天 09:59 来自网页,1952,星星的愿望-L,0
互联网并非法外之地，要为自己的言行负责！抵制造谣传谣与恶意攻击！支持张艺兴维权！,今天 09:59 来自网页,1433,兴臣_Xback,0
如此不知悔改的公然违反法律底线的人，赔款已经不足以给与惩戒了。希望加强法律力度，大力惩戒违法分子，肃清不良网络风气。,1分钟前 来自网页    ,1,修止符不休止,0
邪教组织,1分钟前 来自网页    ,1,夕暮天青,0
我觉得先不管张艺兴品行怎么样 像这种每天开个号以黑其他明星为生的博主本身价值观就有问题 以侧面反应出了这些博主的黑暗面,1分钟前 来自网页    ,0,Adorewuliting,0
坦坦荡荡？简直就是放屁,1分钟前 来自网页    ,1,喻雅潼,0
侮辱了坦坦荡荡这么好的词,1分钟前 来自网页    ,0,雪拥蓝关到轮台,0
有脸吗,1分钟前 来自网页    ,1,小羊追梦日记,0
令人作呕,2分钟前 来自网页    ,1,小羊追梦日记,0
互联网并非法外之地，要为自己的言行负责！抵制造谣传谣与恶意攻击！支持张艺兴维权！,2分钟前 来自网页    ,1,步步生莲华x,0
！！有脸说坦坦荡荡？？？,2分钟前 来自网页    ,0,我知道他是LAY阿,0
一路人真看不下去这种每次追着别人黑的人，他们一天就这么嫌吗？现实生活中到底有多阴暗，你不喜欢某个明星了就别关注他了呗，不喜欢还关注真的是病的不轻,2分钟前 来自网页    ,0,我一点也不暴躁,0
 公然蔑视法律的人有什么坦坦荡荡的,2分钟前 来自网页    ,0,因为你x2017,0
这种人的微博为什么没有禁止使用,2分钟前 来自网页    ,0,以木成梦,0
有个好朋友真爱粉，潜移默化受到了很大熏陶，觉得确实是个努力的很好的很可爱优秀的男孩子 再看了这个猩妃还有评论最高赞的那个人，我就想这都什么玩意什么脑子........我看了哈哈哈哈哈一天到晚闲的没事干 还有最高赞那个真是一怂包哈哈哈哈哈哈，评论不敢开就算了，还说“反弹”哈哈哈一年级豆包吗,2分钟前 来自网页    ,0,亮晶晶的Kathy,0
那些人真的太恐怖了,3分钟前 来自网页    ,0,芝士绵绵冰_,0
别触碰法律的边界，别触犯道德的边界。干干净净获利，坦坦荡荡人生。,3分钟前 来自网页    ,0,后来时间里,0
好意思说自己堂堂正正,4分钟前 来自网页    ,0,一朝风月一孤城,0
以前看过一个博主发意思就是嘲羊群众讨厌的其实并不是张艺兴，他们只是需要一个宣泄口去宣泄自己的情绪，张艺兴就是倒霉被盯上了。,4分钟前 来自网页    ,1,小米椒炒豌豆,0
对张艺兴无感觉，但是这样黑出口污秽辱骂，这人还坦坦荡荡，你坦荡倒是拿出你的证据让法院判你赢啊，真是把不要脸发挥到了极致,4分钟前 来自网页    ,0,上官蚨,0
坦坦荡荡的赔钱吧你 呸🤮 🤮,4分钟前 来自网页    ,0,肥橙肥橙大肥橙x,0
三观有问题的黑子 无脑黑,4分钟前 来自网页    ,0,庞肉肉的宝贝,0
我简直不敢相信，怎么会有这么无聊的人？路人问一句，张艺兴做错了什么？至于吗,4分钟前 来自网页    ,0,ClickABC,0
罚的太少了,4分钟前 来自网页    ,0,随笔23333,0
这个人三观很奇怪的 还有人顶他？一群深井冰,4分钟前 来自网页    ,0,海边的小蘑菇09,0
  看看吧，谁的孩子长期受到这种待遇父母不难过？发个微博不行？,5分钟前 来自网页    ,0,菜阿咩,0
张艺兴这么温柔阳光的男孩都有人骂,5分钟前 来自网页    ,1,严先森LY,0
我咋没看懂…,5分钟前 来自网页    ,0,鱼欢Dcy,0
顶！！,5分钟前 来自网页    ,0,爱小太阳的大安妮,0
活该,5分钟前 来自网页    ,0,如盖与蓁蓁,0
良心不会痛吗！！！她这是没有心呀！,5分钟前 来自网页    ,0,藤藤菜1995呀,0
就是有这样的一堆营销号，收了不知道谁的钱，只为黑，恬不知耻，希望这样的人都下十八层地狱,5分钟前 来自网页    ,0,飞飞鱼xc,0
去她微博  举报她,5分钟前 来自网页    ,0,爱追剧的壳壳,0
无端生事，诅咒一个一毛钱关系都没有的人，被告了败诉之后，还坦荡荡？？关键是评论一千多个都是心疼？抱抱？我都惊呆了。。。,6分钟前 来自网页    ,2,凉梦颠沛,0
我真服了这些人。都败诉了还有什么好说的？？？,6分钟前 来自网页    ,0,爱小太阳的大安妮,0
如同蛆虫一般，生活在阴暗里，散发着令人作呕的气味。,6分钟前 来自网页    ,0,158超小只,1
好像,6分钟前 来自网页    ,0,双目诡事,0
太可恶了，不喜欢一个人不关注不就行了，非得纠缠不放,6分钟前 来自网页    ,0,馋嘴的饭团,0
坦坦荡荡还被判？？？他是在质疑我国法律吗？还是直接抱怨法院？呵呵呵,6分钟前 来自网页    ,2,园钓,0
无知无耻的程度令人震惊,6分钟前 来自网页    ,0,星河映熠issing,0
顶顶顶,6分钟前 来自网页    ,0,爱你小分队,0
一个人真的是无聊到什么程度，这是精神有问题吧,6分钟前 来自网页    ,0,DIANDAWANG,0
她底下的评论都是小号。。,6分钟前 来自网页    ,1,噜噜噜噜鹿鸣,0
有本事开评论啊 不是坦坦荡荡吗 ,6分钟前 来自网页    ,0,Yool-Korea,0
主要是他们可能都没见过张艺兴吧，似乎杀父之仇一样，我不是很理解 为什么要这样攻击张  不浪费时间吗 天天没有事做吗,6分钟前 来自网页    ,0,夏天的十六度__,0
都是一群脑子不正常的人。还坦坦荡荡。连是非都分不清了，,7分钟前 来自网页    ,0,嗯65613,0
能不能接着打官司,7分钟前 来自网页    ,0,ShawChill,0
这些人脑子里都装了些什么啊？以恶意嘲讽别人为乐你日子是过得有多苦啊,7分钟前 来自网页    ,0,Lucky周小卷,0
道歉微博呢,7分钟前 来自网页    ,0,底层吃瓜,0
坦荡他妈呢,7分钟前 来自网页    ,0,N_nnnhl,0
真的不想用文明话骂他,7分钟前 来自网页    ,0,DIANDAWANG,0
一群傻帽，整天在娱乐圈撕来撕去，多关心点家人国家,7分钟前 来自网页    ,0,不可方思y,1
邪教,7分钟前 来自网页    ,0,A榴莲榴莲,0
这些黑子都得去看病 有病就得治,7分钟前 来自网页    ,0,马佳今天想我了没,0
他应该坐牢  法律还是不够严格,8分钟前 来自网页    ,0,懒人vs自尊,0
支持维权[加油],8分钟前 来自网页    ,0,木木YaL,0
没有认识到错误，支持再告,8分钟前 来自网页    ,0,飞飞鱼xc,0
不是每个人都有妈妈,8分钟前 来自网页    ,0,生雾x,0
举报,8分钟前 来自网页    ,0,王暖暖L,0
毫无道德底线,8分钟前 来自网页    ,0,最萌Max,0
您就坦坦荡荡的等着案底吧,8分钟前 来自网页    ,0,LLLLLZZZZXXX,0
更可怕的是，她的微博下面评论全是，心疼妃妃，抱抱妃妃，妃妃辛苦了？！,8分钟前 来自网页    ,0,喜欢的昵称太抢手,0
这种人就应该原地爆炸,9分钟前 来自网页    ,0,逼数都去哪儿了,0
公然蔑视法律无视法律,9分钟前 来自网页    ,0,Dinosaur-X,0
网络不是法外之地要对自己的言行负责！,9分钟前 来自网页    ,0,小张的Adam,0
这谁啊？,10分钟前 来自网页    ,0,大乐乐的美人誌,0
这是什么垃圾,10分钟前 来自网页    ,0,A超钟意你,0
你是没见过 🌟的粉丝怎么骂人的,10分钟前 来自网页    ,0,冯二狗的洋柿子2014,0
支持维权,10分钟前 来自网页    ,0,旧雨浅眠der,0
希望她也收到网络暴力,10分钟前 来自网页    ,0,胡艳群吖_qzx,0
我不明白为什么猩妃微博下没人去骂,10分钟前 来自网页    ,0,祝我有好眠,0
为什么这人微博下面全是，支持的评论？？？鞋教吗？还是买的,10分钟前 来自网页    ,1,海螺姑娘不喜欢海,0
你们怎么不去它微博下骂？它说它坦坦荡荡呢,10分钟前 来自网页    ,0,YooLana,0
这种人，叫死猪不怕开水烫,10分钟前 来自网页    ,0,华叶落尽脉络初现,0
