comment,date,support_number,user
思聪有难 老婆解散,11月22日 11:36 来自网页,686,行为艺术bo
和国家抢项目，资产大量转移到国外,11月22日 11:38 来自网页,469,卖不出东西的阿卖
小姐姐们站在十字路口 露出了迷茫的眼神,11月22日 11:37 来自网页,230,子绾
意思是生意亏大了？,11月23日 11:12 来自网页    ,0,marukojp
该!去年这个时候他是快乐源泉，今年还是!,11月23日 10:18 来自网页    ,0,2222XMwBS
我们老王家落寞了,11月23日 10:10 来自网页    ,0,Galaxy_Rou
查的好！,11月23日 08:56 来自网页    ,0,Leo_Young924
思聪，快出来还钱。,11月23日 04:00 来自网页    ,1,9甜了个甜
做个平凡人真好,11月23日 02:55 来自网页    ,0,ttRi
说的跟真的一样,11月23日 02:55 来自网页    ,0,ttRi
感觉他这个事，不是表面这么小的事，背后应该有更复杂的事。要不然不可能这么点小事，欠点钱闹得沸沸扬扬。,11月23日 02:46 来自网页    ,0,LM7230
少报道一点某个明星今天吃什么饭了，明天跟谁睡觉了，后天又穿什么衣服了……之类的“新闻”，少传播一点某个房地产商的歪理斜说，少报或不报道房地产商的儿子谈女朋友换女朋友如换衣服一样的“新闻”到底对国家对民族会有什么重大损失吗？难道中国人民真的已经到了都吃饱饭没事干了，需要我们的媒体大,11月22日 18:41 来自网页    ,0,何学林中国策划第一人
对我也觉得这个法官很高兴😂 😂 😂 满脸笑意,11月22日 18:41 来自网页    ,1,一颗大仙女
该,11月22日 17:57 来自网页    ,0,Mr丶D浩
所以资本主义国家有钱了就搞政治,11月22日 17:56 来自网页    ,0,sunshine-向阳花
风水轮流转，好日子结束了。,11月22日 17:51 来自网页    ,0,卡布琦诺_Qi
报应,11月22日 17:51 来自网页    ,0,9898靖公主
王健林之前和国家抢项目，恐怕也难混哟,11月22日 17:50 来自网页    ,0,超冻战神
他要是还得起早就还了，这种新闻爆出来会严重影响公司股价,11月22日 17:34 来自网页    ,1,绝不再吃螺蛳粉
老公长老公短老公出事又不管,11月22日 17:29 来自网页    ,1,Arthur_云淡风轻
有钱仼性，不怕。,11月22日 17:28 来自网页    ,0,梦想6086363607
雅蠛蝶,11月22日 17:22 来自网页    ,0,匠道道
应该有人在搞他，要么不来，一出事，事事都来，这不太巧了吧。,11月22日 17:21 来自网页    ,0,肚肚的小时光
难得王思聪不上娱乐新闻居然是因为这个,11月22日 17:19 来自网页    ,1,御风剑心
被执行人、都是有能力的人、 吃瓜群众你想被执行都没这个格；,11月22日 17:15 来自网页    ,1,JC利佛莫尔
他怎么了,11月22日 17:13 来自网页    ,0,CherryYum
所以到底发生了什么？,11月22日 17:13 来自网页    ,0,x-白凉
舒服了,11月22日 17:10 来自网页    ,0,欲度千秋雪
他怎么了,11月22日 17:08 来自网页    ,0,小仙女姐姐好美呀
转发微博,11月22日 17:07 来自网页    ,0,信用观察
总的是苹果电脑,11月22日 17:07 来自网页    ,1,波微Eric
老公长老公短，老公有难老婆散,11月22日 16:56 来自网页    ,0,心动王叮叮
国家?国家指的是那个大boss?,11月22日 16:55 来自网页    ,6,红白黑ding
这次的事情大了,11月22日 16:55 来自网页    ,0,我是布丁姐姐啊啊啊啊
巨贪们的故事能有这样的视频，那才叫一个蓝天白云,11月22日 16:52 来自网页    ,0,ZHU你快乐42101
这都不叫事,11月22日 16:51 来自网页    ,0,成都纹身拾间刺青
这都不是月薪两三千该操心的事,11月22日 16:46 来自网页    ,0,抹茶迷妹yoyo
他还有他爸,11月22日 16:45 来自网页    ,0,小小小思楠
哈哈想笑,11月22日 16:43 来自网页    ,0,夏天的冬瓜YY
这是被人整了？,11月22日 16:42 来自网页    ,0,小世界是大成都
这次的事情大了,11月22日 16:39 来自网页    ,0,我是布丁姐姐啊啊啊啊
害，当时一口一个老公的，咋了 老公出事了 你们这群王夫人也跑路啦？,11月22日 16:37 来自网页    ,1,搬砖的1eo
有点吓人,11月22日 16:37 来自网页    ,0,StarsinSummerNight
感觉他在憋笑…,11月22日 16:33 来自网页    ,0,冬闹啊
怎么看都觉得老王是被抢劫了,11月22日 16:25 来自网页    ,1,yuanDgaguo
他有钱时捧他的人，现在开始嘲了；叫他老公的人现在叫他老赖了；转他抽奖微博的人在落井下石；喊‘IG牛逼’的逐渐沉默；用他吃热狗情头的估计早就换了。撕葱还是撕葱，不过是人心变得快，捧高踩低真的挺简单，也很容易获得高潮，口嗨爽爆了吧？,11月22日 16:21 来自网页    ,17,低水暗
他应该是真的凉了。都依法上报财产情况了，不可能有钱不还债。,11月22日 16:21 来自网页    ,0,Crijfdkokdsscniooddfnkryb
老公长，老公短，老公出事又不管。,11月22日 16:20 来自网页    ,2,吕哥说北京
 那些前女友也不来帮忙捐个款啥的,11月22日 16:16 来自网页    ,0,Seraphic小面包
谁都有困难的时候，谁这辈子都不会一帆风顺！你们这样好嘛,11月22日 16:12 来自网页    ,2,美亚加宝Railey
活该,11月22日 16:11 来自网页    ,0,棉麻世家5875972937
被撕葱了,11月22日 16:10 来自网页    ,0,苏三那女装发布ing
小姐姐们站在十字路口 露出了迷茫的眼神,11月22日 16:09 来自网页    ,1,M李赞彬M
不懂就问，王思聪到底干啥了，为啥都怼他啊,11月22日 16:09 来自网页    ,3,柏浪涛的小迷妹
自身难保,11月22日 16:08 来自网页    ,0,柳生研
王总请记住这些人,11月22日 16:08 来自网页    ,1,晨望小汤圆
这些富人也没有安全感啊，资产被共产,11月22日 16:05 来自网页    ,1,橙红年代·刘子光
舒服了,11月22日 16:03 来自网页    ,0,蓝公主今天过生日吗
所以他是犯了什么罪呢？,11月22日 16:02 来自网页    ,0,健康幸福快乐到永远
这是不愿意还而不是没钱还吧,11月22日 15:59 来自网页    ,0,WhIt3-5h
老公长，老公短，老公出事又不管,11月22日 15:57 来自网页    ,0,-豫宛人-
涉案不上网，上网不涉案啦。亲你看手机看的什么啊？,11月22日 15:55 来自网页    ,1,峰哥家的莎姐
所以。。。复婚申请没有男方回应 所以决定不复婚了？？,11月22日 15:54 来自网页    ,0,星座秘术
王思聪发生啥事了啊为啥都封了？,11月22日 15:54 来自网页    ,0,木然不打call
这种官司用的着视频都放出来 哈哈 干啥别太明显了 要搞人家你们稍微像一点 又要搞那一套 先把名声搞臭在下手,11月22日 15:51 来自网页    ,0,我的温暖似太阳i
人啊站错位置。全部倒塌,11月22日 15:47 来自网页    ,1,请叫我白付清
老婆们，你家老公有难了，回家帮忙啊,11月22日 15:47 来自网页    ,0,爱的初体验198311
这个讲话的人长的有点像关晓彤老爸,11月22日 15:46 来自网页    ,1,风筒FT
舒服了吗,11月22日 15:45 来自网页    ,0,shu服了
