comment,date,support_number,user,hateful
这才是我们高危职业的人民英雄，一路走好,今天 15:01 来自网页,60658,伊贤,0
明星永远不是高危行业 军人才是,今天 15:01 来自网页,46375,东浩君,0
英雄一路走好,1分钟前 来自网页    ,0,亚当摆摆,0
看到网友这么三观这么正我就放心。,1分钟前 来自网页    ,0,莫愁不放弃,0
追念,1分钟前 来自网页    ,0,樱桃果冻冻,0
惋惜,1分钟前 来自网页    ,0,索性完美,0
感恩有您,1分钟前 来自网页    ,0,这个夏天因为你们,0
才23岁的兵哥哥,1分钟前 来自网页    ,0,你的姜兄dei,0
一路走好,1分钟前 来自网页    ,0,想要一个泰勒,0
好帅的兵哥哥，这么年轻就献出了生命，太可惜！,1分钟前 来自网页    ,0,而我酝酿情绪举杯引醉意,0
英雄一路走好,1分钟前 来自网页    ,0,喜欢仙子wawawa,0
英雄一路走好,1分钟前 来自网页    ,0,A106405,0
孩子！一路走好！,1分钟前 来自网页    ,0,勇敢的一朵野花,0
这才是应该是国人关注的点，而不是娱乐圈的动态，娱乐圈那只能让人对对生活产生迷茫的地方。。,1分钟前 来自网页    ,0,何秀庚,0
英雄，一路走好,1分钟前 来自网页    ,0,等不到的永远在挽救,0
一路走好,1分钟前 来自网页    ,0,FSH1113,0
明明是染上了性病,2分钟前 来自网页    ,1,QingChongzzz,0
致敬英雄,2分钟前 来自网页    ,0,菓菓July,0
一路走好,2分钟前 来自网页    ,0,我只是肉多多darling,0
谢谢你守护我们,2分钟前 来自网页    ,0,简单生活baby-537,0
致敬英雄,2分钟前 来自网页    ,0,Caroline_cgh,0
走好，英雄,2分钟前 来自网页    ,0,飘洋过海来看丽,0
您辛苦了，一路走好。,2分钟前 来自网页    ,0,男婿aaa,0
时代的英雄，这才是应该被关注的人！,2分钟前 来自网页    ,0,洛洛噜啦啦啦,0
这才是应该霸占热搜的事儿 是个人去世了都有悲伤感 那些网络喷子在网络上卖同情心， 麻烦你们去当地的火化场看看吧，那里才是真的心痛。真的哭泣。,2分钟前 来自网页    ,0,冷冷浅浅h,0
一路走好,2分钟前 来自网页    ,0,特别废话,0
每次看这种新闻，总是想哭,2分钟前 来自网页    ,0,小小yummy,0
可惜啊，不就就过生日了,2分钟前 来自网页    ,0,骆驼峰里的骆驼,0
英雄一路走好,3分钟前 来自网页    ,0,梓莘ivy,0
同志一路走好,3分钟前 来自网页    ,0,fairy朵朵,0
这么年轻的生命,3分钟前 来自网页    ,0,君子兰asdfgh141022,0
23岁，多好的年纪啊!心痛,3分钟前 来自网页    ,0,熊孩子的红太郎妈妈,0
开始降热搜了？？,3分钟前 来自网页    ,1,范范是个什么仙女,0
那么年轻啊,3分钟前 来自网页    ,0,爷我今儿高兴,0
