comment,date,support_number,user,hateful
自由美利坚，枪击每一天,今天 20:18 来自网页,2519,吃酸bot,0
我一句话说很多遍我真的很累的！,今天 20:18 来自网页,1009,我想取一个很长滴名字,0
美丽风景线,今天 20:18 来自网页,867,尤宝er,0
美国真美丽,1分钟前 来自网页    ,0,宝宝是猴子09,0
美国强大天天经受锻炼。,1分钟前 来自网页    ,0,幸运女神关照的男人,0
快乐美利坚，核平每一天。,2分钟前 来自网页    ,1,夷陵好腰-,0
恭喜自由的意志越来越坚定，因为你们如此自由和民主的统治，贵国的人民一定非常幸福安定。不像我们，我们这里没有枪支带来愉快的音乐声，我感觉生活都没有意义了那,3分钟前 来自网页    ,0,寄生离群82684,0
这都能上热搜，国家为了让人民厌美真是不惜余力啊，一个禁枪的国家的人民去嘲笑一个可以合法持枪的国家枪击案,3分钟前 来自网页    ,0,川川的司马脸,0
快，出一个美国枪支杀人调查报告，再出一个关于严禁美国私人拥有枪支的法案。,3分钟前 来自网页    ,0,唐小琬,0
深圳发来贺电,3分钟前 来自网页    ,0,你学姐nini,0
新奥尔良烤翅,3分钟前 来自网页    ,0,嫌隙自省,0
看累了，这国💊,4分钟前 来自网页    ,0,Hhyxly,0
美丽美丽风景线,4分钟前 来自网页    ,0,你学姐nini,0
希望朋友一直平安,4分钟前 来自网页    ,0,知行合yiiii,0
去美国睡觉枕头底下放把枪,4分钟前 来自网页    ,0,幸福胜迹,0
"每日一案，可不可以给我们吐槽大众一天的休息时间，""自由""的土地上风景线好多。",5分钟前 来自网页    ,0,小李鱼是鱼,0
皿煮的枪声，自由的枪声,5分钟前 来自网页    ,0,月夜不二巫,1
这样美丽的风景线，哈哈😄,5分钟前 来自网页    ,0,妾浴偷香,0
美丽风景,6分钟前 来自网页    ,0,jkling197,0
生的自由，死的随机,6分钟前 来自网页    ,0,Msoucient,0
美丽,6分钟前 来自网页    ,0,不吃晚饭很酷啊,0
终于知道美帝为什么要法律限制堕胎了，要是不限制，国内人口实在是不够挨枪子儿的,7分钟前 来自网页    ,0,c-joker-c,0
皿煮国家的美丽风景线,7分钟前 来自网页    ,0,可长点儿心吧,1
这是民主与自由的提现,8分钟前 来自网页    ,0,放羊地辛辛,0
严重关切美利坚人权 建议出台人权法案,8分钟前 来自网页    ,0,鋒舞飄雪,0
美丽风景线,8分钟前 来自网页    ,0,-五分之六-,0
FREE USA !!,9分钟前 来自网页    ,0,感冒药里安眠,0
打响了争取自由的加特林,9分钟前 来自网页    ,0,c-joker-c,0
对美国~我真是说不出一句好听的话！算了，不评论了！……………自作自受！活该,9分钟前 来自网页    ,0,88妙不可言88,0
开抢开的好👍，来个万人开枪大战,10分钟前 来自网页    ,0,初与Zzz,0
美国枪击问题一向严重， 人生安全有时候不太受保障。,10分钟前 来自网页    ,0,数据虫DataGeek,0
新奥尔良……吃货可能只能想到鸡腿堡,11分钟前 来自网页    ,0,塔塔yu_,0
看到美国又多了一条风景线，我就忍不住想点赞,12分钟前 来自网页    ,0,M_小洋儿,0
又是一道靓丽的风景线,13分钟前 来自网页    ,0,张文远l,0
我还在吃新奥尔良烤翅呢,13分钟前 来自网页    ,0,没有呼吸的青春,0
中国都是掏手机,13分钟前 来自网页    ,0,一瞬世间,0
靓丽风景线,14分钟前 来自网页    ,0,L涛子,0
居然没死人，太遗憾了,14分钟前 来自网页    ,0,当时明月在81,0
不够民主，美丽的风景线,14分钟前 来自网页    ,0,不懂_irerror,0
希望靓丽的风景线在美国越来越多,16分钟前 来自网页    ,0,史蒂芬升,0
美丽风景线多来点,17分钟前 来自网页    ,0,初学者的阳光,0
nice,17分钟前 来自网页    ,0,Vsenboi,0
三亿人的枪战梦想,18分钟前 来自网页    ,0,咦我嘞乖乖啊,0
美麗風景線,18分钟前 来自网页    ,0,_Doachen,0
美国的枪击案像交通事故一样普遍！,18分钟前 来自网页    ,0,虚拟的十七岁,0
这就是美国强调的自由！,18分钟前 来自网页    ,0,莉莉5995610544,0
美国开国元勋富兰克林说：“如果政府无力控制官员的腐败，人民就有权利暗杀掉腐败的官员！” 美国宪法规定：“人民有权拥有枪支， 当一个政府变得贪腐时，你就有权利拿起枪支去推翻它！”美国国会不颁布禁枪法令，是在执行宪法！,19分钟前 来自网页    ,0,CoffeeLam,0
美丽的风景线,20分钟前 来自网页    ,0,少女的美食,0
美丽的风景线，希望在美国遍地开花！,20分钟前 来自网页    ,0,Ayishiruchu,0
美国说这是恐怖主义 和中国不一样 中国是民族的压迫 这样的话我们把压迫的人民送到美国吧 毕竟你想做什么样的人是通过自己决定的 我想做一个维护中国的中国人 你想做一个维护美国的和平者 那你可以去美国 中国不欢迎不爱国的你,21分钟前 来自网页    ,1,唯一199904,0
打的好，打的太少,21分钟前 来自网页    ,0,我的名字张小张,0
nice,22分钟前 来自网页    ,0,是Samuel_,0
原来皿煮国家还可以真人真枪gta呀,22分钟前 来自网页    ,0,香港记者和黑框眼镜,1
枪支自由的后果,22分钟前 来自网页    ,0,莎萝莉娅,0
风景线越多越好,23分钟前 来自网页    ,0,ping_ping_Y,0
枪又一次先动手了！,23分钟前 来自网页    ,0,快乐的艾米莉,0
: 一个政府官员站台，财政局入股，已经运营6年，连续14次合规旳拓道金服竞是一场大骗局，诈骗了我们数10亿，一分不还，一夜之间数万家庭一辈子的血汗钱被洗劫一空，百姓们生活都要崩溃了，望上级领导予以重视，严查此案，严惩诈骗犯，定为恶性诈骗罪，追讨资金，还老百姓一个公道。为什,23分钟前 来自网页    ,0,山清水秀PK,0
马上召集全村村民开个会，通过一下《新奥尔良州独立法案》,24分钟前 来自网页    ,1,腾腾伊藤以藤腾,0
害 风景线不来了吗,24分钟前 来自网页    ,0,吃我一勺乙酰水杨酸,0
美丽的风景线,24分钟前 来自网页    ,0,你又没多特别,0
究竟是什么原因，逼得自己的人民拿起了枪支？？？！！！ 这个社会怎么了？我陷入了沉思，一定是制度的原因吧！唉！,24分钟前 来自网页    ,0,自由的老石匠,0
好！！！,24分钟前 来自网页    ,0,Barbarian王子,0
