comment,date,support_number,user
还在直播里假装发信息不经意间让念出来，挺熟练嘛，去参加演员请就位啊,11月25日 10:34 来自网页,17065,Misaya若风
你们都不玩 那为什么不换你？,11月25日 10:35 来自网页,48147,o蛋仔
反正你做这事就是不厚道，让别人准备又不让别人上？？？你就这么diao？？？就你是WE队长？？？ALUKA不是？？？,11月25日 10:34 来自网页,23886,Henkel1
以为4am的粉丝没人挺我鲁哥了吗,3分钟前 来自网页    ,0,团长向我开炮丶
是老婆不好玩还是饼子不好吃。你这么牛怎么不喷校长，,4分钟前 来自网页    ,0,奥迪迪奥奥利奥2
真以为4am没人挺阿鲁了呗,4分钟前 来自网页    ,0,团长向我开炮丶
还不退赛？有脸打下去？,6分钟前 来自网页    ,0,tjtjtjtjtjt
我就想问问能否把自己换了,8分钟前 来自网页    ,0,yfutyjyj
说实话，可以理解若风，若风不是想赢，只是想做到4/6或者5/5开，说到底，赢了有什么荣誉呢？娱乐赛难道若风不懂？退一步说，私信阿鲁卡说换人是不太好的，应该大家开个会一起说，这样对内是透明的，对外也能说得过去，都是老队友了，对内统一意见很难吗！,17分钟前 来自网页    ,0,Dodo_Hao
 这里宝猪,24分钟前 来自网页    ,0,你是哪颗星x
以前还觉得 你挺好的   没想到人品是这样的   本来就是娱乐项目   那么想赢   你怎么退役了？,27分钟前 来自网页    ,1,不肯陪伴何必给我习惯
你水平也菜，你也别上了呗,27分钟前 来自网页    ,0,亨伯特的亨伯特
本就是娱乐赛穷讲究,28分钟前 来自网页    ,0,cOc令爷
这条删不了 大明星要人气的 花了这么多钱 不能白炒作啊,30分钟前 来自网页    ,0,manger6485191775
明天组队喷若风的有没有，带我一个,32分钟前 来自网页    ,0,尼古拉斯丶二踢脚
不喜欢你，太装！道歉都不真诚,37分钟前 来自网页    ,0,丸子i_baby
为啥不把你换了呀？巅峰的时候退役卖肉松饼，娱乐赛想赢？,46分钟前 来自网页    ,0,填写不进去的昵称
你是核心玩家吗,47分钟前 来自网页    ,0,12bh8
若畜,49分钟前 来自网页    ,1,woquleooooooo
垃圾狗,52分钟前 来自网页    ,0,双眼皮李荣浩
有病，得治。最好把脑子换掉,52分钟前 来自网页    ,0,GcsTK
这种事情能少了祖安玩家吗？自己菜，退位让贤不行？慷他人之慨？？？,52分钟前 来自网页    ,0,小黄不很黄
若不群,56分钟前 来自网页    ,0,zlk6662018
说实话如果是领导要换人的话这样换人说话真的挺客气的了。。其他的换就换了吧，人家自己的比赛，我们只是观众，世界赛上面中途换人也不是我们能批判的，但是还是觉得风哥应该大度一点没必要跟计较别人说自己的婚姻,56分钟前 来自网页    ,0,smallFox_Sunny
这个还不删？你在装你🐴呢若不群 赶紧爪巴 从此一生黑不解释,今天 19:54 来自网页    ,2,你微笑时好Me1
若风哥哥，一直很努力，我从未觉你错过，若风哥哥是最棒的！加油。,今天 19:46 来自网页    ,0,港岛妹妹你的蛋糕girl
若不群,今天 19:45 来自网页    ,0,哎呦喂爸爸心疼你
虽然另外一方也不是什么好东西，但是你是真的喜欢吸引仇恨,今天 19:44 来自网页    ,1,xxxxx4737
若风  不是老子说你  你就是太飘了  Aluka他不香还是怎么了 长个大鼻子 能耐了 ,今天 19:38 来自网页    ,1,乐子哥早日康复丶
听说你是微博王？,今天 19:38 来自网页    ,0,在你爸当中我是最优秀的
以前看你总被骂也不知道为什么，现在明白了,今天 19:36 来自网页    ,1,本田思域_220T
注意别让人带节奏,今天 19:34 来自网页    ,0,余生请指教肖战
原来你们之前没微信好友的啊 要换人家了才加的,今天 19:31 来自网页    ,1,毕节市热心网友
真的佩服你 稍微照顾好一点的理由吗 现在好了 这场比赛不论输赢 你都要被喷了,今天 19:18 来自网页    ,0,落沫小尘
真她妈是脑残若风,今天 19:14 来自网页    ,0,想平凡的遇见你
电竞岳不群,今天 19:13 来自网页    ,0,谁道镜花缘
好好道歉别买热搜啊,今天 19:12 来自网页    ,0,情森森雨萌萌94079
好幼稚,今天 19:09 来自网页    ,0,Sheshengrrrr
你以为你是谁？,今天 19:07 来自网页    ,1,爱上泡椒鸡蛋
所以 还是被换了嘛？,今天 19:07 来自网页    ,0,不败的诺言i
有一说一，若风这操作没什么毛病。传奇对抗赛不就是让观众重温当年的感觉吗，这一手操作就是告诉大家我还是当年那个若风,今天 19:06 来自网页    ,0,减肥中的大嘴
为什么不给卡子道歉呢？你造谣卡子聊你要离婚。结果真相是卡子帮忙澄清 你在节目说“我们一定会离婚是节目效果”，说你们很和睦，你诋毁卡子的事又不用提了吗，你伤害了卡子 心里不会难受吗❓,今天 18:59 来自网页    ,0,亚当斯密是你爹
有一说一👃🏻有他的不对，但是西卡直播口嗨人家私事离婚之类的过分了吧。,今天 18:56 来自网页    ,1,M_monsterR
看到你信息都烦,今天 18:53 来自网页    ,0,BbLcqc
