comment,date,support_number,user,hateful
CNN不来送一程吗,今天 09:20 来自网页,3173,大嘴发言人,0
不关心，还是关心高以翔吧,今天 09:15 来自网页,786,冈田有希子,0
什么充满活力，怀有梦想，偷渡还说得这么好听，偷渡是对本国和偷渡国家不负责任的行为，是犯法的，说难听点就是叛国，没追究责任都不错了。越南又没有战乱，没有饥荒，好好干不行吗？要出国用正当途径不行吗？,今天 09:23 来自网页,505,刘禅后人,0
蓝台真能作妖各种分散热度哦,1分钟前 来自网页    ,0,木槿Katie,0
到底是怎么死的啊？,2分钟前 来自网页    ,0,IN-Nihilism,0
我想问下，到底怎么死的,3分钟前 来自网页    ,0,__LLL10,0
都是为了更好的生活  逝者安息吧,4分钟前 来自网页    ,0,你的男友长安鸭,0
白猪记者们都哪里去啦。,4分钟前 来自网页    ,0,苏利大叔很快活,1
高以翔谁啊？？莫名其妙,4分钟前 来自网页    ,0,湖人一定要冠军啊60,0
不管他们是因为什么原因偷渡，没人应该这么死去,4分钟前 来自网页    ,0,btula_,0
乂安吧？,4分钟前 来自网页    ,0,柚子小柚子喵,0
他们是怎么遇难的 我看不懂,5分钟前 来自网页    ,0,老黄的肥猫,0
安息,6分钟前 来自网页    ,0,我是布丁姐姐啊啊啊啊,0
CNN BBC赶快下跪磕头吧,6分钟前 来自网页    ,0,候鸟的天空1314,0
英国还是可以的，跨国运尸体很贵,9分钟前 来自网页    ,0,森林里的绿色小鹿,0
无论是哪里人   他们都是生命,10分钟前 来自网页    ,0,我是布丁姐姐啊啊啊啊,0
评论中有的人的人刷新我的三观。生而为人，请你善良好吗,10分钟前 来自网页    ,0,马尔代夫海水蓝,0
越南，算是越南人，说明越南生活不易啊,11分钟前 来自网页    ,0,琪姐51,0
逝者安息,12分钟前 来自网页    ,0,当里个当呀,0
CNN、BBC一叩首,15分钟前 来自网页    ,0,小泽玛丽傲,0
一有点乱子，全世界喊话中国人！还以为中国是20.30年前为了出国不择手段呢！现在看了哪里都没中国安全！,16分钟前 来自网页    ,0,tkmxtdtwo,0
为什么会死呢,18分钟前 来自网页    ,0,yyl易,0
逝者安息🙏,19分钟前 来自网页    ,0,toby200688,0
所以还是感谢祖国强大了，大家都可以在国内通过自己的努力好好活下来。[加油][加油][加油],19分钟前 来自网页    ,0,一一一一只蜜蜂,0
