comment,date,support_number,user
泄漏个人信息，需要整治,今天 18:08 来自网页,7409,罗66的花路
我有必要查查我银行卡里的1块钱，,今天 18:08 来自网页,3751,追星有何感觉
这个普通人防不胜防吧，现在各种支付软件都在搞刷脸支付，高铁检票也是刷脸进站，让普通大众如何防范信息不被盗用太难了。这个应该是搜集或使用人脸数据的官方软件后台多加强防范措施吧。,今天 18:10 来自网页,3448,滚滚回家吃竹子呀
有必要查查我各银行的存款了,1分钟前 来自网页    ,0,热心市民ycw
平台要承担责任吗？,1分钟前 来自网页    ,0,嘟嘟嘴198311
那别人直播拍到我呢！我真的很不喜欢那些人直播的时候拍路人啊！,1分钟前 来自网页    ,0,苏嘉陌丶
还是父母他们那样好 把钱存卡里也不绑定什么的,2分钟前 来自网页    ,1,吴岘友
靠 以后拍个好看自拍真就不敢发了呗,2分钟前 来自网页    ,0,_BROKEN-DREAMS_
天呐～这样太不安全了,2分钟前 来自网页    ,0,金琰溪03021
太可怕了,2分钟前 来自网页    ,0,he紫烟
要脸不？,2分钟前 来自网页    ,0,Lee阴天快乐
这个也可以？以后出门要戴头套了嘛,2分钟前 来自网页    ,0,梦想只需要行动
这个就是…所以我那时候玩换脸软件只敢随便玩一下的原因,2分钟前 来自网页    ,0,一般模样负神明
回复 ,2分钟前 来自网页    ,0,月童川
经常想如果有些支付宝微信有很多钱的人被人绑架直接一个指纹所有的都可以打开了，一扫脸就什么都被转走了🙈️🙈️,2分钟前 来自网页    ,0,小妮子格格薇
 记不记得当时广播台还让拍来着，幸亏咱俩没有拍,2分钟前 来自网页    ,0,变好ll
大家想想平时评论里那些热评号 木子洋洋这种人的主页置顶，点进去就是类似算命啥的测试，其实就是在偷你的脸,3分钟前 来自网页    ,0,毛三
之前用zao那个app换脸明星，现在好后悔,3分钟前 来自网页    ,0,狸才不是真的呢
才4块钱。。。,3分钟前 来自网页    ,0,俩个孩子的妈妈ling
真的太可怕了，主要是我的脸才值四块钱？？？？售卖的平台也应该查封,3分钟前 来自网页    ,0,小陈啊666
今天明侦的主题,3分钟前 来自网页    ,0,师傅不是shift
我要重视一下,3分钟前 来自网页    ,0,惟愿平安喜乐啊
我要重视一下,4分钟前 来自网页    ,0,惟愿平安喜乐啊
还好我没有脸,4分钟前 来自网页    ,0,仇家太多不愿意暴露名字
没有本人亲自的授权，为什么可以拿来办信用卡和注册公司啊？现在审核这么不严的吗？,4分钟前 来自网页    ,1,雪谷冰姿
网贷就不能彻底封闭吗？,4分钟前 来自网页    ,0,Me世纪唯爱心宝
？？？怎样才能保护自己的隐私？？？,4分钟前 来自网页    ,1,LittlebearAnne
我们都在在大数据的世界里裸奔,5分钟前 来自网页    ,1,打一个鸡蛋
恐怖,5分钟前 来自网页    ,0,林中有默雪
虽然我不帅，但是我的脸就值这点钱，也真的是太便宜了吧？,5分钟前 来自网页    ,0,R-Club马小丁
我觉得指纹付款可比刷脸支付好太多了,5分钟前 来自网页    ,0,脸一定会瘦的
怎么办？,6分钟前 来自网页    ,0,妆镜里的美女
网络信息社会，没技术，太可怕了,6分钟前 来自网页    ,1,做个像空投一样的男人
我们这边超市的柜子都要人脸识别啊！感觉很不安全！,6分钟前 来自网页    ,0,影儿尐妞
这么可怕的嘛？,6分钟前 来自网页    ,0,Z七号鹿人
也不知道是谁开的头,6分钟前 来自网页    ,1,慢慢长大变成熟
我说我每个月钱怎么莫名其妙的就不够花了,6分钟前 来自网页    ,1,浑浑不知所谓
我的天啊。以后无论什么我都会开美颜,7分钟前 来自网页    ,0,热心肠的林女士
能不能问下他们要四要素里面银行卡信息有什么用？注册企业？网贷？,7分钟前 来自网页    ,0,是亦笙吖baby
泄露个人信息需严惩！！！,7分钟前 来自网页    ,0,一年一改不浪费
昨天才人脸实名转转,7分钟前 来自网页    ,0,GL将就
今天刚接到一个诈骗电话，我的名字电话号码身份证号他都知道,7分钟前 来自网页    ,0,木子右千_
我们学校南门去个澡堂洗澡都要收集人脸信息,8分钟前 来自网页    ,0,爱吃菠萝和甜品
可怕,8分钟前 来自网页    ,0,大肥肥的胖子
所以怎么知道别人有没有拿去贷款啊,8分钟前 来自网页    ,0,搞笑微博牌行榜
所以出门还是玩化妆吗？,9分钟前 来自网页    ,0,老阿姨好物分享
需要的是整治，从根源上解决问题，光我们防范有什么用,9分钟前 来自网页    ,0,大鑫鑫的小露露
卧槽，还让不让人活,9分钟前 来自网页    ,0,一个不未知用户
app上线的时候国家没有看一下他们的合同条款吗,9分钟前 来自网页    ,0,没有故事的趙三岁
太可拍了，我就想知道，国家能不能管管,9分钟前 来自网页    ,0,Mer大鑫
解决吗？,9分钟前 来自网页    ,0,无心仙女儿
太可怕的,10分钟前 来自网页    ,0,英气逼死人
不要发自拍了,10分钟前 来自网页    ,0,知道结局的我不慌张
比心提现,11分钟前 来自网页    ,0,自闭茹酱
我就想问我们还有什么隐私吗,11分钟前 来自网页    ,0,我是菜根花大宝贝
现在连小区门禁都刷脸，信息泄露严重的时代好恐怖,11分钟前 来自网页    ,0,_-anymore
没关系啊，我p过的照片都不像我~,11分钟前 来自网页    ,0,还我飘飘飘飘拳
这也太可怕了 现在银行也出了刷脸取现 ,11分钟前 来自网页    ,0,淡水情愿芸
 之前那些自拍换明星脸的,12分钟前 来自网页    ,0,尔东ap
现在修图修的爹妈都不认得了,12分钟前 来自网页    ,0,美女不过2百斤
幸好我从来没用过什么刷脸支付,12分钟前 来自网页    ,0,伏特加忍冬
我没有开通刷脸支付,12分钟前 来自网页    ,0,恋空lucica
？？？？管管？？求求您了 天天裸奔已经很惨了,13分钟前 来自网页    ,0,邂逅明熹
明侦刚刚才放完新的一期，就是关于信息泄露的。。,13分钟前 来自网页    ,0,自自earoo
明星大侦探这是……早就预计了？,13分钟前 来自网页    ,0,Sylva-sue
想起闲鱼的认证方式,13分钟前 来自网页    ,0,NEWZL--
不是应该严肃整治吗,13分钟前 来自网页    ,0,你抢我橙子试试
 太可怕了,13分钟前 来自网页    ,0,反正我还可以
我贡献出我的前男友，不用谢,13分钟前 来自网页    ,0,兔_暖暖
一申请，发现该用户已进入黑名单,13分钟前 来自网页    ,0,Mau5trap-REZZ
太可怕了,14分钟前 来自网页    ,0,小俊俊的螃蟹女友_
wtfk,14分钟前 来自网页    ,0,娜是花开的季杰
网络时代，感觉大家都是裸的。渣浪都能随意复制博主微博自己开到绿洲软件去，再请些明星宣传绿洲软件就没有人反抗了。我们不是自由的。,14分钟前 来自网页    ,0,面面的半块面具
害，右边想笑死我好继承我的蚂蚁花呗//,14分钟前 来自网页    ,1,老头植树
这说的就是那个ZAO换脸软件吧。,15分钟前 来自网页    ,0,热搜母子拍档
举报勤鸽软件 收集人脸数据,16分钟前 来自网页    ,0,柒小姐啊77
是该整治整治卖信息的团体了,16分钟前 来自网页    ,0,L甜不月贰
我就奇怪了离职了好几年的同事没有联系 但是2个月了 各大银行还有网贷公司给我发短信打电话喊我还钱 现在贷款程序这么简单吗,16分钟前 来自网页    ,0,2019双标的一年
防不胜防！,17分钟前 来自网页    ,0,唯一挚爱Suk
这头发是p的吧，假的哟,17分钟前 来自网页    ,0,别想可乐啊
我们单位这些东西全部都要，如果他们要卖出去，我们完全没办法,17分钟前 来自网页    ,0,你妈去隔壁了
 好可怕!,17分钟前 来自网页    ,0,蔓越莓曲奇小饼干儿
震惊！！！互联网时代更要保护好个人信息了,17分钟前 来自网页    ,0,菜菜要努力变强
明星大侦探刚刚看完就在热搜看到这个！！！！,17分钟前 来自网页    ,0,北野-他姐
网络安全,18分钟前 来自网页    ,0,柠檬柠檬柠檬茶lemontea
我要举报一个趣步软件，简直传销模式！！！还输入一系列东西，我周围好几个玩这个软件投钱,18分钟前 来自网页    ,0,AuScorpion
普通人信息都这么不安全更别提公众人物了，信息安全这一块真的该好好整治一下了,18分钟前 来自网页    ,0,鹿i婷
emmm，游戏厅里玩赛车同意脸可以出现在屏幕上，这是不是很危险,19分钟前 来自网页    ,0,小星星星星千玺
希望以后注册公司，办理贷款必须要本人亲自签名和按指纹，不然太危险了,19分钟前 来自网页    ,0,可是小爱就是Kimi吖
我tm，害我吃珍珠被呛到,19分钟前 来自网页    ,0,hhxxttxsgfk
太可怕了，尽快完善吧,19分钟前 来自网页    ,0,岁月静好安然无声
一直没搞刷脸支付人脸识别什么的，难道大家还嫌隐私泄漏的不多？,19分钟前 来自网页    ,0,尔悦_
我个人是挺抵触刷脸的，一直觉得安全性比指纹锁差点儿,20分钟前 来自网页    ,0,Destiny_雯_
这也太恐怖了,20分钟前 来自网页    ,0,伦家小棉袄520
我想问下，淘宝上有个阿里众包任务就是要求上传人脸信息的，那个可靠不，那里面的任务真实不，都哪儿来的,20分钟前 来自网页    ,0,栀子花散落一地123
 康康这个,20分钟前 来自网页    ,0,嘀咕噜咕噜嘟嘟
现在很多景点都是人脸识别，我想知道这个安全吗,21分钟前 来自网页    ,0,今天郑泽运LEO入伍了吗
个人信息权益怎么保护怎么维护？,21分钟前 来自网页    ,0,wuli-张三疯
个人信息权益怎么保护怎么维护？,21分钟前 来自网页    ,0,wuli-张三疯
之前有那些四处蹦哒找骂，引战的营销号。我点进他们首页拉黑时，看到他们置顶的就是什么测面相之类的链接。熙熙攘攘皆为利。,21分钟前 来自网页    ,0,尔元旺
细思极恐,21分钟前 来自网页    ,0,是跑跑同学吖
