comment,date,support_number,user,hateful
修复大学的费用请让那群蟑螂承担,今天 12:42 来自网页,5774,敷尔佳吖-,1
名声和基础设施不一样，想要修复可要花大力气，坏起来只要几天,今天 12:43 来自网页,3053,玲玲振玉,0
該抓的抓，該判的判吧,今天 12:42 来自网页,1691,哩賀黃小文,0
要他们出钱修复的时候别说他们都只是孩子，捣乱的时候可不是孩子的力量啊,9分钟前 来自网页    ,0,HKINYEE,0
说到这个。我们班来了一个今年考进港理工回来复读的🙄,9分钟前 来自网页    ,0,小天使Doctor,0
理智一点呀，要骂就骂香港废青和港独，不要什么香港人啦，香港也有爱国的,13分钟前 来自网页    ,0,向阳薄雪草,0
啊啊,25分钟前 来自网页    ,0,我家王耶啵是酷盖,0
我就想问一下，公共设施恢复的费用，该不会要我们捐献或者我们财政拨款吧😂,32分钟前 来自网页    ,0,FongDongYee,0
还以为解散了……,46分钟前 来自网页    ,0,爱喝养乐多的多肉,0
大学名声都臭了,50分钟前 来自网页    ,0,一眼青壮年,0
感觉大学也不是很配合,51分钟前 来自网页    ,0,A火华酱,0
“蟑螂”、“废青”、“曱甴”这些词汇都非常刺耳，然而，目前却大行其道。以这样的心态，不出乱子是偶然的。,51分钟前 来自网页    ,0,马仔wxabsd,0
很失望，我们都是祖国的孩子，它却是特别存在，倾尽国力帮助他，可是他依旧背叛不喜欢所有的我们。同样是祖国的孩子，凭什么他该被优待，他做了坏事该被惩罚的，希望祖国平等对待每一个祖国的孩子。,51分钟前 来自网页    ,0,一直在下雨的地方,0
把一所大学披怀成这样那些闹事的就满意了？,今天 20:55 来自网页    ,0,有你的每一天都是Sunshine,0
香港的学校就是反中乱港分子的培养基地，根本就不要去管,今天 20:53 来自网页    ,0,韵竹送香情,0
名声臭了，ins上它的学生会还天天发那些乱七八糟的东西，香港的教育有问题！有大问题！,今天 20:51 来自网页    ,0,幂函数ymhy,0
香港领土尽快恢复安宁，不要再损坏国家的形象了，香港是中国的一个领土，永远都是！,今天 20:34 来自网页    ,0,限时青芒子,0
道路解封了，港人心路何时解封。,今天 20:26 来自网页    ,0,一ALLAN,0
暴徒培训基地。臭名远扬。,今天 20:13 来自网页    ,1,不想做帝国主义羊圈里的羔羊,1
就别操心有钱人家的孩子有没有奶喝了，毕竟人家一生下来就在罗马,今天 20:13 来自网页    ,0,Tomarininomilla,0
可不可以把声称自己不是中国人的，赶出中国的土地，给他“自由”,今天 20:12 来自网页    ,0,駃樂玲,0
大家不用担心了，爱怎么作死怎么作死，所有人都没工作，吃不上饭的时候自己就消停了。你跟他们废话半天，还说你给他们洗脑呢,今天 20:11 来自网页    ,0,ping_L_D,0
多么希望官方给这些垃圾一个gun滚字,今天 20:03 来自网页    ,0,目色黑,0
说句实话，谁破坏找谁要钱。谁的锅自己背，就举个例子我们可以大公无私地给李伯捐钱，也不会为破坏公共财务，伤害他人人生安全的人给一份救济金。有些人值得你去扶持救助，有些人救他也只会反咬你一口，没必要搬砖头砸自己的脚。人不跌过痛过，也不知道自己现在拥有的幸福是多好。,今天 19:59 来自网页    ,0,燊燚檒,0
最后一个字没显示出来，我以为是正式解散呢……,今天 19:57 来自网页    ,0,无敌宇宙豆,0
拥有分辨是非的能力是多么重要的一项技能，希望香港早点好起来,今天 19:56 来自网页    ,0,Fhjwe感性卻不性感,0
其实我很担心的是内陆爱国的孩子在这个学校上学    会不会很难啊现在,今天 19:54 来自网页    ,0,瑞小幸9,0
留在校内为数不多的顽固分子怎么办？,今天 19:53 来自网页    ,0,陈小刀3,0
真是不想再看见丧尸的新闻了，没完没了,今天 19:48 来自网页    ,0,被迫改名还老被占用,0
这次香港事件中，闹事的暴徒里还有印度阿三，看见那些印度阿三的图片，我哭了，一想到47年后，这些阿三后代会真正成为我们的同胞，我真的哭了，TM的我们惠港到底养出来了一群什么东西？养出同宗同族的暴徒，我还能看在祖宗的份上忍一忍你，可那些越南猴子后代，印度阿三后代算个什么东西？？！,今天 19:38 来自网页    ,0,幽篁篁篁,1
我觉得香港理工大学根本不用修啊，找个剧组来拍那种校园丧尸啊，什么灾难电影多好呀，实地取景，改成影视城，借此来创收啊，修什么修修还花钱呢？,今天 19:37 来自网页    ,1,何大仙不服输,0
希望尽快回复教学环境～,今天 19:34 来自网页    ,0,心泉曌冰,0
please dont,今天 19:27 来自网页    ,0,橡树好渣哦,0
建议不修复，前车之鉴,今天 19:26 来自网页    ,0,一名不关注明星的普通人,0
解封？解散吧还是,今天 19:18 来自网页    ,0,10夜喵,0
学生不上学解封有何用，造作的还不够吗？下一个2.5亿吗,今天 19:18 来自网页    ,0,隐瞒尘埃,0
反中派大胜利 随着时间推移 反中派势力会越来越大 直到50年结束或者爆发独立战争 大陆人别操心了 浪费感情,今天 19:15 来自网页    ,0,芒果沙沙冰_,0
看成了解散…,今天 19:13 来自网页    ,0,罗萝卜啊,0
解封？？？那里面的废青呢  放了吗,今天 19:11 来自网页    ,0,L辰心,0
懒得看，少报点,今天 19:05 来自网页    ,0,你是我的猪头肉啊,0
你们开骂前看清楚这是香港理工大学了吗？？,今天 19:04 来自网页    ,2,名侦探昭昭,0
和NED联合发动暴乱的学生会会长，等着被抓吧,今天 19:03 来自网页    ,0,一只抖腿的麻雀,0
我们撒谎、我们欺骗、我们偷窃，我们双标。这才是美国不断探索进取的荣耀！                                                                                                ——————美国国务卿蓬佩奥,今天 19:02 来自网页    ,0,AICARCN,0
停止暴力，离开校园,今天 18:59 来自网页    ,0,Echo_Lege,0
解封干嘛？留着做遗址不好吗？？？,今天 18:55 来自网页    ,0,月上镜妆,0
曱冥园,今天 18:52 来自网页    ,0,澪殿_Akiyama,1
解封就算了 不需要重修吧,今天 18:51 来自网页    ,0,#NAME?,0
请蟑螂支付所有复修费!,今天 18:48 来自网页    ,0,巴特拉010,0
我们老师今天分析了一下，按这个局势下去，香港会提前出局，变为一国一制，中央会派一个省委书记去香港。香港也就失去了世界经济中心地位，因为外资会全部撤离。,今天 18:46 来自网页    ,0,软件小笙呀灬,0
维护稳定 人人有责,今天 18:45 来自网页    ,0,圈圈iris-520,0
从以前的痛心愤怒到今天看他们像耍猴一样,今天 18:38 来自网页    ,0,_Parameter_,0
希望国家不要拨款不要拨款,今天 18:35 来自网页    ,0,啵啵虎三水,0
Reply ,今天 18:34 来自网页    ,0,我想睡到九点,0
什么！？是蟑螂大学吗？,今天 18:30 来自网页    ,0,圆圆苑,1
让香港搞gba，他在这儿瞎搞,今天 18:29 来自网页    ,0,swz-skr,0
: 各位，炮火对错了，理大校长是反对暴力的，也是校长同意进校园抓人的，不好的是中大，你们认错人了,今天 18:29 来自网页    ,1,霸气的栖爷,0
香港的年轻人想给自己打出一片未来，太天真！大陆的年轻人也想有一个未来。国家下一步是不是重点解决当下年轻人，就业难生活压力大，买不起房，工作没保障，上班被压榨，网贷被欺诈，我不关心香港如何，作为一个中国人我最关心的是，将来我们自己的年轻人怎么办？我们不是只围着香港转的。轻无力国何安,今天 18:27 来自网页    ,0,肉团团love,0
