comment,date,support_number,user
她该多难过啊，明明是陪了她那么久的男孩子。,今天 09:07 来自网页,60316,一只村草
浙江卫视配不上人家的善良！！,今天 09:07 来自网页,49587,阿君呱
明明都要订婚了。,今天 09:08 来自网页,26305,想被汪苏泷翻牌
她该有多难过啊,1分钟前 来自网页    ,1,L是仙女哇
这种类型的女生真的甩香港男星喜欢的女网红几十条街。好优秀,1分钟前 来自网页    ,0,Debby是谐音来的
我一个纯路人都太难过了，处女座水逆也不能这样吧。。浙江卫视你的良心不痛吗，为了名利为了钱，都不给你后代积德了吗，这么恶劣的事就这么轻飘飘的翻过去了？是人命啊！！,1分钟前 来自网页    ,0,嗜甜如病
我一个纯路人都太难过了，处女座水逆也不能这样吧。。浙江卫视你的良心不痛吗，为了名利为了钱，都不给你后代积德了吗，这么恶劣的事就这么轻飘飘的翻过去了？是人命啊！！,1分钟前 来自网页    ,0,嗜甜如病
摊上这事儿，浙江卫视也是哭了，这就是所有的人一心向钱看而产生的最终悲剧，这世界有太多的人把钱看得比命重要,1分钟前 来自网页    ,0,儒树49077
唉……,1分钟前 来自网页    ,0,明晚有星光_
你是他爱的女人，想必也是个很好很善良的女生吧，希望你可以幸福，带着他那份热爱世界热爱生活的执着,1分钟前 来自网页    ,0,amuBoMi
样一般， 就是大胸， 男的好可惜,1分钟前 来自网页    ,0,skysky02
你是他爱的女人，想必也是个很好很善良的女生吧，希望你可以幸福，带着他那份热爱世界热爱生活的执着,1分钟前 来自网页    ,0,amuBoMi
样一般， 就是大胸， 男的好可惜,1分钟前 来自网页    ,0,skysky02
keep on fighting，ｕwill moveon,1分钟前 来自网页    ,0,大肚黄先生
高以翔先生一路走好,1分钟前 来自网页    ,0,玙梵
来不及说再见！,1分钟前 来自网页    ,0,牧馨塔罗
死了还被娱乐媒体消费,1分钟前 来自网页    ,0,学习学个屁啊
反正从今往后我是不看蓝台的任何节目,1分钟前 来自网页    ,0,安心-Kety
抱歉 只是想扩散 无意蹭热度 ,1分钟前 来自网页    ,0,shhshshzvd
二台滚出来拨打,1分钟前 来自网页    ,0,11r__
好想哭,1分钟前 来自网页    ,0,趴趴巫
啊？降热搜就是推卸责任的一种吗？是我落后了吗？网友们,1分钟前 来自网页    ,0,路飞-DY
二台滚出来拨打,1分钟前 来自网页    ,0,11r__
好想哭,1分钟前 来自网页    ,0,趴趴巫
啊？降热搜就是推卸责任的一种吗？是我落后了吗？网友们,1分钟前 来自网页    ,0,路飞-DY
怎么有种沥川和小秋的感觉，高高先走了，留下了她，被留下的那位最难受,1分钟前 来自网页    ,0,ni你最可爱la
不希望热度没有，浙江卫视节目组必须追责啊！！！！！重点在追责！！！抢救不及时！！不要再转移话题了！,1分钟前 来自网页    ,0,zyl馅儿的红豆包
变成天上最亮的星星守护她了,1分钟前 来自网页    ,0,你和奶茶一样重要
我的天这得给这个女孩造成多大的阴影阿！好好的男朋友莫名其妙的没了,1分钟前 来自网页    ,0,十万嘻皮yoyo
变成天上最亮的星星守护她了,1分钟前 来自网页    ,0,你和奶茶一样重要
我的天这得给这个女孩造成多大的阴影阿！好好的男朋友莫名其妙的没了,1分钟前 来自网页    ,0,十万嘻皮yoyo
為什麼熱搜沒有關於香港的事件？,1分钟前 来自网页    ,0,NanCHong小蜜
好痛心，,1分钟前 来自网页    ,0,橘子洛洛酱
悲伤,1分钟前 来自网页    ,0,顶级品鉴
太不温柔了今年,1分钟前 来自网页    ,0,姜煕健gary
好痛心，,1分钟前 来自网页    ,0,橘子洛洛酱
悲伤,1分钟前 来自网页    ,0,顶级品鉴
太不温柔了今年,1分钟前 来自网页    ,0,姜煕健gary
抢救的速度要是和撤热搜的速度一样快 人可能还能活……,1分钟前 来自网页    ,1,Robin丨珞滨
会的，你一定会的！,1分钟前 来自网页    ,0,Emma芊
难受 毁了两个人的一生！和一整个家庭,1分钟前 来自网页    ,0,ceciliamomo19900102
抢救的速度要是和撤热搜的速度一样快 人可能还能活……,1分钟前 来自网页    ,1,Robin丨珞滨
会的，你一定会的！,2分钟前 来自网页    ,0,Emma芊
